id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-2,fitness-1,fitness0.5,fitness-5,fitness-4,fitness-1.5,fitness-4.5,fitness0,fitness-0.5
146,-0.369652,3.01298,-3.25123,-181.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,0.144718,3.80006,-3.4531,NA,-178.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,1.41612,3.38126,-4.53706,-97.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
782,1.13104,2.07623,-4.13639,NA,NA,-30.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
801,-0.183535,4.16651,-4.88801,NA,NA,-222.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,-0.386034,3.24948,-4.95258,NA,-158.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300,-0.629694,2.2967,-5,NA,-145.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1535,-0.499189,2.44891,-4.41484,NA,-131.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1632,1.48867,1.96628,-3.87432,NA,NA,NA,-26.41,NA,NA,NA,NA,NA,NA,NA,NA
1991,2.81563,1.4422,-4.47378,NA,NA,NA,NA,-96.001,NA,NA,NA,NA,NA,NA,NA
2015,3.25989,2.63505,-4.80382,NA,NA,NA,NA,NA,-230.097,NA,NA,NA,NA,NA,NA
2352,2.15826,2.15421,-3.6491,NA,NA,NA,NA,NA,-219.677,NA,NA,NA,NA,NA,NA
2487,2.54036,1.53674,-4.64541,NA,NA,NA,NA,-76.651,NA,NA,NA,NA,NA,NA,NA
2684,3.41089,2.93358,-5,NA,NA,-105.144,NA,NA,NA,NA,NA,NA,NA,NA,NA
2860,3.44948,2.57451,-3.56834,NA,NA,NA,NA,NA,NA,-280.499,NA,NA,NA,NA,NA
3005,2.36333,3.24874,-4.53971,-86.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3284,1.94332,3.05518,-5,NA,NA,-59.796,NA,NA,NA,NA,NA,NA,NA,NA,NA
3581,2.59362,2.38859,-5,NA,NA,NA,NA,NA,NA,NA,-73.096,NA,NA,NA,NA
3625,2.97108,3.35794,-5,NA,NA,NA,NA,NA,NA,NA,-140.987,NA,NA,NA,NA
3807,1.58324,3.22343,-5,NA,NA,NA,NA,NA,NA,-191.197,NA,NA,NA,NA,NA
4103,1.70693,4.11591,-4.35132,NA,NA,NA,NA,NA,NA,-247.822,NA,NA,NA,NA,NA
