id,x0,x1,x2,fitness-3,fitness-2,fitness-2.5,fitness-3.5,fitness-1.5,fitness-4,fitness-1,fitness-4.5
37,1.01373,0.546924,-4.90671,-103.7,NA,NA,NA,NA,NA,NA,NA
267,1.70934,1.0188,-5,NA,-38.633,NA,NA,NA,NA,NA,NA
423,2.27183,2.25705,-5,NA,NA,-26.605,NA,NA,NA,NA,NA
731,1.97899,1.50937,-5,NA,-19.958,NA,NA,NA,NA,NA,NA
919,1.2694,1.13733,-5,-37.629,NA,NA,NA,NA,NA,NA,NA
1149,1.50651,2.35536,-4.00586,NA,NA,-18.828,NA,NA,NA,NA,NA
1370,1.59416,2.69158,-4.26971,NA,NA,-28.665,NA,NA,NA,NA,NA
1468,1.99303,1.79145,-3.65261,-25.359,NA,NA,NA,NA,NA,NA,NA
1662,1.28866,2.00381,-4.23458,NA,NA,-11.379,NA,NA,NA,NA,NA
1857,1.79954,1.52241,-3.60721,NA,-23.629,NA,NA,NA,NA,NA,NA
2064,1.66114,1.35711,-4.5113,-9.227,NA,NA,NA,NA,NA,NA,NA
2265,1.78166,1.8631,-5,NA,NA,NA,-40.361,NA,NA,NA,NA
2405,1.04433,2.2196,-5,-37.141,NA,NA,NA,NA,NA,NA,NA
2773,0.861255,2.43594,-5,-49.622,NA,NA,NA,NA,NA,NA,NA
2970,1.97957,2.00171,-5,NA,NA,-18.192,NA,NA,NA,NA,NA
3038,1.73413,1.95864,-5,NA,NA,-16.306,NA,NA,NA,NA,NA
3304,2.61013,1.814,-5,NA,-32.075,NA,NA,NA,NA,NA,NA
3443,1.69941,1.23159,-5,NA,NA,-24.711,NA,NA,NA,NA,NA
3725,1.50731,1.63555,-3.84359,NA,-17.381,NA,NA,NA,NA,NA,NA
3830,2.01977,2.04491,-4.28088,NA,-14.364,NA,NA,NA,NA,NA,NA
4079,1.52826,2.45342,-4.91631,-32.424,NA,NA,NA,NA,NA,NA,NA
4241,2.41621,2.08277,-3.64358,NA,NA,-29.593,NA,NA,NA,NA,NA
4421,1.97986,1.48496,-3.40973,NA,-32.469,NA,NA,NA,NA,NA,NA
4793,1.70688,1.49977,-4.71395,NA,-18.099,NA,NA,NA,NA,NA,NA
4822,1.16007,2.16246,-5,NA,-38.291,NA,NA,NA,NA,NA,NA
5083,1.34954,1.69919,-5,NA,NA,NA,-34.479,NA,NA,NA,NA
5263,2.63349,2.20704,-5,NA,NA,-36.072,NA,NA,NA,NA,NA
5579,1.58427,2.32374,-5,NA,NA,-24.625,NA,NA,NA,NA,NA
5772,2.04769,1.66269,-4.40571,-8.996,NA,NA,NA,NA,NA,NA,NA
5852,1.43781,2.37797,-4.78977,NA,NA,NA,NA,-52.93,NA,NA,NA
6098,1.44616,2.26732,-5,NA,NA,-24.618,NA,NA,NA,NA,NA
6223,1.46748,1.53462,-5,-22.111,NA,NA,NA,NA,NA,NA,NA
6519,1.36419,1.66001,-5,NA,-24.717,NA,NA,NA,NA,NA,NA
6636,3.06733,1.57211,-4.9476,NA,-50.063,NA,NA,NA,NA,NA,NA
6877,2.78873,1.18185,-4.34081,NA,NA,-35.995,NA,NA,NA,NA,NA
7028,3.17733,1.63528,-3.87278,-63.374,NA,NA,NA,NA,NA,NA,NA
7336,2.22321,0.996179,-4.01353,NA,NA,-25.805,NA,NA,NA,NA,NA
7551,2.97888,2.0691,-4.68227,NA,NA,-41.493,NA,NA,NA,NA,NA
7656,2.13775,2.49789,-5,NA,NA,-32.148,NA,NA,NA,NA,NA
7826,1.38495,1.49792,-5,-24.222,NA,NA,NA,NA,NA,NA,NA
8162,1.50391,2.24777,-3.7715,NA,NA,-20.534,NA,NA,NA,NA,NA
8226,2.13356,1.53697,-4.16413,-13.111,NA,NA,NA,NA,NA,NA,NA
8489,2.40505,1.40147,-4.07089,NA,NA,-16.096,NA,NA,NA,NA,NA
8727,1.2269,2.30377,-4.31866,NA,NA,-19.915,NA,NA,NA,NA,NA
8803,1.06329,1.44548,-4.47283,NA,-31.09,NA,NA,NA,NA,NA,NA
9183,0.985728,1.63392,-4.435,NA,NA,-23.612,NA,NA,NA,NA,NA
9335,2.22661,2.16625,-5,NA,NA,-24.467,NA,NA,NA,NA,NA
9584,1.78442,1.81712,-3.97091,NA,-8.817,NA,NA,NA,NA,NA,NA
9800,1.38971,1.26869,-4.8949,NA,NA,-22.217,NA,NA,NA,NA,NA
9944,1.12338,1.61238,-5,NA,NA,-28.581,NA,NA,NA,NA,NA
10198,1.92889,2.2394,-5,NA,NA,-21.898,NA,NA,NA,NA,NA
10239,2.20073,2.24019,-4.51088,NA,NA,NA,-48.337,NA,NA,NA,NA
10574,2.45287,1.2447,-4.55108,NA,NA,-22.561,NA,NA,NA,NA,NA
10708,1.97071,2.48413,-3.93783,NA,NA,NA,-38.969,NA,NA,NA,NA
10854,1.17791,1.72442,-4.53782,NA,NA,-14.23,NA,NA,NA,NA,NA
11149,1.53299,2.10616,-5,-25.799,NA,NA,NA,NA,NA,NA,NA
11232,1.22604,0.720969,-4.80737,NA,NA,NA,-73.782,NA,NA,NA,NA
