id,x0,x1,x2,fitness-3,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-2.5
63,-1.83735,4.87298,-3.45276,-187.167,NA,NA,NA,NA,NA
296,-1.2113,4.3254,-3.14408,NA,-220.651,NA,NA,NA,NA
485,-3.15396,5,-3.76535,NA,-151.604,NA,NA,NA,NA
651,-3.64782,5,-4.48359,NA,-169.951,NA,NA,NA,NA
999,-2.5935,5,-5,NA,NA,-84.974,NA,NA,NA
1003,-3.257,5,-4.61468,NA,NA,-121.761,NA,NA,NA
1305,-2.28922,5,-4.47479,NA,NA,-87.977,NA,NA,NA
1464,-3.16843,5,-5,NA,NA,NA,-113.507,NA,NA
1682,-1.88614,4.30838,-5,NA,NA,NA,NA,-35.948,NA
1925,-1.05991,3.92424,-5,NA,NA,-83.172,NA,NA,NA
2060,-2.24853,4.46212,-5,NA,NA,-59.347,NA,NA,NA
2388,-3.06467,3.42959,-5,NA,NA,-83.282,NA,NA,NA
2585,-3.17537,4.02519,-4.80556,NA,NA,NA,NA,-84.069,NA
2603,-1.58496,4.92768,-5,NA,NA,NA,-87.364,NA,NA
2989,-2.30467,5,-5,NA,NA,-76.756,NA,NA,NA
3200,-2.59728,3.04685,-5,NA,NA,-73.4,NA,NA,NA
3251,-2.189,3.18244,-5,NA,NA,-67.132,NA,NA,NA
3428,-2.09662,3.50209,-5,NA,NA,NA,-33.337,NA,NA
3667,-2.73921,4.1935,-5,NA,NA,NA,NA,-66.634,NA
3959,-3.07393,4.41655,-4.4087,NA,NA,-95.087,NA,NA,NA
4162,-2.41418,5,-4.8956,NA,NA,-77.579,NA,NA,NA
4215,-1.90492,5,-5,NA,NA,-79.38,NA,NA,NA
4424,-2.45289,3.78978,-4.42321,NA,NA,NA,-66.213,NA,NA
4722,-1.50773,3.22155,-4.83557,NA,NA,NA,-36.761,NA,NA
4859,-2.28162,3.84025,-4.7401,NA,NA,-66.536,NA,NA,NA
5072,-2.34846,4.24106,-5,NA,NA,-48.189,NA,NA,NA
5340,-1.98883,5,-5,NA,NA,-81.746,NA,NA,NA
5463,-1.39298,3.64467,-5,NA,NA,-41.813,NA,NA,NA
5628,-2.28738,3.8338,-4.3273,NA,NA,-44.695,NA,NA,NA
5987,-2.02626,3.98669,-3.78151,NA,NA,NA,NA,-98.811,NA
6058,-2.69703,4.72825,-4.5678,NA,NA,-83.797,NA,NA,NA
6288,-2.15952,5,-5,NA,NA,-78.721,NA,NA,NA
6535,-1.98561,5,-5,NA,NA,-81.708,NA,NA,NA
6778,-1.3238,4.34801,-4.9638,NA,NA,-75.742,NA,NA,NA
6991,-1.29994,4.70663,-5,NA,NA,-64.014,NA,NA,NA
7008,-1.90815,3.87301,-5,NA,NA,-38.415,NA,NA,NA
7285,-1.09778,4.64582,-5,NA,NA,NA,NA,-74.676,NA
7451,-2.12902,4.7481,-4.22412,NA,NA,NA,-76.302,NA,NA
7696,-2.10745,5,-4.82969,NA,NA,-81.883,NA,NA,NA
7942,-3.1277,3.34786,-4.7024,NA,NA,-94.926,NA,NA,NA
8057,-1.08584,3.37587,-3.77329,NA,NA,-70.115,NA,NA,NA
8370,-2.13798,3.83615,-4.85391,NA,NA,-43.359,NA,NA,NA
8516,-2.23349,4.35125,-4.37784,NA,NA,-72.862,NA,NA,NA
8707,-1.63158,4.2739,-5,NA,NA,NA,NA,-41.967,NA
8995,-1.87504,4.8372,-5,NA,NA,-66.044,NA,NA,NA
9072,-2.03294,4.35742,-4.48045,NA,NA,NA,-60.404,NA,NA
9312,-2.3083,3.1483,-4.84573,NA,NA,NA,NA,-65.833,NA
9507,-1.29885,3.49057,-5,NA,NA,NA,NA,-11.548,NA
9707,-1.93265,3.6883,-5,NA,NA,-39.703,NA,NA,NA
9968,-1.4758,3.61889,-5,NA,NA,NA,NA,-21.181,NA
10140,-1.65157,3.2356,-5,NA,NA,-50.525,NA,NA,NA
10290,-2.61514,4.26022,-5,NA,NA,-71.89,NA,NA,NA
10502,-1.67112,3.56862,-5,NA,NA,-41.837,NA,NA,NA
