id,x0,x1,x2,fitness-4,fitness-3,fitness-1.5,fitness-2,fitness-4.5,fitness-5,fitness-3.5,fitness-2.5,fitness-0.5,fitness0,fitness0.5,fitness-1,fitness2,fitness2.5,fitness3,fitness4,fitness4.5,fitness5,fitness1.5,fitness1,fitness3.5
141,-3.69236,-0.990465,0.151193,14.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,-2.71933,-1.18431,0.116069,1.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,-3.04033,-1.24121,-0.722399,NA,850.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,-0.869693,-0.945818,-0.669269,NA,NA,11696.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,-2.01263,-1.67118,0.192268,NA,NA,NA,388.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1139,-1.87608,-2.11873,0.629581,69.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1297,-2.47493,-2.13928,-1.53226,NA,NA,NA,NA,64.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,-2.25883,-2.86795,-1.79617,NA,NA,NA,NA,NA,-7.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1626,-0.886437,-2.56935,-1.94379,NA,NA,NA,NA,NA,712.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,-0.523446,-2.68461,-3.4819,NA,NA,NA,NA,NA,NA,33.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2080,-1.88826,-2.38175,-2.32369,NA,NA,NA,NA,13.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2257,-0.651698,-2.91802,-3.1014,NA,NA,NA,NA,271.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2504,-1.38407,-2.61614,-2.34521,NA,NA,NA,NA,NA,118.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2660,-0.692035,-2.69094,-3.16151,NA,NA,NA,NA,NA,101.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2855,1.91732,-2.75364,-4.61212,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3074,2.0966,-0.303409,-3.16828,NA,NA,NA,NA,NA,34.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3372,3.84897,-0.796173,-4.09077,285.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3559,4.02293,-1.00812,-5,NA,NA,NA,NA,NA,NA,NA,66.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3704,4.62169,-0.670453,-5,NA,NA,NA,NA,NA,NA,NA,NA,2538.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3913,5,-1.68854,-3.81624,NA,NA,NA,-166.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,4.54669,0.0776498,-4.55105,20.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
