id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness2.5
101,4.40399,4.91715,-0.186479,3551.673,NA,NA,NA,NA,NA
203,4.39645,5,-0.274628,3619.708,NA,NA,NA,NA,NA
575,4.72986,5,1.4611,1742.712,NA,NA,NA,NA,NA
659,5,5,0.513456,NA,1292.986,NA,NA,NA,NA
939,3.19919,5,-0.014557,NA,1475.321,NA,NA,NA,NA
1002,4.24436,5,-1.35066,NA,6761.808,NA,NA,NA,NA
1334,4.18656,5,-2.65674,NA,1254.023,NA,NA,NA,NA
1550,3.37737,5,-2.50543,NA,997.449,NA,NA,NA,NA
1751,4.94962,5,-2.87815,2406.667,NA,NA,NA,NA,NA
1951,4.80251,4.51983,-2.83552,NA,88.02,NA,NA,NA,NA
2045,3.78866,5,-2.23191,NA,608.448,NA,NA,NA,NA
2324,3.70193,5,-2.23456,NA,521.928,NA,NA,NA,NA
2461,5,5,-0.897658,NA,11606.464,NA,NA,NA,NA
2769,4.98986,4.89165,-0.553685,NA,7165.999,NA,NA,NA,NA
2935,5,5,-1.582,NA,NA,2009.782,NA,NA,NA
3024,5,5,-2.11405,NA,4493.088,NA,NA,NA,NA
3245,5,5,-1.01992,NA,6206.542,NA,NA,NA,NA
3519,5,5,-0.934885,NA,10325.917,NA,NA,NA,NA
3633,4.8355,5,-3.09004,NA,4088.13,NA,NA,NA,NA
3911,3.86891,4.69443,-3.84568,115.529,NA,NA,NA,NA,NA
4136,5,5,-1.09355,NA,1792.433,NA,NA,NA,NA
4207,4.73148,4.03918,-1.39864,NA,2120.875,NA,NA,NA,NA
4514,4.41318,4.17831,-1.00634,NA,1534.873,NA,NA,NA,NA
4700,3.31638,5,-1.32339,NA,4300.156,NA,NA,NA,NA
4801,3.22576,5,-1.60179,NA,2699.675,NA,NA,NA,NA
5099,3.65724,4.23657,-1.29487,NA,1524.065,NA,NA,NA,NA
5211,4.80736,4.89165,-1.95845,NA,9001.947,NA,NA,NA,NA
5444,4.33147,4.57998,-2.44936,NA,632.892,NA,NA,NA,NA
5742,5,4.94842,-1.97883,NA,6542.981,NA,NA,NA,NA
5985,4.2109,5,-1.28094,NA,5088.737,NA,NA,NA,NA
6059,4.24844,3.88112,-1.31733,NA,1692.763,NA,NA,NA,NA
6335,5,4.84353,-1.63434,2372.013,NA,NA,NA,NA,NA
6580,5,5,-1.97466,NA,5443.266,NA,NA,NA,NA
6722,5,5,-0.836304,NA,12857.508,NA,NA,NA,NA
6801,5,5,-1.95983,NA,5319.029,NA,NA,NA,NA
7145,4.7035,4.24614,-1.33091,NA,6311.899,NA,NA,NA,NA
7212,4.77122,4.7017,-1.87504,NA,5818.698,NA,NA,NA,NA
7560,5,5,-2.09471,NA,6417.321,NA,NA,NA,NA
7732,5,4.62077,-0.322925,NA,NA,2058.06,NA,NA,NA
7976,5,5,-1.18977,2505.166,NA,NA,NA,NA,NA
8023,5,4.29734,-1.25289,NA,4677.892,NA,NA,NA,NA
8394,5,5,-1.82478,NA,NA,NA,333.855,NA,NA
8461,5,5,-2.30844,241.289,NA,NA,NA,NA,NA
8610,4.93421,4.95991,-1.8524,NA,5310.905,NA,NA,NA,NA
8893,5,5,-1.27973,2525.347,NA,NA,NA,NA,NA
9120,5,5,-2.18292,NA,3478.035,NA,NA,NA,NA
9317,5,5,-1.25355,NA,NA,NA,NA,159.154,NA
9564,5,3.78239,-0.885081,NA,NA,1645.407,NA,NA,NA
9635,5,5,-0.70408,NA,11677.142,NA,NA,NA,NA
9932,5,4.39936,-1.59257,NA,3632.875,NA,NA,NA,NA
10063,5,4.07061,-1.45852,NA,2855.463,NA,NA,NA,NA
10285,5,4.30515,-1.65304,NA,3407.038,NA,NA,NA,NA
10509,5,5,-2.05858,4669.751,NA,NA,NA,NA,NA
10621,5,4.7629,-1.82333,NA,2450.265,NA,NA,NA,NA
10833,5,4.43869,-1.40161,NA,3698.761,NA,NA,NA,NA
11048,5,5,-0.793946,NA,13051.734,NA,NA,NA,NA
11319,5,5,-1.50726,4354.071,NA,NA,NA,NA,NA
11403,5,5,-0.272714,4437.206,NA,NA,NA,NA,NA
11709,5,5,-0.154193,NA,NA,NA,1384.868,NA,NA
11901,5,5,-0.391385,NA,NA,1664.417,NA,NA,NA
12139,5,5,-0.0445005,NA,NA,3064.163,NA,NA,NA
12204,5,4.89689,0.523248,NA,1423.06,NA,NA,NA,NA
12486,4.58292,4.87477,-0.744777,NA,6227.253,NA,NA,NA,NA
12627,4.0323,4.25205,-0.996123,NA,615.922,NA,NA,NA,NA
12811,4.75604,4.38921,-1.17071,NA,1678.809,NA,NA,NA,NA
13046,4.78698,4.76738,-1.9723,NA,8169.411,NA,NA,NA,NA
13200,5,4.97822,-0.624376,NA,9534.513,NA,NA,NA,NA
13431,5,4.88523,-0.911064,NA,17459.969,NA,NA,NA,NA
13658,3.82731,5,-0.678097,NA,4995.997,NA,NA,NA,NA
13885,5,4.95017,-0.818317,NA,15490.958,NA,NA,NA,NA
14180,5,4.04946,-1.64073,NA,1462.314,NA,NA,NA,NA
14275,5,4.83276,-2.27205,367.047,NA,NA,NA,NA,NA
14585,5,5,-1.29227,NA,NA,4889.573,NA,NA,NA
14711,4.79987,4.98115,-1.58457,3877.186,NA,NA,NA,NA,NA
14976,4.89368,5,0.229854,NA,4400.131,NA,NA,NA,NA
15040,5,5,-0.744338,NA,12581.135,NA,NA,NA,NA
15351,5,5,-0.700064,NA,11563.178,NA,NA,NA,NA
15580,5,5,-1.98832,NA,5516.389,NA,NA,NA,NA
15675,4.24813,5,-1.58188,NA,5289.154,NA,NA,NA,NA
15945,5,5,-0.576664,NA,6418.92,NA,NA,NA,NA
16116,5,4.91796,-0.939115,NA,12928.775,NA,NA,NA,NA
16213,5,5,1.3734,NA,2478.866,NA,NA,NA,NA
16578,5,5,0.280367,NA,3222.16,NA,NA,NA,NA
16776,5,4.72824,0.224508,NA,2649.104,NA,NA,NA,NA
16883,5,4.3506,-0.221993,3522.124,NA,NA,NA,NA,NA
17127,5,5,0.437764,2773.039,NA,NA,NA,NA,NA
17253,4.36516,4.96861,-1.27605,NA,5147.891,NA,NA,NA,NA
17457,5,5,-1.49628,1363.743,NA,NA,NA,NA,NA
17709,5,5,-3.89576,2475.48,NA,NA,NA,NA,NA
17942,5,5,-2.95668,NA,3121.491,NA,NA,NA,NA
