id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3,fitness3.5
101,4.40399,4.91715,-0.186479,3551.673,NA,NA,NA,NA
205,3.8815,5,-1.08439,NA,639.397,NA,NA,NA
501,5,5,-0.890933,NA,11797.527,NA,NA,NA
735,4.75396,5,-0.602142,9385.759,NA,NA,NA,NA
947,5,5,-0.76988,NA,12915.747,NA,NA,NA
1091,5,4.1733,-1.40606,NA,6063.364,NA,NA,NA
1241,5,5,-0.661774,NA,10280.409,NA,NA,NA
1403,5,5,-1.04589,5334.286,NA,NA,NA,NA
1632,4.91791,5,-1.83386,NA,3098.029,NA,NA,NA
1968,5,5,-0.517854,NA,3289.778,NA,NA,NA
2031,5,4.05937,-1.3808,NA,2428.58,NA,NA,NA
2210,4.69349,2.80679,-0.85786,NA,3164.942,NA,NA,NA
2589,5,5,-0.827158,NA,17249.804,NA,NA,NA
2739,5,5,-2.09081,NA,6148.914,NA,NA,NA
2979,5,5,-0.704982,NA,11702.169,NA,NA,NA
3035,5,4.95941,-2.19518,NA,3058.08,NA,NA,NA
3353,5,4.76731,-2.00788,NA,8877.687,NA,NA,NA
3468,5,5,-1.31973,NA,NA,4830.562,NA,NA
3742,5,4.64443,-1.02782,NA,4013.842,NA,NA,NA
3968,5,4.85887,-0.754849,NA,16985.958,NA,NA,NA
4007,5,4.73891,-0.709079,NA,13148.164,NA,NA,NA
4400,5,3.6354,-0.679239,NA,2501.432,NA,NA,NA
4408,4.68124,5,-0.641367,NA,8295.698,NA,NA,NA
4791,4.6727,4.20712,-1.42366,NA,5679.639,NA,NA,NA
4937,5,5,-2.05253,NA,5350.033,NA,NA,NA
5028,5,5,-0.856033,NA,16028.323,NA,NA,NA
5377,4.75351,4.1475,-0.359416,NA,2417.64,NA,NA,NA
5561,5,4.15873,-1.53416,NA,4924.551,NA,NA,NA
5754,4.87019,4.96281,-0.713595,NA,18249.877,NA,NA,NA
5853,5,4.97796,-0.69588,NA,12511.044,NA,NA,NA
6062,5,4.92122,-0.6406,NA,13494.814,NA,NA,NA
6367,4.80983,5,-0.993761,6826.001,NA,NA,NA,NA
6545,5,5,-0.976897,NA,9275.442,NA,NA,NA
6692,5,5,-0.903547,NA,11428.73,NA,NA,NA
6819,5,4.92404,-0.581959,NA,9963.191,NA,NA,NA
7010,5,5,-0.542278,NA,4610.164,NA,NA,NA
7383,4.72022,5,-1.045,NA,4966.046,NA,NA,NA
7509,5,5,-0.952456,NA,9598.978,NA,NA,NA
7681,4.83286,5,-0.735299,NA,16577.841,NA,NA,NA
7806,5,5,-0.802519,NA,13057.261,NA,NA,NA
8142,5,5,-2.0477,NA,5390.368,NA,NA,NA
8267,5,5,-0.92076,NA,10854.925,NA,NA,NA
8459,4.59575,4.78774,-0.631766,NA,5007.254,NA,NA,NA
8725,5,5,-0.860548,NA,16060.826,NA,NA,NA
8878,4.87167,5,-0.818523,NA,NA,4067.206,NA,NA
9013,5,5,-0.327527,NA,NA,NA,2018.235,NA
9311,4.94776,4.71559,-0.816116,NA,16231.967,NA,NA,NA
9445,5,4.225,-1.37674,NA,6853.607,NA,NA,NA
9746,5,5,-0.810397,NA,13042.3,NA,NA,NA
9838,5,5,-0.976154,NA,8507.282,NA,NA,NA
10161,5,5,-0.906851,NA,11324.809,NA,NA,NA
10376,5,5,-1.99705,NA,5542.583,NA,NA,NA
10524,5,5,-1.03114,NA,5568.258,NA,NA,NA
10667,4.66189,4.76443,-0.935631,NA,11625.154,NA,NA,NA
10943,5,5,-0.885906,NA,11931.94,NA,NA,NA
11186,5,5,-0.968706,NA,8863.375,NA,NA,NA
11249,4.81695,5,-1.03557,NA,6934.089,NA,NA,NA
11427,5,5,-0.953141,10332.115,NA,NA,NA,NA
11668,5,4.73659,-0.934226,NA,11436.864,NA,NA,NA
11927,5,5,-1.95981,NA,5318.83,NA,NA,NA
12190,4.68274,5,-0.827084,NA,11436.906,NA,NA,NA
12322,5,5,-0.735379,NA,12418.771,NA,NA,NA
12502,4.33391,5,-0.234757,NA,4478.265,NA,NA,NA
12750,3.66992,5,-0.756504,NA,3687.307,NA,NA,NA
12818,5,5,-0.832799,NA,12894.655,NA,NA,NA
13017,5,5,-0.941213,NA,11817.829,NA,NA,NA
13214,4.22902,4.24225,-0.789321,NA,5011.181,NA,NA,NA
13553,4.43864,5,-2.49512,NA,1032.933,NA,NA,NA
13773,5,5,-2.20739,NA,2870.404,NA,NA,NA
13911,5,4.91569,-2.03906,NA,6963.419,NA,NA,NA
14111,5,4.78635,-0.921585,NA,13536.044,NA,NA,NA
14256,5,5,-1.05998,NA,3860.747,NA,NA,NA
14562,5,3.85619,-0.827601,NA,4033.321,NA,NA,NA
14638,5,3.42856,-0.268128,NA,1598.164,NA,NA,NA
14807,5,5,-0.827871,NA,16326.58,NA,NA,NA
15178,5,5,-0.724852,NA,12199.072,NA,NA,NA
15353,5,5,-0.563166,NA,5719.156,NA,NA,NA
15555,5,5,-1.66039,NA,NA,3172.231,NA,NA
15721,5,4.93372,-1.06473,NA,4418.616,NA,NA,NA
15988,5,4.74351,-0.782977,NA,14688.209,NA,NA,NA
16087,4.81969,5,0.230424,NA,3363.2,NA,NA,NA
16314,5,5,-1.04076,NA,5008.404,NA,NA,NA
16575,4.88142,5,-0.949718,NA,12864.757,NA,NA,NA
16630,5,5,-2.09437,NA,5898.929,NA,NA,NA
16933,4.35478,5,-1.62269,NA,3809.615,NA,NA,NA
17044,5,4.93916,-2.14611,NA,4688.083,NA,NA,NA
17308,5,4.88662,-2.11868,NA,6735.069,NA,NA,NA
17436,5,5,-1.35229,NA,NA,4557.69,NA,NA
17795,5,4.94522,-0.809262,NA,15728.802,NA,NA,NA
17927,4.91141,4.14927,-0.0986459,NA,4029.208,NA,NA,NA
18149,4.72571,4.77568,1.30872,NA,3427.16,NA,NA,NA
18321,4.89856,4.80161,-1.10135,NA,2183.965,NA,NA,NA
