id,x0,x1,x2,fitness
28,8.59276,6.27126,2.03967,0.247
398,8.53623,7.3535,2.23005,0.8
514,8.18103,6.56644,4.2118,0.589
607,8.00217,7.8724,4.73317,0.69
997,7.1291,7.46945,4.45432,0.786
1003,7.50573,7.23676,3.84147,0.851
1371,7.8449,7.23993,3.30508,0.407
1550,7.82888,6.73342,3.84841,0.666
1766,8.17368,7.21951,2.39397,0.756
1995,8.11017,7.21014,3.633,0.662
2199,8.1842,7.88616,3.85194,0.864
2254,7.49734,9.09139,3.92809,0.593
2540,7.9355,8.15383,5.52044,0.274
2699,7.83609,7.8895,7.0524,0.864
2996,6.94263,8.01721,7.23467,0.744
3158,7.98063,6.84573,8.01487,0.747
3260,7.85795,7.05235,7.87081,0.864
3583,7.38066,7.51075,7.59935,0.955
3763,7.68176,8.18223,6.81288,0.719
3890,7.70208,7.55914,7.14895,0.904
4146,7.51327,7.95562,7.51788,0.962
4277,7.58028,7.54425,7.29051,0.938
4426,6.98242,7.70066,7.9781,0.831
4745,7.74875,8.27669,7.20678,0.846
4853,8.10853,8.14851,7.76052,0.906
5149,7.36458,7.90998,7.66682,0.955
5232,7.63282,8.0204,8.24533,0.899
5528,7.53735,7.5827,8.55062,0.823
5698,7.14248,6.79049,7.66752,0.675
5835,7.50689,7.73806,7.48087,0.974
6035,7.22473,7.97476,7.15818,0.827
6226,8.33704,7.31155,7.1437,0.766
6452,6.72293,8.16648,7.25444,0.621
6650,7.3824,7.87443,7.34458,0.924
6902,7.89749,7.97152,7.5134,0.96
7180,8.36311,7.86726,7.89459,0.878
7293,7.88902,7.87659,7.37664,0.952
7516,8.10257,7.90162,7.5508,0.942
7766,7.55862,7.83673,7.21814,0.92
7989,7.60042,7.65743,7.64364,0.995
8107,7.85236,7.50828,8.53755,0.823
8293,6.75954,7.61055,7.87875,0.742
8439,7.36446,7.17981,6.73998,0.629
8617,8.46849,7.46583,7.86823,0.839
8895,7.93074,8.22814,7.45701,0.899
9070,7.59262,8.50697,7.99557,0.824
9281,7.85073,8.11837,8.00111,0.927
9549,8.36032,7.32972,8.33768,0.756
9681,7.5524,7.6133,7.46371,0.974
9981,8.52383,8.79283,7.39793,0.567
10086,7.4356,7.64008,7.26179,0.921
10230,7.90771,7.35505,8.28672,0.869
10435,8.06673,8.23911,8.18754,0.835
10623,7.80906,7.0874,8.1597,0.834
10842,8.03019,8.10731,7.90009,0.92
11151,7.90854,8.04253,8.04141,0.929
11357,8.11052,7.22486,7.53891,0.882
11418,7.91588,7.56147,8.13688,0.934
11612,8.2405,7.63299,7.45785,0.909
11815,8.27848,7.9725,8.09233,0.86
12145,7.32399,8.06501,8.66969,0.718
12396,7.35276,7.90373,7.59964,0.95
12481,7.58586,7.35732,7.91884,0.948
12696,7.32555,7.81677,7.93599,0.94
12933,8.05855,7.64396,7.29323,0.917
13076,7.18322,7.87526,6.92258,0.739
13259,6.99156,7.11561,7.62062,0.752
13552,7.85152,7.61576,6.99575,0.848
13713,7.92273,7.70137,8.34376,0.887
13809,7.86394,8.25128,7.98656,0.897
14016,7.49486,6.93867,8.05005,0.789
14271,7.16453,7.40817,7.90641,0.879
14487,7.93885,7.20845,7.30354,0.867
14784,6.9611,7.67604,7.58047,0.837
14806,8.99051,8.19015,7.59902,0.613
15146,7.70545,8.06149,8.15423,0.915
