id,x0,x1,x2,fitness9,fitness9.5,fitness7.5,fitness7,fitness8,fitness8.5,fitness6.5,fitness4.5,fitness6,fitness10,fitness4
186,8.33619,6.44586,7.28418,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,7.08655,7.49831,6.76973,NA,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,6.64329,7.60279,7.28994,NA,NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA
720,7.69147,6.89024,8.11793,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA,NA
843,7.43024,7.08285,7.82491,NA,NA,0.883,NA,NA,NA,NA,NA,NA,NA,NA
1159,7.56024,8.68047,6.84552,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA
1223,7.31573,9.16636,7.25657,NA,NA,0.587,NA,NA,NA,NA,NA,NA,NA,NA
1462,7.42094,7.13239,7.55238,NA,NA,NA,0.837,NA,NA,NA,NA,NA,NA,NA
1717,7.07372,8.43004,8.7181,NA,NA,NA,NA,0.643,NA,NA,NA,NA,NA,NA
1884,7.05449,7.8058,7.68983,NA,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA
2117,7.29488,7.8807,7.31951,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2317,7.93326,7.96584,7.91665,NA,NA,NA,NA,0.943,NA,NA,NA,NA,NA,NA
2502,7.72733,7.83788,7.74404,NA,NA,NA,NA,0.978,NA,NA,NA,NA,NA,NA
2733,8.35866,7.59937,8.38164,NA,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA
2949,8.699,7.51582,7.57966,NA,NA,NA,NA,0.777,NA,NA,NA,NA,NA,NA
3060,8.31869,8.24792,7.73292,NA,NA,NA,NA,0.863,NA,NA,NA,NA,NA,NA
3328,7.52655,8.31793,7.60842,NA,NA,0.904,NA,NA,NA,NA,NA,NA,NA,NA
3475,7.20201,8.45108,6.91852,NA,NA,NA,0.597,NA,NA,NA,NA,NA,NA,NA
3654,8.2524,7.48818,7.2738,NA,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA
3987,7.42049,7.7005,7.04185,NA,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA
4115,8.2207,7.38366,7.48746,NA,NA,NA,NA,NA,0.775,NA,NA,NA,NA,NA
4326,8.1383,8.11779,6.53004,NA,NA,NA,NA,0.657,NA,NA,NA,NA,NA,NA
4576,7.15849,9.27334,7.40661,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA,NA
4648,7.72191,7.97793,7.42516,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA
4926,7.67519,8.15913,7.48202,0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
