id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness9,fitness7,fitness6.5
104,6.6252,7.41934,8.80607,0.411,NA,NA,NA,NA,NA
323,7.46414,7.66113,8.6767,NA,0.786,NA,NA,NA,NA
454,7.79004,7.2571,7.99611,NA,NA,0.938,NA,NA,NA
677,7.34413,7.29697,7.59948,NA,NA,0.889,NA,NA,NA
971,6.57434,7.51253,8.21937,NA,0.664,NA,NA,NA,NA
1121,7.84294,7.94826,8.17297,NA,NA,0.942,NA,NA,NA
1274,7.79824,8.36009,8.32471,0.791,NA,NA,NA,NA,NA
1521,7.09789,7.63738,7.44467,NA,NA,0.901,NA,NA,NA
1738,7.66728,7.53014,8.06786,NA,NA,NA,0.753,NA,NA
1848,7.77081,7.81806,7.74979,0.892,NA,NA,NA,NA,NA
2062,7.30138,7.76098,6.60171,NA,NA,NA,NA,0.674,NA
2209,7.0108,8.04833,8.19581,NA,0.824,NA,NA,NA,NA
2591,7.76394,7.22817,7.23849,NA,NA,NA,NA,0.84,NA
2783,7.73838,7.72535,6.91673,NA,NA,0.867,NA,NA,NA
2922,8.10745,8.40339,7.10757,NA,0.8,NA,NA,NA,NA
3096,7.50107,8.1184,7.30451,NA,NA,0.921,NA,NA,NA
3353,8.17826,7.9263,7.49182,NA,NA,0.926,NA,NA,NA
3598,7.82607,7.00908,8.38726,NA,NA,0.797,NA,NA,NA
3635,7.4127,7.83763,7.26553,NA,NA,0.914,NA,NA,NA
3987,8.45224,7.43991,7.95869,NA,NA,0.87,NA,NA,NA
4058,8.37007,7.81496,7.83935,NA,0.882,NA,NA,NA,NA
4209,8.47326,7.39672,8.30649,NA,0.786,NA,NA,NA,NA
4498,8.12682,7.54058,7.68997,0.87,NA,NA,NA,NA,NA
4708,7.86535,8.06198,7.5352,NA,NA,0.963,NA,NA,NA
4933,7.43616,7.74015,7.70246,0.898,NA,NA,NA,NA,NA
5158,7.27105,7.53292,7.3222,NA,0.916,NA,NA,NA,NA
5269,8.0279,7.7015,7.48703,NA,NA,0.954,NA,NA,NA
5435,8.41541,7.77704,6.85753,NA,0.748,NA,NA,NA,NA
5680,7.71061,8.57863,7.61169,0.76,NA,NA,NA,NA,NA
5880,8.52635,8.42867,8.45948,0.622,NA,NA,NA,NA,NA
6066,8.00306,8.49503,8.18506,NA,0.791,NA,NA,NA,NA
6310,8.00151,8.30969,7.28087,NA,0.853,NA,NA,NA,NA
6526,7.13978,7.61337,8.23504,NA,NA,0.876,NA,NA,NA
6695,7.54438,7.57652,7.72353,0.908,NA,NA,NA,NA,NA
6944,7.52945,7.44261,8.825,NA,NA,0.754,NA,NA,NA
7082,8.19292,7.58297,8.15808,0.844,NA,NA,NA,NA,NA
7345,7.39806,7.91838,8.9729,0.606,NA,NA,NA,NA,NA
7600,7.11794,7.91235,8.56149,0.722,NA,NA,NA,NA,NA
7652,7.86852,7.22684,7.23478,NA,0.87,NA,NA,NA,NA
7816,7.26838,7.92547,7.4894,NA,0.916,NA,NA,NA,NA
8184,7.70751,8.01474,6.1193,NA,NA,0.559,NA,NA,NA
8326,7.39492,8.01952,7.65202,NA,NA,0.959,NA,NA,NA
8403,6.87679,7.69941,8.02512,NA,NA,0.834,NA,NA,NA
8742,8.15269,7.58314,8.22195,NA,NA,0.907,NA,NA,NA
8952,8.08853,7.85928,7.29835,NA,0.928,NA,NA,NA,NA
9071,7.21135,8.16376,8.09605,0.814,NA,NA,NA,NA,NA
9315,7.98346,7.70364,8.19397,0.849,NA,NA,NA,NA,NA
9588,7.04576,8.03075,8.17606,NA,NA,0.83,NA,NA,NA
9660,7.27958,8.27751,7.78811,0.807,NA,NA,NA,NA,NA
9986,7.42305,8.47096,8.34408,0.739,NA,NA,NA,NA,NA
10106,7.01947,7.88395,6.87815,0.605,NA,NA,NA,NA,NA
10256,8.16301,7.68208,6.50183,NA,0.624,NA,NA,NA,NA
10587,7.75548,7.87499,7.79574,NA,0.965,NA,NA,NA,NA
10721,7.55312,7.02494,8.2446,NA,NA,0.84,NA,NA,NA
10887,7.57472,7.9778,8.32899,NA,NA,NA,NA,0.816,NA
11156,6.72713,8.45073,7.69518,0.59,NA,NA,NA,NA,NA
11370,7.41104,7.55159,7.07785,NA,NA,NA,NA,0.775,NA
11539,7.59706,7.94662,7.48341,NA,NA,NA,NA,0.856,NA
