id,x0,x1,x2,fitness5.5,fitness7,fitness8.5,fitness8,fitness9.5,fitness10,fitness7.5,fitness6.5,fitness9,fitness6,fitness4.5,fitness4,fitness5,fitness3.5,fitness10.5
95,8.38926,5.88365,4.5062,-0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,8.18302,6.54417,4.06483,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,7.73494,6.49456,3.91114,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,7.45732,6.9744,3.82693,NA,NA,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,7.12612,6.97697,3.73273,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,7.18887,7.16743,5.6421,NA,NA,NA,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256,7.81746,8.17343,5.77186,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412,8.24095,8.28913,7.1461,NA,NA,NA,NA,NA,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA
1739,9.18847,6.66079,7.80856,NA,NA,NA,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,8.68938,7.34576,8.04767,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2140,8.35927,8.17587,7.85821,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2368,8.97797,7.54431,7.93523,NA,NA,NA,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA
2419,7.74046,7.13199,8.73868,NA,NA,NA,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2655,7.98713,7.36904,8.10427,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2936,7.18934,6.23339,7.30552,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3039,7.30171,8.85808,7.32431,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3270,8.59427,8.43916,7.57965,NA,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3566,8.15848,7.91333,7.7828,NA,NA,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3665,9.98393,8.24083,8.39068,NA,NA,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3955,9.04685,7.7792,7.50704,NA,NA,NA,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4191,8.62336,7.65775,8.39129,NA,NA,NA,NA,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA,NA
4316,7.50865,7.13142,7.39572,NA,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4551,7.19789,6.87832,8.3868,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4618,7.19215,6.9817,8.17144,NA,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4804,6.53797,7.31246,8.82608,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5086,7.04988,7.33045,8.15596,NA,NA,NA,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5313,7.95936,7.40115,7.73516,NA,NA,NA,NA,NA,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA
5514,7.10054,7.12435,7.84116,NA,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5749,7.75007,6.27575,7.22634,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5880,6.70206,7.39303,7.26979,NA,NA,NA,NA,NA,NA,0.719,NA,NA,NA,NA,NA,NA,NA,NA
6138,6.79335,8.10013,7.51379,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6291,6.90525,7.19698,7.62247,NA,NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6564,6.76149,7.80104,7.39411,NA,NA,NA,NA,NA,NA,0.789,NA,NA,NA,NA,NA,NA,NA,NA
6792,7.85577,8.10256,7.44465,NA,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6986,6.24167,7.89626,7.57312,NA,NA,NA,NA,NA,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA
7007,5.27388,7.73583,7.10481,NA,NA,NA,NA,NA,NA,0.445,NA,NA,NA,NA,NA,NA,NA,NA
7267,4.26039,7.3093,6.75695,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA
7469,3.59823,8.09067,7.63945,NA,0.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7734,3.5653,7.41064,7.42491,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
