id,x0,x1,x2,fitness2.5,fitness1,fitness2,fitness4,fitness3
11,0.598833,8.37713,7.75182,0.789,NA,NA,NA,NA
216,0.598833,8.37713,7.75182,NA,0.86,NA,NA,NA
232,0.598833,7.77105,7.75182,NA,0.941,NA,NA,NA
277,0.64888,7.77105,7.75182,NA,0.944,NA,NA,NA
291,0.64888,7.77105,7.75182,NA,NA,0.954,NA,NA
323,0.64888,7.77105,7.75182,NA,NA,NA,0.975,NA
367,0.64888,7.77105,7.75182,NA,NA,NA,0.98,NA
379,0.64888,7.6751,7.75182,NA,NA,NA,0.981,NA
401,0.641678,7.6751,7.75182,NA,NA,NA,0.99,NA
410,0.612134,7.6751,7.75182,NA,NA,NA,0.995,NA
447,2.17968,7.6751,7.75182,NA,NA,NA,0.999,NA
545,2.17968,7.6751,7.73726,NA,NA,NA,0.999,NA
577,2.17968,7.71897,7.73726,NA,NA,NA,0.999,NA
688,2.17968,7.71897,7.69173,NA,NA,NA,0.999,NA
714,1.16805,7.71897,7.69173,NA,NA,NA,1,NA
824,1.16805,7.71897,7.70299,NA,NA,NA,1,NA
1128,1.16805,7.70354,7.70299,NA,NA,NA,1,NA
1445,1.16805,7.70354,7.70509,NA,NA,NA,1,NA
1849,1.16805,7.70354,7.70509,NA,NA,NA,1,NA
2370,2.19329,7.70354,7.70509,NA,NA,NA,1,NA
2932,2.19329,7.70607,7.70509,NA,NA,NA,1,NA
3380,2.19329,7.70607,7.70509,NA,NA,NA,1,NA
3783,2.19329,7.70607,7.70743,NA,NA,NA,1,NA
4737,2.19329,7.70607,7.70605,NA,NA,NA,1,NA
5437,2.19329,7.70609,7.70605,NA,NA,NA,1,NA
6300,2.19329,7.70631,7.70605,NA,NA,NA,1,NA
6738,2.19329,7.70631,7.70605,NA,NA,NA,1,NA
7946,2.19329,7.70631,7.70605,NA,NA,NA,NA,0.508
