id,x0,x1,x2,fitness4.5,fitness4
117,4.26328,4.28578,2.22488,0.786,NA
211,4.26328,4.28578,2.22488,NA,0.955
234,4.26328,4.09606,2.22488,NA,0.976
259,4.26328,4.09606,2.22488,NA,0.979
290,4.0306,4.09606,2.22488,NA,0.99
323,4.0306,7.72693,2.22488,NA,0.99
352,4.0306,7.72693,1.17136,NA,0.993
428,4.08012,7.72693,1.17136,NA,0.997
495,4.08012,7.72693,1.17136,NA,0.999
526,4.09707,7.72693,1.17136,NA,1
579,4.09707,7.69139,1.17136,NA,1
599,4.11189,7.69139,1.17136,NA,1
1078,4.11189,7.69139,1.17136,NA,1
1609,4.11189,7.70364,1.17136,NA,1
2416,4.11189,7.70364,0.624363,NA,1
2846,4.11189,7.7071,0.624363,NA,1
4942,4.11122,7.7071,0.624363,NA,1
5747,4.11122,7.7071,0.624363,NA,1
8170,2.78368,7.7071,0.624363,NA,0.568
