id,x0,x1,x2,fitness-0.5,fitness-1,fitness-1.5,fitness-2,fitness-2.5,fitness0,fitness-3,fitness-3.5,fitness-4,fitness-5,fitness-4.5
178,-2.09722,3.75296,3.21659,-182.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,-1.7786,3.19419,4.8008,-209.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,-1.1799,5,4.35038,NA,-77.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
750,-3.36412,5,4.52394,NA,-149.379,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,-1.75355,3.74693,5,NA,NA,-92.961,NA,NA,NA,NA,NA,NA,NA,NA
1100,-1.35591,3.73794,4.4054,NA,NA,-81.378,NA,NA,NA,NA,NA,NA,NA,NA
1336,-1.01398,5,3.80805,NA,NA,NA,-36.862,NA,NA,NA,NA,NA,NA,NA
1443,-1.73248,5,4.4757,NA,NA,NA,NA,-44.505,NA,NA,NA,NA,NA,NA
1623,-1.44957,4.4561,3.88809,NA,NA,-34.705,NA,NA,NA,NA,NA,NA,NA,NA
1838,-0.694644,4.14695,4.54185,-168.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2082,-0.852435,4.97109,3.84507,NA,NA,-56.319,NA,NA,NA,NA,NA,NA,NA,NA
2306,-2.27148,4.64467,5,NA,NA,NA,-78.306,NA,NA,NA,NA,NA,NA,NA
2574,-2.79152,4.18596,4.1303,NA,NA,NA,NA,NA,-225.181,NA,NA,NA,NA,NA
2678,-2.03277,3.98819,5,NA,-122.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2882,-1.01395,4.74985,5,NA,NA,-90.868,NA,NA,NA,NA,NA,NA,NA,NA
3101,-0.399004,5,4.30795,NA,-124.462,NA,NA,NA,NA,NA,NA,NA,NA,NA
3241,-1.36013,4.62766,3.65473,NA,NA,NA,NA,NA,NA,-24.703,NA,NA,NA,NA
3561,-2.8058,5,3.5822,NA,NA,NA,NA,NA,NA,NA,-90.087,NA,NA,NA
3779,-2.02214,5,4.78423,NA,NA,NA,NA,NA,NA,NA,NA,-129.246,NA,NA
3967,-1.54531,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-247.147,NA
4087,-1.89566,4.81374,4.67855,NA,NA,NA,NA,NA,NA,-76.739,NA,NA,NA,NA
4260,-2.58156,4.0811,4.99207,NA,NA,NA,NA,NA,NA,-100.794,NA,NA,NA,NA
4481,-1.7669,2.71101,5,NA,NA,-164.398,NA,NA,NA,NA,NA,NA,NA,NA
4604,-1.14311,4.04971,5,NA,NA,NA,-82.567,NA,NA,NA,NA,NA,NA,NA
4940,-2.33152,5,4.27736,NA,NA,NA,-47.346,NA,NA,NA,NA,NA,NA,NA
5194,-2.27272,5,5,NA,-108.659,NA,NA,NA,NA,NA,NA,NA,NA,NA
5237,-2.57779,4.51598,5,NA,NA,-97.872,NA,NA,NA,NA,NA,NA,NA,NA
5511,-3.06872,5,5,NA,-153.583,NA,NA,NA,NA,NA,NA,NA,NA,NA
5679,-1.02751,5,5,NA,NA,-95.215,NA,NA,NA,NA,NA,NA,NA,NA
5916,-2.5309,5,5,NA,NA,-94.518,NA,NA,NA,NA,NA,NA,NA,NA
6175,-2.34892,5,4.83628,NA,NA,-87.421,NA,NA,NA,NA,NA,NA,NA,NA
6316,-1.30572,3.83753,5,NA,NA,NA,-86.672,NA,NA,NA,NA,NA,NA,NA
6551,-1.95312,4.56858,4.80992,NA,NA,-77.992,NA,NA,NA,NA,NA,NA,NA,NA
6618,-1.88519,5,5,NA,NA,NA,-74.059,NA,NA,NA,NA,NA,NA,NA
