id,x0,x1,x2,fitness-2.5,fitness-2,fitness-1.5,fitness-3,fitness-3.5,fitness0,fitness-4,fitness-1,fitness-4.5,fitness-0.5
180,2.56385,0.178897,-4.51321,-117.863,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,3.50689,0.309181,-4.9809,NA,-146.19,NA,NA,NA,NA,NA,NA,NA,NA
405,3.98568,0.734671,-3.65393,NA,NA,-166.793,NA,NA,NA,NA,NA,NA,NA
622,2.76104,1.61775,-5,-35.573,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,2.06578,2.37516,-5,NA,NA,NA,-31.783,NA,NA,NA,NA,NA,NA
1180,1.0472,2.09587,-4.96317,NA,-34.542,NA,NA,NA,NA,NA,NA,NA,NA
1315,1.13023,0.668037,-4.07123,NA,NA,NA,-77.031,NA,NA,NA,NA,NA,NA
1477,2.20155,2.42,-5,NA,NA,NA,NA,-48.896,NA,NA,NA,NA,NA
1730,1.99927,1.81053,-5,-16.623,NA,NA,NA,NA,NA,NA,NA,NA,NA
1801,1.91624,1.93205,-5,NA,-26.553,NA,NA,NA,NA,NA,NA,NA,NA
2180,1.31396,2.10854,-4.71206,-17.712,NA,NA,NA,NA,NA,NA,NA,NA,NA
2277,1.17127,2.1041,-5,-28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457,1.44999,1.84076,-5,NA,NA,NA,NA,-34.162,NA,NA,NA,NA,NA
2673,0.624768,1.34713,-5,NA,NA,NA,NA,-81.877,NA,NA,NA,NA,NA
2936,1.4988,0.453219,-4.95101,NA,NA,NA,-90.723,NA,NA,NA,NA,NA,NA
3127,1.37636,1.61579,-3.9347,NA,NA,NA,-13.336,NA,NA,NA,NA,NA,NA
3304,1.66168,2.05713,-4.10745,NA,NA,NA,-12.223,NA,NA,NA,NA,NA,NA
3502,2.58909,1.73898,-3.91793,-25.156,NA,NA,NA,NA,NA,NA,NA,NA,NA
3647,2.01821,1.358,-4.93605,-16.819,NA,NA,NA,NA,NA,NA,NA,NA,NA
3833,1.9732,2.0486,-5,NA,-26.267,NA,NA,NA,NA,NA,NA,NA,NA
4059,2.21537,1.29404,-4.74755,NA,NA,-49.405,NA,NA,NA,NA,NA,NA,NA
4319,1.81704,1.8557,-5,NA,NA,NA,NA,-44.607,NA,NA,NA,NA,NA
4587,2.5155,1.31069,-5,NA,NA,NA,-34.742,NA,NA,NA,NA,NA,NA
4741,2.52493,1.53201,-5,NA,NA,NA,NA,-40.958,NA,NA,NA,NA,NA
4952,2.35124,1.18476,-4.67361,-21.386,NA,NA,NA,NA,NA,NA,NA,NA,NA
5025,2.94172,1.9263,-4.5814,NA,NA,NA,-40.838,NA,NA,NA,NA,NA,NA
5214,3.1861,1.86394,-4.78922,NA,NA,NA,NA,-65.97,NA,NA,NA,NA,NA
5478,3.01195,0.766651,-3.96539,NA,NA,NA,-70.309,NA,NA,NA,NA,NA,NA
5733,2.43193,3.0505,-4.3119,NA,NA,NA,NA,NA,-165.202,NA,NA,NA,NA
5904,3.0263,2.03618,-5,NA,NA,-68.775,NA,NA,NA,NA,NA,NA,NA
6074,2.26002,2.18868,-5,NA,NA,-47.179,NA,NA,NA,NA,NA,NA,NA
6282,1.12464,2.54122,-4.63259,-32.547,NA,NA,NA,NA,NA,NA,NA,NA,NA
6461,0.876416,1.8127,-4.90858,-34.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
6626,0.58356,1.50067,-4.1095,NA,-54.393,NA,NA,NA,NA,NA,NA,NA,NA
6906,0.909366,1.87062,-4.74369,-29.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
7042,0.9147,2.78138,-5,-56.372,NA,NA,NA,NA,NA,NA,NA,NA,NA
7223,2.83364,1.44765,-4.67755,-34.181,NA,NA,NA,NA,NA,NA,NA,NA,NA
7539,2.51121,2.22907,-5,NA,-38.836,NA,NA,NA,NA,NA,NA,NA,NA
7768,1.30069,2.12035,-5,-25.715,NA,NA,NA,NA,NA,NA,NA,NA,NA
7922,0.865957,2.2286,-5,NA,NA,-57.532,NA,NA,NA,NA,NA,NA,NA
8106,2.02274,2.15841,-4.09666,-11.773,NA,NA,NA,NA,NA,NA,NA,NA,NA
8342,1.33722,1.33563,-5,NA,NA,NA,-34.781,NA,NA,NA,NA,NA,NA
8484,1.41962,1.6684,-5,NA,NA,NA,NA,NA,NA,-61.926,NA,NA,NA
8702,1.46355,1.71395,-5,NA,NA,NA,-24.42,NA,NA,NA,NA,NA,NA
8984,1.66236,0.994014,-3.47914,-45.529,NA,NA,NA,NA,NA,NA,NA,NA,NA
9160,2.78928,2.21064,-3.45443,-55.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
9370,2.50705,2.35179,-3.69564,NA,NA,NA,NA,NA,NA,NA,-88.208,NA,NA
9492,2.73901,2.13781,-4.4765,-29.788,NA,NA,NA,NA,NA,NA,NA,NA,NA
9633,2.54282,2.29675,-5,NA,NA,NA,-39.652,NA,NA,NA,NA,NA,NA
9885,2.57502,1.50898,-4.41208,NA,NA,NA,-24.209,NA,NA,NA,NA,NA,NA
10153,3.11604,1.79167,-5,NA,NA,NA,NA,-73.551,NA,NA,NA,NA,NA
10312,1.64042,1.27397,-4.43284,NA,NA,NA,-12.07,NA,NA,NA,NA,NA,NA
10471,1.0109,2.15944,-5,-33.774,NA,NA,NA,NA,NA,NA,NA,NA,NA
10635,1.76055,2.49478,-4.6842,NA,NA,NA,NA,-45.14,NA,NA,NA,NA,NA
10989,2.42684,2.36336,-3.88307,NA,NA,NA,NA,-49.634,NA,NA,NA,NA,NA
11041,3.23896,2.26258,-3.73131,-71.511,NA,NA,NA,NA,NA,NA,NA,NA,NA
11283,2.62923,1.45951,-3.13678,-63.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
11555,1.41445,1.39642,-4.22405,NA,NA,NA,NA,-27.257,NA,NA,NA,NA,NA
11630,2.21986,0.763705,-3.82975,-49.897,NA,NA,NA,NA,NA,NA,NA,NA,NA
11958,1.56743,0.9287,-2.84287,NA,NA,NA,-89.462,NA,NA,NA,NA,NA,NA
12010,1.42148,0.532779,-4.43041,-77.279,NA,NA,NA,NA,NA,NA,NA,NA,NA
12288,1.61963,0.828818,-4.97695,NA,NA,NA,NA,-60.606,NA,NA,NA,NA,NA
12505,2.44807,1.09735,-4.68898,NA,NA,NA,-32.345,NA,NA,NA,NA,NA,NA
12723,1.90607,0.273488,-4.81146,NA,NA,NA,NA,-110.311,NA,NA,NA,NA,NA
12998,2.64586,0.560404,-4.58678,-72.502,NA,NA,NA,NA,NA,NA,NA,NA,NA
13191,2.84518,0.759259,-5,NA,NA,NA,-69.24,NA,NA,NA,NA,NA,NA
13227,3.01355,2.0342,-5,NA,NA,NA,-55.885,NA,NA,NA,NA,NA,NA
13416,1.95044,2.09298,-3.84775,NA,NA,NA,-15.896,NA,NA,NA,NA,NA,NA
13758,1.38415,2.42109,-3.73385,-29.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
13943,2.2549,1.95074,-3.36297,NA,NA,NA,NA,-66.084,NA,NA,NA,NA,NA
14177,2.14844,2.01947,-4.18279,NA,-12.019,NA,NA,NA,NA,NA,NA,NA,NA
14359,1.78921,1.1108,-4.40528,-11.588,NA,NA,NA,NA,NA,NA,NA,NA,NA
14554,2.74049,1.32969,-3.58338,-45.414,NA,NA,NA,NA,NA,NA,NA,NA,NA
14677,2.27234,2.63027,-3.46662,-50.666,NA,NA,NA,NA,NA,NA,NA,NA,NA
14948,2.08361,2.61177,-4.94028,-34.282,NA,NA,NA,NA,NA,NA,NA,NA,NA
15131,2.70058,3.26557,-5,NA,NA,NA,NA,-106.035,NA,NA,NA,NA,NA
15358,1.77592,2.22615,-5,NA,-23.273,NA,NA,NA,NA,NA,NA,NA,NA
15410,1.46583,2.45341,-5,-29.502,NA,NA,NA,NA,NA,NA,NA,NA,NA
15665,1.33884,1.65756,-4.39799,NA,NA,NA,NA,-43.231,NA,NA,NA,NA,NA
15957,1.42167,2.1718,-4.18984,NA,NA,NA,NA,NA,NA,NA,NA,-89.775,NA
16070,2.63573,2.05545,-4.93571,NA,NA,NA,NA,NA,NA,-64.348,NA,NA,NA
16349,2.4069,2.0341,-5,NA,NA,NA,-31.904,NA,NA,NA,NA,NA,NA
16597,2.16945,1.83561,-5,NA,-25.974,NA,NA,NA,NA,NA,NA,NA,NA
16756,2.06299,2.00578,-3.66537,-19.126,NA,NA,NA,NA,NA,NA,NA,NA,NA
16925,2.10572,1.94026,-3.96788,NA,NA,-35.551,NA,NA,NA,NA,NA,NA,NA
17100,2.69591,1.17858,-4.84155,NA,-42.568,NA,NA,NA,NA,NA,NA,NA,NA
17294,2.55265,1.99638,-3.86289,NA,NA,-38.824,NA,NA,NA,NA,NA,NA,NA
17579,2.31754,2.29474,-3.8866,-24.275,NA,NA,NA,NA,NA,NA,NA,NA,NA
17686,2.19604,1.80608,-4.37108,NA,-14.744,NA,NA,NA,NA,NA,NA,NA,NA
17847,1.71861,1.88188,-4.47156,NA,NA,NA,NA,-20.675,NA,NA,NA,NA,NA
18125,0.561552,1.65227,-3.99999,NA,NA,-66.508,NA,NA,NA,NA,NA,NA,NA
18244,1.25573,1.80757,-4.34078,-10.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
18409,2.30903,1.56027,-3.95747,-13.509,NA,NA,NA,NA,NA,NA,NA,NA,NA
18708,2.33142,1.24258,-5,NA,NA,NA,-30.469,NA,NA,NA,NA,NA,NA
18893,1.91961,1.89641,-4.29438,-3.433,NA,NA,NA,NA,NA,NA,NA,NA,NA
19001,1.5576,2.1343,-5,NA,-28.04,NA,NA,NA,NA,NA,NA,NA,NA
19259,1.78772,1.89972,-5,NA,NA,NA,NA,NA,NA,NA,-73.452,NA,NA
19521,1.75597,2.72249,-5,NA,NA,NA,NA,NA,NA,NA,-82.42,NA,NA
19672,2.90746,3.21143,-5,NA,-93.192,NA,NA,NA,NA,NA,NA,NA,NA
19829,1.98079,2.94905,-4.51156,-40.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
20124,1.55494,1.86281,-3.85208,-10.398,NA,NA,NA,NA,NA,NA,NA,NA,NA
20265,1.21814,2.05852,-4.86124,NA,NA,NA,-22.732,NA,NA,NA,NA,NA,NA
20575,0.499681,2.83572,-3.94937,NA,NA,NA,-80.54,NA,NA,NA,NA,NA,NA
20724,0.223724,2.51168,-5,-80.349,NA,NA,NA,NA,NA,NA,NA,NA,NA
20916,1.44549,1.97192,-3.55098,NA,NA,NA,-33.429,NA,NA,NA,NA,NA,NA
21184,2.20556,2.73715,-4.2082,NA,-37.773,NA,NA,NA,NA,NA,NA,NA,NA
21233,1.67656,2.18862,-3.98075,-13.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
21522,1.54778,1.33817,-3.79874,-14.847,NA,NA,NA,NA,NA,NA,NA,NA,NA
21771,1.58499,2.18624,-4.28692,-10.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
21809,1.78587,2.32415,-3.65171,NA,NA,NA,NA,-55.162,NA,NA,NA,NA,NA
22126,0.753545,1.53246,-3.64462,NA,NA,NA,NA,-69.587,NA,NA,NA,NA,NA
22219,1.26562,2.41734,-4.08212,NA,NA,NA,NA,NA,NA,-64.268,NA,NA,NA
22403,1.74362,2.51197,-4.65611,NA,NA,NA,NA,-38.89,NA,NA,NA,NA,NA
22653,1.26003,3.25611,-5,NA,NA,NA,-74.143,NA,NA,NA,NA,NA,NA
22865,0.673034,2.48628,-5,NA,-65.895,NA,NA,NA,NA,NA,NA,NA,NA
23022,0.465519,1.57608,-5,NA,NA,NA,-60.93,NA,NA,NA,NA,NA,NA
23252,1.3643,2.20892,-4.63937,NA,-27.083,NA,NA,NA,NA,NA,NA,NA,NA
23590,2.15499,1.69148,-4.67115,-8.833,NA,NA,NA,NA,NA,NA,NA,NA,NA
23703,2.2273,2.19043,-4.47995,NA,NA,NA,NA,NA,NA,NA,-76.623,NA,NA
23880,2.20719,1.91527,-3.32618,NA,NA,-61.289,NA,NA,NA,NA,NA,NA,NA
24186,1.08094,0.722953,-4.63323,-75.935,NA,NA,NA,NA,NA,NA,NA,NA,NA
24272,1.6652,2.37743,-4.16681,NA,-21.37,NA,NA,NA,NA,NA,NA,NA,NA
