id,x0,x1,x2,fitness-2.5,fitness-4,fitness-3.5,fitness-1.5,fitness-3,fitness-2,fitness-1,fitness-4.5
180,2.56385,0.178897,-4.51321,-117.863,NA,NA,NA,NA,NA,NA,NA
334,2.77164,1.77206,-5,NA,-82.374,NA,NA,NA,NA,NA,NA
519,2.58907,2.10185,-4.41658,NA,NA,-43.359,NA,NA,NA,NA,NA
703,1.61682,2.64679,-4.44057,-26.108,NA,NA,NA,NA,NA,NA,NA
927,1.12079,2.40859,-4.67961,NA,NA,NA,-60.448,NA,NA,NA,NA
1066,2.37802,1.78003,-3.88645,-18.618,NA,NA,NA,NA,NA,NA,NA
1260,2.3214,0.866081,-3.92498,NA,NA,NA,NA,-42.344,NA,NA,NA
1572,1.93657,1.91438,-4.81175,-11.272,NA,NA,NA,NA,NA,NA,NA
1770,1.95089,2.3917,-4.29848,NA,NA,NA,NA,-18.276,NA,NA,NA
1856,2.16559,2.62246,-5,NA,NA,NA,NA,NA,-39.659,NA,NA
2077,2.56346,0.904354,-4.46634,-40.648,NA,NA,NA,NA,NA,NA,NA
2231,1.57296,1.91148,-4.51052,NA,NA,NA,NA,NA,-15.877,NA,NA
2522,2.87767,1.21761,-3.96117,NA,NA,NA,NA,-52.003,NA,NA,NA
2762,1.6463,1.76333,-4.43336,NA,NA,NA,NA,NA,-8.473,NA,NA
2935,1.95495,0.962211,-4.45187,NA,NA,NA,NA,NA,-25.738,NA,NA
3059,1.29452,1.47687,-4.67927,-13.215,NA,NA,NA,NA,NA,NA,NA
3257,1.78435,1.70988,-4.91873,NA,NA,NA,NA,NA,-13.33,NA,NA
3474,2.0927,1.88845,-4.2017,NA,NA,NA,NA,NA,-10.059,NA,NA
3631,2.43381,1.76174,-4.58373,NA,NA,NA,-42.126,NA,NA,NA,NA
3830,2.36091,2.48653,-5,-35.293,NA,NA,NA,NA,NA,NA,NA
4160,2.14635,2.16636,-4.81619,-17.68,NA,NA,NA,NA,NA,NA,NA
4252,1.08204,2.03669,-4.33311,-18.952,NA,NA,NA,NA,NA,NA,NA
4506,2.09953,1.30753,-3.98511,-10.947,NA,NA,NA,NA,NA,NA,NA
4628,2.04686,2.06296,-4.31057,NA,NA,NA,NA,-13.365,NA,NA,NA
4975,1.16447,1.71799,-5,NA,NA,NA,NA,NA,-31.887,NA,NA
5111,0.951106,1.58654,-5,NA,NA,NA,-57.885,NA,NA,NA,NA
5222,1.85696,2.45712,-4.23996,NA,NA,NA,-31.186,NA,NA,NA,NA
5492,2.15218,1.61993,-4.43561,NA,NA,NA,NA,-7.123,NA,NA,NA
5622,2.17494,1.83683,-5,-19.089,NA,NA,NA,NA,NA,NA,NA
5936,2.28044,1.9356,-4.11393,-12.156,NA,NA,NA,NA,NA,NA,NA
6109,1.629,0.812837,-5,-51.757,NA,NA,NA,NA,NA,NA,NA
6356,1.97131,0.741328,-4.42254,-42.197,NA,NA,NA,NA,NA,NA,NA
6442,1.91445,1.78901,-5,-15.136,NA,NA,NA,NA,NA,NA,NA
6712,1.87437,1.2943,-3.64878,-19.97,NA,NA,NA,NA,NA,NA,NA
6963,1.75168,1.52043,-4.11608,NA,NA,NA,NA,NA,-16.94,NA,NA
7138,2.23601,1.68497,-5,NA,NA,NA,NA,NA,-26.718,NA,NA
7377,2.2301,2.4705,-5,-32.381,NA,NA,NA,NA,NA,NA,NA
7573,1.92522,2.05445,-5,NA,NA,NA,NA,NA,-21.637,NA,NA
7709,2.08866,1.97533,-5,-18.927,NA,NA,NA,NA,NA,NA,NA
7945,2.7908,2.01347,-5,NA,NA,NA,NA,NA,-40.291,NA,NA
8117,2.1422,1.33703,-4.84438,-15.48,NA,NA,NA,NA,NA,NA,NA
8237,2.31481,1.56817,-5,NA,NA,NA,NA,-23.084,NA,NA,NA
8416,2.82627,2.27265,-5,NA,NA,-59.352,NA,NA,NA,NA,NA
8719,2.38356,1.39715,-5,NA,NA,NA,NA,-26.309,NA,NA,NA
9000,1.53839,2.73329,-4.03189,NA,NA,NA,NA,NA,-34.183,NA,NA
9026,1.47069,1.91939,-4.06805,NA,NA,NA,NA,-16.923,NA,NA,NA
9203,3.25295,1.79217,-5,NA,NA,NA,NA,-61.915,NA,NA,NA
9429,2.12016,1.14455,-4.97346,NA,NA,NA,NA,-29.601,NA,NA,NA
9662,2.77858,1.81559,-4.06949,NA,NA,NA,NA,-31.153,NA,NA,NA
9997,2.39899,2.16459,-3.58593,NA,NA,-50.125,NA,NA,NA,NA,NA
10050,2.56432,1.95144,-3.69039,NA,NA,NA,NA,NA,-32.523,NA,NA
10292,2.52173,2.21004,-3.98749,NA,NA,NA,NA,NA,-27.627,NA,NA
10470,1.80998,1.60002,-4.47146,NA,NA,NA,NA,NA,-5.659,NA,NA
10628,1.88999,1.76945,-4.31752,NA,NA,NA,-20.014,NA,NA,NA,NA
10834,1.39721,1.11049,-5,NA,NA,NA,NA,NA,-41.245,NA,NA
11120,0.839349,1.7795,-4.68973,NA,NA,NA,NA,-37.877,NA,NA,NA
11357,1.5818,2.27053,-4.21623,NA,NA,NA,NA,-15.297,NA,NA,NA
11470,1.83179,1.82215,-5,NA,NA,NA,NA,NA,-26.011,NA,NA
11718,1.89343,2.07595,-5,NA,-54.018,NA,NA,NA,NA,NA,NA
11917,3.31015,1.18666,-4.69464,NA,NA,NA,NA,NA,-69.573,NA,NA
12195,2.88459,1.59511,-4.38371,NA,NA,NA,NA,-39.673,NA,NA,NA
12251,1.54372,1.54104,-4.50565,-3.489,NA,NA,NA,NA,NA,NA,NA
12583,1.8133,2.00085,-5,NA,NA,NA,NA,NA,NA,-51.346,NA
12780,2.3933,1.97201,-5,NA,NA,NA,NA,NA,-28.398,NA,NA
12907,2.39182,2.0181,-3.89623,NA,NA,NA,-33.583,NA,NA,NA,NA
13027,1.93026,1.37131,-4.41906,NA,NA,NA,NA,NA,-9.945,NA,NA
13201,1.06814,1.88226,-4.16877,NA,NA,NA,NA,NA,-28.899,NA,NA
13503,1.75454,1.59391,-4.85215,-10.023,NA,NA,NA,NA,NA,NA,NA
13682,1.91526,1.10678,-5,NA,NA,NA,NA,NA,-37.587,NA,NA
13997,2.57272,1.14838,-5,NA,NA,NA,NA,NA,-41.743,NA,NA
14135,2.22996,1.70685,-4.90918,NA,NA,NA,NA,-23.156,NA,NA,NA
14244,2.03318,2.03531,-5,NA,NA,NA,NA,-28.489,NA,NA,NA
14500,2.00164,1.56914,-4.65912,NA,NA,NA,NA,NA,-16.129,NA,NA
14631,2.56871,1.56312,-4.63773,NA,NA,NA,NA,-29.79,NA,NA,NA
14865,1.81478,0.835493,-4.87653,NA,NA,NA,NA,NA,-44.376,NA,NA
15025,1.03715,0.992324,-5,-58.247,NA,NA,NA,NA,NA,NA,NA
15217,1.92964,2.20705,-4.14349,NA,NA,NA,NA,-15.976,NA,NA,NA
15464,1.91765,1.26743,-3.69677,NA,NA,NA,-37.508,NA,NA,NA,NA
15785,2.3042,1.6646,-3.81908,-16.751,NA,NA,NA,NA,NA,NA,NA
15808,1.97539,2.00694,-4.70413,-10.099,NA,NA,NA,NA,NA,NA,NA
16054,2.04235,2.16635,-5,-21.951,NA,NA,NA,NA,NA,NA,NA
16218,2.17944,2.76754,-5,NA,NA,NA,NA,NA,-44.336,NA,NA
16444,2.05053,2.19371,-4.73307,NA,NA,NA,NA,NA,-19.447,NA,NA
16785,2.37027,2.33833,-4.1006,-23.89,NA,NA,NA,NA,NA,NA,NA
16832,2.50405,2.01373,-4.23291,NA,NA,NA,NA,NA,-20.431,NA,NA
17187,1.53929,2.16871,-4.11976,NA,NA,NA,NA,NA,-17.704,NA,NA
17214,1.83805,2.30408,-4.47273,NA,NA,NA,NA,NA,-23.792,NA,NA
17568,2.21919,1.56444,-3.53042,NA,NA,NA,NA,NA,-28.114,NA,NA
17738,1.34881,1.78925,-3.81176,NA,NA,NA,NA,NA,-21.298,NA,NA
17942,1.53613,1.55132,-4.21646,NA,NA,NA,NA,NA,-8.497,NA,NA
18095,1.98045,2.84271,-5,-43.782,NA,NA,NA,NA,NA,NA,NA
18283,2.34593,1.80418,-5,NA,NA,NA,NA,NA,-25.45,NA,NA
18438,1.76002,1.17744,-5,-24.696,NA,NA,NA,NA,NA,NA,NA
18770,1.45626,2.54881,-4.79281,NA,NA,NA,NA,NA,-29.989,NA,NA
18969,1.19943,1.97426,-4.62428,NA,NA,NA,NA,NA,-20.733,NA,NA
19053,2.53646,1.39818,-5,-31.171,NA,NA,NA,NA,NA,NA,NA
19359,1.8594,2.20485,-5,NA,NA,NA,NA,NA,-22.374,NA,NA
19426,2.81458,2.22746,-5,NA,-97.016,NA,NA,NA,NA,NA,NA
19734,2.57599,1.12687,-4.4982,-31.165,NA,NA,NA,NA,NA,NA,NA
19856,2.89304,1.63594,-3.97946,-36.942,NA,NA,NA,NA,NA,NA,NA
