id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4.5,fitness-4,fitness-3,fitness-2.5,fitness-2
29,-2.9983,3.88856,-3.45829,-148.303,NA,NA,NA,NA,NA,NA
271,-2.94552,4.97933,-3.97078,NA,-118.44,NA,NA,NA,NA,NA
405,-2.03728,2.85481,-4.10955,NA,NA,-106.448,NA,NA,NA,NA
786,-1.38039,3.18558,-5,NA,-78.93,NA,NA,NA,NA,NA
898,-0.842034,2.91453,-5,NA,-111.33,NA,NA,NA,NA,NA
1139,-0.328983,3.34641,-5,NA,NA,-208.4,NA,NA,NA,NA
1329,-1.81614,4.39195,-5,NA,-51.155,NA,NA,NA,NA,NA
1405,-2.9353,5,-4.84126,NA,-98.097,NA,NA,NA,NA,NA
1797,-2.28646,4.78246,-4.22023,NA,-71.99,NA,NA,NA,NA,NA
1916,-1.92755,4.18621,-5,NA,NA,NA,-36.603,NA,NA,NA
2156,-0.39517,4.71351,-5,NA,-178.374,NA,NA,NA,NA,NA
2223,-1.05194,3.15903,-5,NA,-97.795,NA,NA,NA,NA,NA
2422,-1.95297,4.21477,-5,NA,-58.874,NA,NA,NA,NA,NA
2677,-1.16794,3.67433,-4.83544,NA,-68.128,NA,NA,NA,NA,NA
2890,-0.718112,3.33501,-4.46864,NA,-93.828,NA,NA,NA,NA,NA
3083,-0.885392,4.99847,-3.83573,NA,-145.157,NA,NA,NA,NA,NA
3285,-1.11809,5,-3.45883,NA,NA,NA,-180.525,NA,NA,NA
3417,-0.817937,4.23442,-3.59406,NA,-182.547,NA,NA,NA,NA,NA
3636,-1.72487,4.01074,-4.11086,NA,-66.866,NA,NA,NA,NA,NA
3896,-2.57038,4.09738,-4.69617,NA,NA,-57.867,NA,NA,NA,NA
4119,-2.43396,1.51138,-4.70536,NA,NA,-249.891,NA,NA,NA,NA
4378,-3.25043,1.52856,-3.81729,NA,NA,NA,-224.874,NA,NA,NA
4423,-2.03906,2.23084,-4.09513,NA,NA,-168.358,NA,NA,NA,NA
4779,-1.83668,3.13787,-4.68607,NA,NA,-49.471,NA,NA,NA,NA
4970,-2.70142,2.94926,-4.82563,NA,-71.184,NA,NA,NA,NA,NA
5085,-1.26693,3.52298,-4.36114,NA,NA,NA,-61.063,NA,NA,NA
5246,-2.2468,3.19967,-4.53524,-100.285,NA,NA,NA,NA,NA,NA
5571,-1.215,4.1423,-4.77284,NA,NA,-37.576,NA,NA,NA,NA
5651,-2.58348,4.94778,-5,-112.792,NA,NA,NA,NA,NA,NA
5822,-2.05605,5,-3.82682,NA,NA,NA,NA,-140.56,NA,NA
6184,-1.71208,5,-2.67919,NA,NA,-197.636,NA,NA,NA,NA
6274,-1.90687,5,-2.69297,NA,NA,-193.545,NA,NA,NA,NA
