id,x0,x1,x2,fitness-3.5,fitness-4.5
29,-2.9983,3.88856,-3.45829,-148.303,NA
235,-2.9983,3.88856,-3.45829,NA,-123.849
254,-2.05195,3.88856,-3.45829,NA,-105.186
270,-2.05195,3.88856,-4.13078,NA,-54.061
316,-2.05195,3.88856,-4.79281,NA,-38.178
347,-2.05195,3.38268,-4.79281,NA,-30.377
361,-2.05195,3.38268,-4.79281,NA,-22.09
363,-1.59548,3.38268,-4.79281,NA,-18.533
392,-1.59548,3.64426,-4.79281,NA,-2.262
404,-1.59548,3.64426,-4.88274,NA,-1.779
467,-1.53514,3.64426,-4.88274,NA,-0.639
603,-1.53514,3.65731,-4.88274,NA,-0.552
730,-1.50733,3.65731,-4.88274,NA,-0.259
786,-1.50733,3.65731,-4.85956,NA,-0.171
1087,-1.50733,3.68077,-4.85956,NA,-0.137
1185,-1.46233,3.68077,-4.85956,NA,-0.102
1430,-1.48996,3.68077,-4.85956,NA,-0.046
1584,-1.48996,3.68077,-4.85956,NA,-0.022
1808,-1.48996,3.68077,-4.85956,NA,-0.02
2180,-1.48996,3.68077,-4.85956,NA,-0.02
2350,-1.48335,3.68077,-4.85956,NA,-0.009
2496,-1.48009,3.68077,-4.85956,NA,-0.008
2702,-1.48009,3.67726,-4.85956,NA,-0.002
3497,-1.48057,3.67726,-4.85956,NA,-0.002
3806,-1.48057,3.67132,-4.85956,NA,-0.002
4463,-1.48057,3.67356,-4.85956,NA,0
4592,-1.48121,3.67356,-4.85956,NA,0
5584,-1.48121,3.67356,-4.85837,NA,0
5662,-1.48121,3.67356,-4.85837,NA,0
7772,-1.48121,3.67388,-4.85837,NA,0
8036,-1.48121,4.37849,-4.85837,NA,-34.886
