id,x0,x1,x2,fitness-3.5,fitness-4.5,fitness-4
29,-2.9983,3.88856,-3.45829,-148.303,NA,NA
226,-2.9983,3.88856,-4.50249,-99.103,NA,NA
234,-2.9983,3.88856,-4.50249,NA,-82.864,NA
243,-2.9983,3.88856,-5,NA,-67.829,NA
258,-1.50236,3.88856,-5,NA,-13.084,NA
268,-1.50236,3.80176,-5,NA,-9.971,NA
301,-1.50236,3.80176,-5,NA,NA,-9.77
323,-1.50236,3.80176,-5,NA,-5.454,NA
360,-1.50236,3.75569,-5,NA,-4.08,NA
379,-1.50236,3.75569,-4.92421,NA,-1.825,NA
391,-1.50236,3.74423,-4.92421,NA,-1.547,NA
453,-1.50236,3.62413,-4.92421,NA,-1.085,NA
511,-1.50236,3.62413,-4.89297,NA,-0.623,NA
560,-1.50236,3.66653,-4.89297,NA,-0.266,NA
638,-1.50236,3.67762,-4.89297,NA,-0.261,NA
750,-1.50236,3.67762,-4.85178,NA,-0.083,NA
1109,-1.50236,3.67762,-4.85178,NA,-0.081,NA
1197,-1.50236,3.67762,-4.85695,NA,-0.074,NA
1446,-1.50236,3.67762,-4.85695,NA,-0.072,NA
1755,-1.49881,3.67762,-4.85695,NA,-0.051,NA
1831,-1.47094,3.67762,-4.85695,NA,-0.022,NA
2738,-1.48945,3.67762,-4.85695,NA,-0.013,NA
3896,-1.47809,3.67762,-4.85695,NA,-0.005,NA
4194,-1.48322,3.67762,-4.85695,NA,-0.004,NA
4403,-1.48322,3.67381,-4.85695,NA,-0.001,NA
5660,-1.48322,3.67381,-4.85921,NA,-0.001,NA
6743,-1.48262,3.67381,-4.85921,NA,-0.001,NA
8032,-1.59129,3.67381,-4.85921,NA,-1.398,NA
