id,x0,x1,x2,fitness-3.5,fitness-5,fitness-4.5
29,-2.9983,3.88856,-3.45829,-148.303,NA,NA
273,-2.9983,3.88856,-3.45829,NA,-122.77,NA
280,-2.9983,3.88856,-4.37695,NA,-75.634,NA
354,-2.9983,3.88856,-4.37695,NA,-74.668,NA
403,-1.5987,3.88856,-4.37695,NA,-42.014,NA
433,-1.5987,3.88856,-4.37695,NA,NA,-39.812
496,-1.5987,3.88856,-5,NA,NA,-8.74
549,-1.61057,3.88856,-5,NA,NA,-8.633
578,-1.61057,3.74923,-5,NA,NA,-5.378
642,-1.61057,3.74923,-5,NA,NA,-4.449
718,-1.61057,3.74923,-4.87905,NA,NA,-2.272
790,-1.51137,3.74923,-4.87905,NA,NA,-1.643
941,-1.51137,3.74923,-4.87905,NA,NA,-1.23
975,-1.49896,3.74923,-4.87905,NA,NA,-1.205
1031,-1.49896,3.65104,-4.87905,NA,NA,-0.342
1132,-1.49896,3.65104,-4.86296,NA,NA,-0.282
1293,-1.49896,3.65104,-4.85841,NA,NA,-0.279
1562,-1.48957,3.65104,-4.85841,NA,NA,-0.247
1639,-1.48957,3.65104,-4.85841,NA,NA,-0.122
1764,-1.48957,3.65104,-4.85841,NA,NA,-0.114
2080,-1.48957,3.66714,-4.85841,NA,NA,-0.038
2160,-1.48573,3.66714,-4.85841,NA,NA,-0.03
2235,-1.48573,3.66714,-4.85841,NA,NA,-0.029
2503,-1.48573,3.67258,-4.85841,NA,NA,-0.021
2734,-1.48573,3.67258,-4.85841,NA,NA,-0.004
2810,-1.4818,3.67258,-4.85841,NA,NA,-0.001
6441,-1.4818,3.67353,-4.85841,NA,NA,-0.001
6747,-1.48138,3.67353,-4.85841,NA,NA,-0.001
8003,-1.86768,3.67353,-4.85841,NA,NA,-16.302
