id,x0,x1,x2,fitness-4,fitness-4.5,fitness-5,fitness-3.5
127,0.643238,4.09122,-3.90644,-404.131,NA,NA,NA
241,-1.83611,5,-3.52102,NA,-120.617,NA,NA
579,-1.63351,4.77595,-5,NA,-54.928,NA,NA
627,-1.05795,3.36316,-5,NA,-70.554,NA,NA
898,-2.56084,4.19096,-5,NA,-56.99,NA,NA
1190,-1.6766,4.25065,-4.57182,NA,NA,-55.326,NA
1342,-1.62415,4.54072,-5,NA,-47.061,NA,NA
1416,-1.4124,4.5293,-4.22265,-72.39,NA,NA,NA
1607,-2.06003,4.06117,-5,NA,NA,-50.204,NA
1870,-2.14844,3.47034,-5,NA,NA,-57.348,NA
2040,-2.83508,3.13658,-5,NA,NA,-87.052,NA
2279,-1.29018,3.11924,-5,-64.078,NA,NA,NA
2446,-1.50174,3.3858,-5,-60.174,NA,NA,NA
2711,-1.53309,4.70069,-5,NA,-62.963,NA,NA
2858,-1.59556,4.05734,-5,NA,-19.383,NA,NA
3094,-2.50925,3.93218,-5,NA,NA,-57.937,NA
3311,-1.91076,3.58789,-4.7537,NA,NA,-47.475,NA
3430,-2.17481,3.86575,-5,NA,NA,-50.59,NA
3748,-1.57528,3.816,-5,-36.806,NA,NA,NA
3856,-1.97167,3.44015,-4.54009,NA,NA,-48.367,NA
4146,-1.50081,4.2735,-4.89388,NA,-27.355,NA,NA
4296,-1.92022,4.30541,-5,-61.109,NA,NA,NA
4599,-1.89184,3.69703,-4.63057,-35.49,NA,NA,NA
4613,-2.13915,4.27991,-5,NA,-44.872,NA,NA
4928,-1.72196,5,-4.9013,NA,NA,-70.688,NA
5122,-1.43542,3.9073,-5,NA,-21.426,NA,NA
5374,-1.53185,3.46222,-5,NA,-19.369,NA,NA
5503,-1.7777,4.14832,-5,-32.516,NA,NA,NA
5703,-1.33933,3.53458,-5,NA,-8.402,NA,NA
5823,-1.32743,4.13012,-5,NA,NA,-62.564,NA
6089,-1.71501,4.15489,-5,NA,NA,-37.885,NA
6202,-1.82375,4.97116,-4.79212,NA,NA,-74.792,NA
6532,-2.22333,5,-5,NA,NA,-77.044,NA
6724,-1.58571,3.60635,-5,NA,NA,-44.3,NA
6943,-1.64918,5,-4.67975,NA,NA,-75.873,NA
7041,-1.95403,5,-4.2058,NA,NA,-82.85,NA
7384,-1.86077,5,-5,NA,NA,-77.299,NA
7519,-1.97559,5,-4.39351,NA,NA,-76.752,NA
7685,-1.55308,3.94075,-4.92783,NA,-12.783,NA,NA
7914,-1.41803,3.78951,-5,-8.205,NA,NA,NA
8134,-1.22791,4.69266,-5,NA,-73.236,NA,NA
8245,-1.55822,4.59755,-5,NA,-53.956,NA,NA
8533,-1.73682,4.9658,-5,-82.818,NA,NA,NA
8768,-1.74703,4.08724,-4.32316,NA,-50.451,NA,NA
8859,-2.30657,4.37396,-5,NA,NA,-52.709,NA
9169,-2.44511,3.88101,-5,NA,NA,-61.401,NA
9215,-1.35427,3.54884,-5,NA,-16.757,NA,NA
9583,-2.27618,4.46555,-5,-61.396,NA,NA,NA
9615,-1.98152,4.6529,-4.51358,NA,-57.428,NA,NA
9860,-1.87598,4.03025,-4.84291,NA,-24.54,NA,NA
10033,-1.52119,4.26346,-5,-50.283,NA,NA,NA
10317,-2.11085,3.66523,-5,NA,NA,NA,-60.421
10581,-2.46555,3.79527,-4.91945,-55.649,NA,NA,NA
10689,-1.73485,4.26464,-4.5445,NA,NA,-59.124,NA
10887,-1.95322,3.16261,-5,NA,NA,-67.003,NA
11046,-1.62684,4.01372,-4.64787,NA,NA,-47.668,NA
11332,-2.35476,3.23768,-4.76087,NA,NA,-57.758,NA
11482,-2.16748,3.86144,-5,NA,NA,-49.589,NA
11746,-1.94982,4.18414,-4.5115,NA,NA,-49.1,NA
11987,-2.23271,4.67363,-4.40811,NA,-66.655,NA,NA
12030,-1.87685,3.81868,-5,-27.612,NA,NA,NA
12356,-1.6885,4.44463,-5,NA,-47.675,NA,NA
12403,-1.74284,3.60245,-5,NA,NA,-44.466,NA
12657,-1.91704,3.57768,-5,NA,NA,-47.774,NA
12820,-2.92157,4.21314,-4.96455,-72.488,NA,NA,NA
13124,-2.2631,3.86839,-4.72379,-43.928,NA,NA,NA
13316,-1.67086,3.35901,-5,-27.656,NA,NA,NA
13412,-2.10764,3.5611,-4.83345,NA,-41.513,NA,NA
13747,-2.33714,4.64777,-4.65659,NA,-58.454,NA,NA
13882,-1.35292,3.55708,-5,NA,-12.127,NA,NA
14119,-1.04496,3.76489,-5,NA,-22.676,NA,NA
14303,-1.74441,4.28242,-5,NA,NA,-39.334,NA
14526,-1.48716,3.59906,-5,NA,NA,-45.336,NA
14768,-1.26727,4.74071,-4.84676,NA,NA,-68.18,NA
14854,-1.25545,4.26623,-5,NA,NA,-58.517,NA
15065,-1.72303,4.47764,-5,NA,NA,-56.721,NA
15243,-1.52234,4.04767,-4.83243,NA,NA,-45.914,NA
15424,-1.82492,4.10706,-4.99758,NA,NA,-44.464,NA
15739,-1.42095,3.9689,-5,NA,NA,-40.169,NA
15869,-1.41449,3.99794,-5,NA,-20.917,NA,NA
16008,-1.76504,3.45103,-5,-25.617,NA,NA,NA
16283,-1.21852,4.01892,-5,NA,-30.518,NA,NA
16565,-1.54524,4.01606,-5,NA,NA,-45.008,NA
16622,-1.94219,3.11685,-5,NA,NA,-64.811,NA
16862,-2.32595,4.20299,-4.93336,-46.031,NA,NA,NA
17089,-2.24066,4.04709,-5,NA,NA,-52.17,NA
17320,-1.76788,3.80035,-5,-54.144,NA,NA,NA
17598,-1.7402,3.37176,-5,NA,-29.366,NA,NA
17603,-1.8665,3.81621,-5,NA,NA,-41.797,NA
17985,-2.37629,3.49336,-4.70237,NA,NA,-54.18,NA
18050,-1.34803,3.96704,-5,-19.504,NA,NA,NA
18327,-2.40656,3.64457,-5,NA,-47.449,NA,NA
18533,-2.20602,3.53239,-5,NA,-43.776,NA,NA
18671,-0.922587,3.60457,-5,NA,-54.636,NA,NA
18963,-1.30994,4.11722,-5,NA,NA,-61.055,NA
19054,-2.00258,4.20857,-4.97635,NA,NA,-62.369,NA
19271,-0.876181,4.27066,-4.28887,NA,NA,-87.715,NA
19420,-1.4755,4.47317,-5,NA,NA,-61.079,NA
19715,-1.57499,4.05494,-5,NA,NA,-44.896,NA
19837,-1.72101,3.35697,-5,NA,NA,-36.452,NA
20122,-1.84349,4.02155,-4.78219,NA,NA,-45.122,NA
20249,-1.49482,3.54373,-4.89875,NA,NA,-49.806,NA
20480,-1.96196,3.18916,-5,NA,-43.348,NA,NA
20790,-2.51593,3.36072,-4.93669,NA,-62.803,NA,NA
20900,-1.80903,3.13374,-4.81513,NA,NA,-68.866,NA
21107,-2.45115,4.24458,-5,NA,NA,-57.66,NA
21222,-2.41606,4.58036,-4.45101,NA,-70.751,NA,NA
21573,-1.95424,4.23501,-5,NA,-28.59,NA,NA
21725,-1.93791,4.00856,-5,NA,NA,-37.384,NA
21887,-1.68755,3.71816,-5,NA,NA,-46.641,NA
22109,-2.44052,4.75786,-4.62333,NA,-69.597,NA,NA
22365,-2.51387,4.71292,-4.33126,-78.568,NA,NA,NA
22492,-2.57016,4.14824,-4.71372,NA,NA,-69.344,NA
22606,-2.90407,3.13376,-5,NA,NA,-90.509,NA
22975,-2.15377,3.56488,-5,NA,NA,-53.13,NA
23037,-1.63713,3.37357,-5,-27.582,NA,NA,NA
23357,-1.77845,3.27659,-4.73446,NA,-39.037,NA,NA
23494,-2.04593,3.77452,-5,NA,NA,-35.95,NA
23725,-1.14329,3.76551,-5,-34.819,NA,NA,NA
23807,-1.73081,4.09304,-5,NA,NA,-41.071,NA
24086,-1.10499,4.19116,-5,NA,NA,-50.367,NA
