id,x0,x1,x2,fitness-3.5,fitness-4,fitness-4.5,fitness-5
29,-2.9983,3.88856,-3.45829,-148.303,NA,NA,NA
335,-1.95497,3.29601,-4.55849,-110.424,NA,NA,NA
531,-1.52137,3.24557,-5,NA,-58.707,NA,NA
658,-1.29306,4.05091,-4.41933,NA,NA,-44.486,NA
990,-0.881293,3.93146,-5,NA,NA,-66.59,NA
1047,-1.83049,3.7451,-5,NA,NA,NA,-45.494
1372,-1.19628,4.22495,-5,NA,NA,-48.304,NA
1500,-0.880054,3.69055,-5,NA,NA,-64.668,NA
1797,-1.72675,3.98123,-5,NA,-16.952,NA,NA
1973,-1.63733,3.80015,-4.38386,NA,NA,NA,-36.165
2167,-1.8016,3.39649,-5,NA,NA,NA,-38.644
2250,-1.92851,3.9998,-4.8448,NA,NA,NA,-41.934
2583,-1.18324,4.25323,-5,NA,NA,NA,-56.766
2735,-1.67733,4.03486,-4.9329,NA,NA,NA,-44.275
2952,-2.17668,3.83211,-5,NA,NA,NA,-50.942
3143,-1.95298,3.99889,-5,NA,-37.814,NA,NA
3248,-2.04387,3.82698,-4.72869,NA,NA,-35.875,NA
3535,-1.88765,3.12456,-5,NA,NA,-51.307,NA
3631,-1.66308,3.28765,-4.47311,NA,NA,-32.833,NA
3928,-1.15945,3.60328,-5,NA,NA,-21.133,NA
4080,-1.94309,3.39347,-5,NA,NA,-23.073,NA
4227,-1.78722,4.61028,-4.71506,NA,NA,-53.361,NA
4581,-1.71795,3.47815,-4.67317,NA,NA,NA,-40.825
4778,-1.73434,3.91049,-5,NA,NA,-15.778,NA
4949,-2.0873,3.59118,-4.7713,NA,-39.175,NA,NA
5051,-1.49991,4.3172,-5,NA,NA,-34.212,NA
5263,-2.16035,4.24532,-4.66885,NA,NA,NA,-56.115
5513,-2.53828,4.18554,-5,NA,-54.013,NA,NA
5680,-1.73137,3.24954,-4.87929,NA,-42.113,NA,NA
5826,-2.1732,4.24524,-4.83883,NA,NA,NA,-48.437
6173,-1.99091,4.44429,-5,NA,NA,NA,-52.965
6337,-1.99817,4.44238,-4.88862,NA,NA,NA,-54.939
6562,-2.24742,4.53786,-5,NA,NA,NA,-65.055
6781,-1.5993,4.40852,-5,NA,NA,NA,-52.219
6856,-1.90539,3.42434,-5,NA,NA,NA,-58.334
7021,-1.15101,3.34321,-5,NA,NA,-51.226,NA
7364,-1.37318,4.31494,-5,NA,NA,-32.318,NA
7450,-1.30644,4.03454,-5,NA,NA,-23.215,NA
7712,-1.41434,3.40571,-5,NA,-39.806,NA,NA
7974,-1.97219,4.07472,-4.68973,NA,NA,NA,-49.533
8087,-1.55508,3.10597,-5,NA,NA,NA,-65.366
8314,-1.20738,3.91744,-5,NA,NA,NA,-48.997
8447,-1.91646,4.12631,-4.42864,NA,NA,NA,-50.341
8760,-2.17785,3.82743,-4.7228,NA,NA,NA,-52.273
8992,-1.4713,3.43813,-5,NA,NA,NA,-62.194
9148,-1.67422,3.43287,-5,NA,NA,NA,-35.098
9370,-1.40576,3.76627,-5,NA,NA,NA,-28.49
9487,-1.54745,3.65932,-5,NA,NA,-16.164,NA
9674,-2.42111,3.52999,-5,NA,NA,NA,-57.776
9902,-2.43478,3.61453,-5,NA,NA,NA,-58.293
10098,-2.54689,4.20839,-4.80674,NA,-55.185,NA,NA
10228,-2.14861,4.1312,-5,NA,-43.862,NA,NA
10404,-1.02287,4.27713,-5,NA,NA,NA,-55.317
10705,-1.71695,3.86042,-5,NA,NA,-23.881,NA
10886,-1.39364,3.2765,-4.67306,NA,NA,-24.15,NA
11165,-2.07203,3.88104,-5,NA,NA,NA,-38.669
11311,-2.10138,3.78139,-5,NA,NA,NA,-40.913
11521,-2.23903,4.0975,-4.52317,NA,NA,NA,-58.994
11646,-1.85845,4.37216,-4.72738,NA,NA,-42.537,NA
11829,-1.85818,4.14618,-5,NA,-36.939,NA,NA
12057,-1.55105,3.46965,-5,NA,-27.195,NA,NA
12302,-1.50304,3.63819,-5,NA,-3.719,NA,NA
12420,-1.34432,4.64149,-5,NA,NA,NA,-57.34
