id,x0,x1,x2,fitness-1,fitness0.5,fitness0,fitness1,fitness-0.5,fitness-2,fitness-2.5,fitness-3.5,fitness-4.5,fitness-5,fitness-4,fitness-1.5,fitness1.5,fitness2,fitness2.5,fitness3.5,fitness4,fitness5,fitness4.5,fitness3,fitness-3
16,1.25714,1.14303,3.8383,141.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,0.840192,1.62219,2.71569,NA,32.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,1.23039,2.65976,1.75327,NA,NA,-9.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,1.52783,3.32794,2.48865,NA,NA,22.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,1.58021,2.67236,3.2389,NA,NA,NA,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,3.609,1.15756,3.67861,NA,NA,NA,NA,43.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242,3.03464,0.880761,2.84284,-49.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1542,3.33789,-0.901466,3.14337,NA,NA,NA,NA,NA,-295.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,3.26059,-0.620547,2.83487,NA,NA,NA,NA,NA,NA,-79.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,2.60901,-0.228538,3.49679,NA,NA,NA,NA,NA,NA,18.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2093,2.87309,0.589426,4.4319,NA,NA,NA,NA,NA,NA,NA,2.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2285,1.90426,-0.415094,3.921,NA,NA,NA,NA,NA,NA,NA,-22.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2595,2.25987,-0.818154,5,NA,NA,NA,NA,NA,NA,NA,-901.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2692,2.64738,0.154624,5,NA,NA,NA,NA,NA,NA,NA,NA,21.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2907,1.36195,-2.10684,3.48117,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
