id,x0,x1,x2,fitness4.5,fitness5,fitness4
100,2.34147,4.84555,-1.38687,3155.945,NA,NA
225,2.34147,4.84555,-1.38687,NA,4425.593,NA
254,3.28782,4.84555,-1.38687,NA,5656.06,NA
272,3.28782,4.84555,-1.38687,NA,7487.202,NA
311,4.27061,4.84555,-1.38687,NA,12790.961,NA
367,4.27061,4.84555,-1.44126,NA,12988.839,NA
461,4.27061,4.8667,-1.44126,NA,13001.978,NA
751,4.27061,4.8667,-1.44126,NA,13011.542,NA
782,4.27061,4.8667,-1.41809,NA,13045.621,NA
819,4.27061,4.8667,-1.41809,NA,13127.023,NA
1204,4.27076,4.8667,-1.41809,NA,13127.405,NA
1230,4.27076,4.84976,-1.41809,NA,13128.427,NA
1522,4.27076,4.84976,-1.41902,NA,13130.437,NA
1804,4.27076,4.84976,-1.41902,NA,13131.188,NA
2346,4.27737,4.84976,-1.41902,NA,13137.292,NA
2438,4.27737,4.84976,-1.42188,NA,13141.691,NA
2508,4.71407,4.84976,-0.974286,NA,15558.309,NA
2584,4.71407,4.84976,-0.846294,NA,23037.788,NA
2622,4.80085,4.84976,-0.846294,NA,28932.832,NA
2682,4.87884,4.84976,-0.846294,NA,29969.661,NA
2771,4.87884,4.86161,-0.846294,NA,29990.633,NA
2818,4.87884,4.86161,-0.836446,NA,30285.172,NA
2860,4.87884,4.86161,-0.80452,NA,30754.807,NA
3005,4.86133,4.86161,-0.80452,NA,30918.25,NA
3079,4.85758,4.86161,-0.80452,NA,30922.301,NA
3802,4.85758,4.85566,-0.80452,NA,30924.964,NA
4459,4.85758,4.8579,-0.80452,NA,30927.17,NA
4643,4.85758,4.8579,-0.799681,NA,30933.478,NA
5128,4.85758,4.8579,-0.800523,NA,30933.613,NA
8033,4.85758,4.8579,-0.800523,NA,NA,-8922.443
