id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5
100,2.34147,4.84555,-1.38687,3155.945,NA,NA,NA
346,0.45935,4.88081,-0.663438,NA,2160.379,NA,NA
518,-0.115799,4.36782,-0.133527,NA,NA,3112.939,NA
776,-0.881308,4.56465,-1.58951,NA,NA,3086.23,NA
807,-0.602602,5,-0.866437,6459.063,NA,NA,NA
1037,-0.782186,5,-1.6722,NA,NA,6796.883,NA
1342,1.77959,4.6875,-2.03572,NA,NA,1379.589,NA
1513,2.48494,5,-1.37874,NA,NA,1370.079,NA
1671,3.93711,4.76469,-0.841027,NA,NA,2271.993,NA
1981,5,4.31242,-0.227463,NA,NA,6009.356,NA
2062,5,4.25973,-0.0407041,NA,NA,3328.621,NA
2280,5,4.12215,0.717239,NA,NA,1077.865,NA
2541,5,4.89201,-0.902556,NA,NA,15054.59,NA
2788,5,5,-0.687077,NA,NA,11166.948,NA
2840,5,5,-0.884042,NA,NA,11979.934,NA
3178,5,4.911,-0.761835,NA,NA,16500.918,NA
3388,5,4.90782,-1.29131,4699.518,NA,NA,NA
3582,5,5,-2.03976,NA,NA,6646.58,NA
3677,5,5,-2.05583,NA,NA,5320.036,NA
3917,5,5,-0.873983,NA,NA,12221.482,NA
4078,5,5,-0.621748,NA,NA,8607.813,NA
4371,4.65977,5,-0.649569,NA,NA,7585.462,NA
4536,5,5,-0.60319,7540.938,NA,NA,NA
4649,5,5,-0.0602112,3223.728,NA,NA,NA
4913,5,4.62147,-0.613146,NA,NA,4746.37,NA
5083,5,5,-0.806483,NA,NA,13052.136,NA
5228,5,5,-0.838943,NA,NA,16281.789,NA
5436,5,5,-1.00959,4094.451,NA,NA,NA
5709,5,5,-0.767313,NA,NA,12890.869,NA
5861,5,5,-1.89235,NA,NA,4165.053,NA
6021,4.92978,4.24902,-1.287,NA,NA,6949.681,NA
6392,4.91786,4.71266,-0.997876,NA,NA,9555.736,NA
6488,5,4.89686,-1.09242,NA,NA,2436.276,NA
6718,4.56375,5,0.323382,NA,NA,931.753,NA
6808,5,5,-0.820025,9557.454,NA,NA,NA
7015,4.16796,5,-0.92889,2986.506,NA,NA,NA
7388,3.31493,5,-1.15146,NA,NA,660.94,NA
7457,4.86118,5,-0.986825,NA,NA,10633.538,NA
7753,4.23427,4.93942,-1.23867,NA,NA,6739.904,NA
7991,5,5,-2.02241,NA,NA,5529.777,NA
8063,4.73729,5,-1.21767,NA,2279.137,NA,NA
8287,4.70203,5,0.268761,NA,NA,3010.798,NA
8527,5,5,-0.963615,NA,NA,9100.071,NA
8703,5,5,-0.689226,NA,NA,11235.378,NA
8857,4.84795,5,-0.761811,NA,NA,17082.714,NA
9079,5,4.85977,-0.541443,NA,NA,6085.675,NA
9236,5,5,-0.852469,NA,NA,12637.351,NA
9406,4.85283,5,-0.967362,NA,NA,11895.439,NA
9677,4.7596,5,-0.894696,NA,NA,13798.823,NA
9971,5,4.89857,-0.789211,NA,NA,17022.799,NA
10097,4.88789,5,-0.595955,NA,NA,9737.843,NA
10231,4.90345,5,-0.0669703,4918.403,NA,NA,NA
10451,5,4.7963,-1.47471,9077.95,NA,NA,NA
10676,3.69389,5,-0.756024,NA,NA,5379.794,NA
10859,4.73306,5,-0.665065,NA,NA,11362.456,NA
11003,5,5,-0.928297,NA,NA,10578.988,NA
11321,5,5,-0.963861,NA,NA,9088.762,NA
11508,5,4.9362,-1.90707,NA,NA,5534.809,NA
11709,5,5,-2.05918,NA,NA,5287.584,NA
11923,4.94155,5,-0.925066,NA,NA,13011.435,NA
12087,5,5,-0.533056,NA,NA,5269.324,NA
12272,5,5,-0.751728,NA,NA,12697.679,NA
12511,5,5,-0.610868,NA,NA,8104.793,NA
