id,x0,x1,x2,fitness0.5,fitness0,fitness-1.5,fitness-2,fitness-0.5,fitness2.5,fitness3,fitness3.5,fitness4.5,fitness5,fitness4,fitness2
41,4.77489,-0.10642,3.12283,173.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,4.40361,-0.802106,3.07354,NA,141.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,5,-1.67472,3.03601,NA,NA,218.353,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,5,-1.63641,3.51932,NA,NA,143.908,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,5,0.00715349,4.83972,NA,NA,NA,2990.555,NA,NA,NA,NA,NA,NA,NA,NA
1149,5,0.665191,5,NA,NA,NA,NA,2169.588,NA,NA,NA,NA,NA,NA,NA
1382,5,1.4877,4.6854,NA,32.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,5,0.43261,4.30673,NA,NA,NA,NA,NA,430.617,NA,NA,NA,NA,NA,NA
1784,5,0.307864,4.77425,NA,NA,NA,NA,NA,NA,1121.248,NA,NA,NA,NA,NA
1931,4.96601,0.824998,5,NA,NA,NA,NA,NA,NA,NA,1412.409,NA,NA,NA,NA
2070,5,0.281738,4.16546,NA,NA,NA,NA,NA,NA,NA,NA,1011.71,NA,NA,NA
2373,4.97008,-0.0901217,4.40827,NA,NA,NA,NA,NA,NA,NA,NA,NA,3107.777,NA,NA
2455,5,-0.985349,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8052.279,NA,NA
2759,5,-2.1127,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4518.039,NA,NA
2806,4.94731,-1.92594,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5828.497,NA,NA
3059,4.28688,-1.41128,4.7726,NA,NA,NA,NA,NA,NA,NA,NA,7313.148,NA,NA,NA
3340,4.74921,-1.57086,4.62055,NA,NA,NA,NA,NA,NA,NA,2006.694,NA,NA,NA,NA
3566,3.67588,-2.04798,4.93705,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970.902,NA,NA
3647,5,-0.866189,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,12388.152,NA,NA
3838,5,-0.546676,4.81779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1135.222,NA
4164,5,-1.07253,5,NA,NA,NA,NA,NA,NA,NA,NA,2128.78,NA,NA,NA
4258,3.4092,-0.3271,5,NA,NA,NA,NA,NA,NA,NA,NA,1471.927,NA,NA,NA
4415,5,-1.02789,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5754.855,NA,NA
4620,5,-0.0580794,4.86163,NA,NA,NA,NA,NA,NA,NA,NA,2987.993,NA,NA,NA
4849,5,-0.910647,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11201.729,NA,NA
5021,4.8946,-1.89038,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5396.341,NA,NA
5335,5,-0.697359,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11484.107,NA,NA
5444,4.24942,-1.86424,4.14827,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.849,NA,NA
5670,5,-0.861309,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,12483.286,NA,NA
5968,5,-2.23109,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1669.894,NA,NA
6160,4.25111,-1.19419,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2737.654,NA,NA
