id,x0,x1,x2,fitness-1,fitness0.5,fitness2.5,fitness3.5,fitness3,fitness4,fitness5,fitness4.5,fitness1.5,fitness2,fitness1,fitness-0.5,fitness-2,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-1.5,fitness0,fitness-2.5,fitness-3
85,1.84353,-1.15547,4.70983,828.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,0.558524,-1.49795,4.66287,77.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,1.20125,-0.724819,5,NA,456.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,4.33196,-1.62971,4.25931,NA,NA,491.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
961,4.7211,-1.24569,5,NA,NA,NA,1910.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,5,-0.696573,5,NA,NA,NA,NA,3004.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241,5,-1.43461,3.95869,NA,NA,NA,NA,NA,300.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,4.93577,-0.537701,5,NA,NA,NA,NA,NA,NA,6840.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1647,3.70041,-0.823002,5,NA,NA,NA,NA,NA,NA,4278.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,5,-0.959558,5,NA,NA,NA,NA,NA,NA,NA,930.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,5,-2.12165,4.64033,NA,NA,NA,NA,NA,NA,NA,3041.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2383,4.97563,-2.45044,4.21956,NA,NA,NA,NA,NA,NA,2217.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2452,5,-3.4367,3.41546,NA,NA,NA,NA,NA,NA,546.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2753,4.15133,-4.36796,3.62874,NA,NA,NA,NA,NA,NA,191.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2826,5,-2.57594,4.21888,NA,NA,NA,NA,NA,NA,NA,1833.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082,4.95629,-2.96628,5,NA,NA,NA,NA,NA,NA,3713.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3264,4.89827,-3.14574,4.53596,NA,NA,NA,NA,NA,NA,344.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3524,5,-3.30515,3.97811,NA,NA,NA,NA,NA,NA,-20.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3775,4.17899,-3.17003,3.12155,NA,NA,NA,NA,NA,NA,206.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3924,2.58173,-2.29465,3.01674,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4196,2.4724,-1.77846,4.12845,NA,NA,NA,NA,NA,NA,NA,14.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4358,3.37997,-0.561784,4.73391,NA,NA,NA,NA,NA,1192.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4525,2.79625,0.292736,5,NA,NA,NA,NA,NA,NA,905.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4674,2.62823,1.59885,3.7155,NA,NA,NA,7.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4846,3.90277,2.47035,4.93918,NA,NA,NA,NA,NA,NA,355.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5122,4.83777,3.29622,3.70798,NA,NA,NA,NA,NA,NA,1450.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5326,5,5,4.46432,NA,NA,NA,NA,NA,NA,1895.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5575,5,5,5,NA,NA,NA,NA,NA,1176.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5770,5,4.81656,5,NA,NA,NA,NA,NA,NA,NA,NA,3110.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5936,4.7071,5,5,NA,NA,2043.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6126,4.8479,4.62014,5,NA,NA,NA,2234.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6309,5,5,3.96965,NA,NA,130.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6521,4.39596,5,4.34155,NA,NA,402.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6767,5,4.85577,5,NA,NA,NA,4331.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
