id,x0,x1,x2,fitness8,fitness7.5,fitness7
110,4.28414,4.2166,0.562236,0.844,NA,NA
230,4.28414,4.2166,0.615953,0.966,NA,NA
271,4.28414,4.156,0.615953,0.973,NA,NA
318,4.28414,4.156,0.615953,NA,0.975,NA
360,4.13919,4.156,0.615953,NA,0.996,NA
455,4.13919,4.156,1.1796,NA,0.997,NA
482,4.13919,4.07815,1.1796,NA,0.998,NA
533,4.13919,4.07815,0.62364,NA,0.998,NA
604,4.13919,4.09119,0.62364,NA,0.999,NA
697,4.13919,4.09119,0.62364,NA,0.999,NA
775,4.1182,4.09119,0.62364,NA,1,NA
824,4.1182,4.09119,0.62364,NA,1,NA
1088,4.1182,4.11466,0.62364,NA,1,NA
1716,4.11486,4.11466,0.62364,NA,1,NA
1809,4.11486,4.11466,0.62364,NA,1,NA
2432,4.11067,4.11466,0.62364,NA,1,NA
2703,4.11067,4.11115,0.62364,NA,1,NA
2847,4.11067,4.11115,1.17105,NA,1,NA
5133,4.11067,4.11115,1.17021,NA,1,NA
8038,4.11067,4.11115,1.17021,NA,NA,0.882
