id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness7,fitness6.5,fitness7.5,fitness8,fitness8.5,fitness9,fitness9.5,fitness6
28,7.04744,7.82997,6.96174,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,7.6125,6.03591,6.19069,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,7.34534,6.13591,6.79423,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,7.59024,7.56711,7.54563,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,6.95051,7.12467,9.01259,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108,7.51983,6.60066,8.28553,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301,7.45252,7.62567,8.42966,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,8.15398,7.48293,7.52942,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA
1661,8.57151,8.43882,7.46866,NA,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA
1899,8.93412,8.20738,7.98467,NA,NA,NA,NA,0.408,NA,NA,NA,NA,NA,NA
2012,8.7332,7.60758,6.62511,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA
2397,7.77699,8.37599,8.16685,NA,NA,NA,0.721,NA,NA,NA,NA,NA,NA,NA
2446,7.56543,8.64255,7.47562,NA,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA
2759,8.36886,7.5152,8.36534,NA,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA
2890,7.94885,7.12027,8.26926,NA,NA,NA,NA,NA,NA,0.835,NA,NA,NA,NA
3059,7.28842,7.63492,8.04186,NA,NA,NA,NA,NA,0.939,NA,NA,NA,NA,NA
3257,7.77825,7.86794,7.8024,NA,NA,NA,NA,NA,NA,0.981,NA,NA,NA,NA
3474,8.08659,8.04651,8.51943,NA,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA
3644,7.36524,8.49554,8.1295,NA,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA
3961,8.8119,7.30651,8.59101,NA,NA,NA,NA,NA,NA,0.619,NA,NA,NA,NA
4134,7.99794,7.68029,7.71657,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA
4392,8.69784,7.69459,7.54515,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA
4528,7.76586,9.07677,7.82036,NA,NA,NA,NA,NA,NA,NA,0.657,NA,NA,NA
4699,7.83733,7.77342,7.36161,NA,NA,NA,0.849,NA,NA,NA,NA,NA,NA,NA
4883,9.00876,7.51942,7.10282,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA
5090,6.9609,6.87127,7.47262,NA,NA,NA,NA,NA,NA,0.706,NA,NA,NA,NA
5245,6.38749,7.53416,8.14237,NA,NA,NA,NA,NA,NA,NA,0.557,NA,NA,NA
5553,7.06594,8.2109,8.02088,NA,NA,NA,NA,NA,NA,NA,NA,0.588,NA,NA
5650,7.34407,8.30191,7.93103,NA,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA
5842,7.90547,7.89091,7.78792,NA,NA,NA,NA,NA,0.983,NA,NA,NA,NA,NA
6133,6.82845,8.09307,7.58359,NA,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA
6302,7.63296,7.97961,7.36644,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA
6429,7.55992,8.32314,7.91765,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
6729,7.79102,6.86533,7.86342,NA,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA
6911,7.71813,8.10307,8.70223,NA,NA,NA,NA,NA,NA,0.756,NA,NA,NA,NA
7138,8.20246,8.2676,7.38409,NA,NA,NA,NA,NA,NA,0.836,NA,NA,NA,NA
7343,7.19471,9.00276,8.14664,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA
7426,7.84491,7.98971,7.45039,NA,NA,NA,NA,NA,NA,NA,NA,0.723,NA,NA
7765,7.65779,8.42247,7.45367,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA
7887,7.17969,6.89368,7.07285,NA,NA,NA,NA,NA,NA,0.692,NA,NA,NA,NA
8007,7.59633,8.12781,6.67262,NA,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA
8298,8.20211,7.82322,7.11035,NA,NA,NA,NA,NA,NA,0.868,NA,NA,NA,NA
8413,8.86368,7.10382,7.76263,NA,NA,NA,NA,NA,0.714,NA,NA,NA,NA,NA
8777,10.1448,7.85693,7.01895,NA,NA,NA,NA,NA,NA,0.405,NA,NA,NA,NA
8933,9.21475,7.29323,7.35086,NA,NA,NA,NA,NA,NA,0.607,NA,NA,NA,NA
9116,8.55492,7.71263,7.60323,NA,NA,NA,NA,NA,0.854,NA,NA,NA,NA,NA
9239,7.82678,7.81542,7.86074,NA,NA,NA,NA,NA,NA,0.971,NA,NA,NA,NA
9563,7.21063,6.91828,8.46298,NA,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA
9787,7.21692,7.88169,7.59685,NA,NA,NA,NA,NA,NA,NA,0.788,NA,NA,NA
9907,7.11404,8.35244,7.53994,NA,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA
10045,7.14611,7.34415,7.65921,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA
10209,7.81551,7.51914,8.02794,NA,NA,NA,NA,NA,0.968,NA,NA,NA,NA,NA
10453,7.02486,7.52255,8.02034,NA,NA,NA,NA,NA,NA,0.833,NA,NA,NA,NA
10624,8.24892,7.34865,8.24236,NA,NA,NA,NA,NA,0.822,NA,NA,NA,NA,NA
10868,8.97439,7.33923,7.89416,NA,NA,NA,NA,NA,NA,0.719,NA,NA,NA,NA
11108,8.48936,8.10161,7.87523,NA,NA,NA,NA,NA,0.854,NA,NA,NA,NA,NA
11379,8.60882,8.10619,7.89163,NA,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA
11507,7.67113,7.87624,8.06467,NA,NA,NA,NA,NA,0.968,NA,NA,NA,NA,NA
11755,7.49432,7.50759,7.78927,NA,NA,NA,NA,0.741,NA,NA,NA,NA,NA,NA
11856,7.40156,7.58784,6.94302,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA
12182,7.70416,6.79621,7.02849,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA
12386,7.76975,7.81526,7.85107,NA,NA,NA,NA,NA,0.989,NA,NA,NA,NA,NA
12476,8.06821,7.50675,6.15141,NA,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA
12702,7.81786,8.43212,6.76843,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA
12930,7.90845,8.72815,8.04144,NA,NA,NA,NA,0.458,NA,NA,NA,NA,NA,NA
13005,7.49025,7.90328,7.13078,NA,NA,NA,NA,NA,NA,NA,0.849,NA,NA,NA
13356,7.38379,8.07345,8.46541,NA,NA,NA,NA,NA,NA,0.848,NA,NA,NA,NA
13552,7.74594,8.75884,8.33234,NA,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA
13721,7.64946,8.51988,8.27846,NA,NA,NA,NA,NA,NA,0.769,NA,NA,NA,NA
13838,7.83142,7.24415,7.93462,NA,NA,NA,0.891,NA,NA,NA,NA,NA,NA,NA
14122,8.69907,7.81642,7.273,NA,NA,NA,NA,NA,NA,NA,0.718,NA,NA,NA
14310,7.66544,6.95162,7.44721,NA,NA,NA,NA,NA,NA,NA,0.803,NA,NA,NA
14512,8.17497,7.09215,8.37105,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA
14751,7.97059,8.68512,8.11004,NA,NA,NA,NA,NA,NA,0.745,NA,NA,NA,NA
14890,7.85844,10.5,8.17214,NA,NA,NA,NA,NA,NA,0.423,NA,NA,NA,NA
15056,7.815,9.50245,7.90655,NA,NA,NA,NA,NA,0.609,NA,NA,NA,NA,NA
15203,7.68139,8.69928,7.18209,NA,NA,NA,0.698,NA,NA,NA,NA,NA,NA,NA
15594,8.65281,7.00066,7.28314,NA,NA,NA,NA,NA,NA,0.674,NA,NA,NA,NA
15753,7.78065,7.57872,6.83815,NA,NA,NA,NA,NA,NA,NA,0.683,NA,NA,NA
15949,7.61088,8.15447,6.80447,NA,NA,NA,NA,NA,0.789,NA,NA,NA,NA,NA
16027,7.52736,8.31292,8.29242,NA,NA,NA,0.716,NA,NA,NA,NA,NA,NA,NA
16357,9.00387,7.83041,8.51593,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA
16430,7.98887,7.1593,8.64522,NA,NA,NA,NA,NA,NA,0.739,NA,NA,NA,NA
16741,6.81486,8.35255,8.26522,NA,NA,NA,NA,NA,NA,0.683,NA,NA,NA,NA
16810,6.92338,8.04595,8.09375,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA
17176,7.98224,8.38949,7.85689,NA,NA,NA,NA,NA,NA,0.892,NA,NA,NA,NA
17354,8.39935,8.37704,7.15207,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA
17455,7.35778,8.09316,7.02376,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA
17693,7.3748,9.12235,7.67036,NA,NA,NA,NA,NA,0.694,NA,NA,NA,NA,NA
17855,7.22413,8.58544,6.9695,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA
18185,6.8679,8.1378,6.57604,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA
18260,7.41005,7.62518,7.20072,NA,NA,NA,NA,NA,NA,NA,0.763,NA,NA,NA
18484,7.20929,8.05679,6.99867,NA,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA
18631,8.66165,7.47109,7.32401,NA,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA
18995,8.60614,7.08122,7.26529,NA,NA,NA,NA,NA,0.736,NA,NA,NA,NA,NA
19175,7.95399,7.84173,6.86989,NA,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA
19389,8.72429,7.12877,7.86965,NA,NA,NA,NA,NA,NA,NA,0.695,NA,NA,NA
19459,8.40637,7.91576,8.33683,NA,NA,NA,NA,NA,NA,NA,0.731,NA,NA,NA
19779,7.14921,7.34498,8.26233,NA,NA,NA,NA,NA,NA,NA,NA,0.565,NA,NA
19960,7.1025,7.43157,7.9975,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA
20139,7.17764,8.36595,7.80001,NA,NA,NA,NA,NA,NA,NA,0.747,NA,NA,NA
20396,7.86965,8.2369,8.60422,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA,NA
20480,7.40251,7.88233,7.83453,NA,NA,NA,NA,NA,NA,NA,0.892,NA,NA,NA
20790,6.84854,8.05389,7.89784,NA,NA,NA,NA,NA,NA,0.787,NA,NA,NA,NA
20900,7.55544,7.82692,8.0194,NA,NA,NA,NA,NA,0.932,NA,NA,NA,NA,NA
21145,6.9807,7.80477,7.98548,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA
21270,7.93028,7.63306,7.293,NA,NA,NA,0.817,NA,NA,NA,NA,NA,NA,NA
21510,8.05042,7.83331,7.63516,NA,NA,NA,NA,NA,0.966,NA,NA,NA,NA,NA
21604,8.00645,7.93863,7.44404,NA,NA,NA,NA,NA,0.925,NA,NA,NA,NA,NA
21863,7.44224,6.11892,7.57899,NA,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA
22043,8.55425,7.26962,8.40048,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA
22274,6.26189,6.85013,7.90564,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA
22426,7.92643,7.37363,7.36011,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA
22703,8.7917,7.68453,8.26893,NA,NA,NA,NA,NA,NA,NA,NA,0.516,NA,NA
22992,7.84881,7.51541,8.63097,NA,NA,NA,NA,NA,NA,0.804,NA,NA,NA,NA
23078,7.18724,7.96415,8.09595,NA,NA,NA,NA,NA,0.891,NA,NA,NA,NA,NA
23339,7.1255,8.04553,7.95527,NA,NA,NA,NA,NA,NA,0.886,NA,NA,NA,NA
23423,7.86427,6.93409,7.49922,NA,NA,NA,NA,NA,0.859,NA,NA,NA,NA,NA
23603,7.88047,8.3604,7.25803,NA,NA,NA,NA,NA,NA,NA,0.771,NA,NA,NA
23922,8.16088,8.252,7.27541,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA
24063,7.58442,8.20442,8.19591,NA,NA,NA,NA,NA,0.903,NA,NA,NA,NA,NA
24318,7.49245,8.59621,7.35012,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA,NA
24444,7.57407,8.26999,7.24464,NA,NA,NA,NA,NA,NA,NA,0.797,NA,NA,NA
24666,7.98197,7.648,8.86862,NA,NA,NA,NA,NA,NA,0.761,NA,NA,NA,NA
24849,7.67274,7.96748,7.84633,NA,NA,NA,0.909,NA,NA,NA,NA,NA,NA,NA
25123,8.2781,7.40876,8.08624,NA,NA,NA,NA,NA,NA,0.885,NA,NA,NA,NA
25224,8.51515,7.6936,7.48729,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA
25470,8.35009,7.29177,7.76394,NA,NA,NA,NA,NA,0.872,NA,NA,NA,NA,NA
25758,7.20467,7.2089,7.63178,NA,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA
25900,7.47343,7.43227,7.46627,NA,NA,NA,0.907,NA,NA,NA,NA,NA,NA,NA
26052,8.49813,7.99557,7.95427,NA,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA
26264,8.2902,8.75466,8.34111,NA,NA,NA,NA,NA,NA,NA,0.613,NA,NA,NA
26503,7.84943,8.8735,9.08358,NA,NA,NA,NA,NA,NA,0.487,NA,NA,NA,NA
26712,7.8828,6.99515,8.55252,NA,NA,NA,NA,NA,NA,0.761,NA,NA,NA,NA
26919,7.7824,8.3495,8.19197,NA,NA,NA,NA,NA,NA,0.868,NA,NA,NA,NA
27151,7.19467,8.05012,7.81324,NA,NA,NA,NA,NA,NA,0.911,NA,NA,NA,NA
27375,7.59749,7.34797,7.99396,NA,NA,NA,0.885,NA,NA,NA,NA,NA,NA,NA
27540,6.93902,7.28448,7.62706,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA
27630,7.69129,8.0239,7.68495,NA,NA,NA,NA,NA,NA,0.974,NA,NA,NA,NA
27803,7.25452,7.63757,7.1611,NA,NA,NA,NA,NA,NA,0.882,NA,NA,NA,NA
28082,7.6595,8.61496,8.66554,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
28356,8.02815,6.63968,7.78072,NA,NA,NA,NA,NA,0.744,NA,NA,NA,NA,NA
28518,8.26785,7.32058,7.63246,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA
28735,6.95497,6.66214,7.80263,NA,NA,NA,NA,NA,NA,0.649,NA,NA,NA,NA
28980,7.0065,8.44789,7.52872,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA
29176,7.47221,7.38692,6.74533,NA,NA,NA,NA,NA,NA,NA,NA,0.558,NA,NA
29392,8.46514,7.42601,8.89682,NA,NA,NA,NA,NA,NA,0.652,NA,NA,NA,NA
29517,7.62446,7.67852,8.22002,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA,NA
29758,6.92774,7.18472,8.5028,NA,NA,NA,NA,NA,NA,0.662,NA,NA,NA,NA
29978,8.03805,6.58036,7.69215,NA,NA,NA,NA,NA,NA,NA,0.669,NA,NA,NA
30115,7.70086,8.12345,7.59127,NA,NA,NA,NA,NA,NA,0.959,NA,NA,NA,NA
30321,7.64739,7.36583,8.16326,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA
30413,7.89433,7.56523,7.321,NA,NA,NA,NA,0.645,NA,NA,NA,NA,NA,NA
30748,7.53199,7.47097,8.63149,NA,NA,NA,NA,NA,0.828,NA,NA,NA,NA,NA
30898,6.78164,7.59128,8.19455,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA
31150,7.64329,7.52697,7.64224,NA,NA,NA,NA,NA,NA,0.987,NA,NA,NA,NA
31271,7.18014,8.29806,8.23446,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA
31477,7.6953,8.37139,6.93145,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA,NA
31739,8.41082,8.44284,7.25325,NA,NA,NA,NA,NA,0.768,NA,NA,NA,NA,NA
31856,8.65937,7.85678,7.18013,NA,NA,NA,NA,NA,NA,NA,0.676,NA,NA,NA
32070,8.41567,8.65438,7.94591,NA,NA,NA,NA,NA,NA,NA,0.664,NA,NA,NA
32382,7.2543,8.54269,8.42686,NA,NA,NA,NA,NA,NA,0.694,NA,NA,NA,NA
32592,7.19642,8.32168,7.57046,NA,NA,NA,0.799,NA,NA,NA,NA,NA,NA,NA
32681,7.62854,8.71347,7.93009,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA
32982,7.49864,7.52538,7.65241,NA,NA,NA,NA,NA,NA,NA,0.911,NA,NA,NA
33025,7.20688,7.58389,7.47102,NA,NA,NA,NA,NA,NA,0.919,NA,NA,NA,NA
33246,7.20579,6.90891,7.83152,NA,NA,NA,NA,NA,NA,0.774,NA,NA,NA,NA
33583,6.96992,7.21284,7.68456,NA,NA,NA,NA,NA,0.821,NA,NA,NA,NA,NA
33670,8.6482,8.1006,7.20137,NA,NA,NA,NA,NA,0.721,NA,NA,NA,NA,NA
33831,7.86571,8.65746,6.77495,NA,NA,NA,NA,NA,NA,0.661,NA,NA,NA,NA
34143,8.13997,8.4803,7.03541,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA
34272,7.3188,7.75155,7.60221,NA,NA,NA,NA,NA,NA,0.962,NA,NA,NA,NA
34489,7.2249,7.31166,7.43711,NA,NA,NA,NA,NA,NA,0.886,NA,NA,NA,NA
