id,x0,x1,x2,fitness5.5,fitness4.5,fitness4,fitness5,fitness7,fitness8.5,fitness8,fitness9,fitness7.5,fitness6.5,fitness6,fitness9.5,fitness10
102,6.7917,7.95671,8.02416,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,6.67506,8.23743,7.26411,NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,6.7082,8.84907,7.51888,NA,NA,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,7.16042,9.02276,7.37682,NA,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
917,7.25563,7.94108,7.91829,NA,NA,NA,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,7.16504,7.73138,8.41165,NA,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1318,8.56504,7.02094,8.27981,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1497,8.84838,8.12594,7.52258,NA,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1640,8.02467,8.01961,6.89167,NA,NA,NA,NA,0.673,NA,NA,NA,NA,NA,NA,NA,NA
1953,8.94875,9.14974,8.42907,NA,NA,NA,NA,NA,0.265,NA,NA,NA,NA,NA,NA,NA
2177,8.1079,7.21046,7.35302,NA,NA,NA,NA,NA,NA,0.883,NA,NA,NA,NA,NA,NA
2204,8.52397,7.32492,8.06124,NA,NA,NA,NA,NA,NA,NA,0.597,NA,NA,NA,NA,NA
2544,7.60851,7.55311,7.55363,NA,NA,NA,NA,NA,NA,0.985,NA,NA,NA,NA,NA,NA
2669,8.43611,7.22124,7.95942,NA,NA,NA,NA,NA,NA,NA,NA,0.824,NA,NA,NA,NA
2883,9.20156,6.87637,8.29351,NA,NA,NA,NA,0.403,NA,NA,NA,NA,NA,NA,NA,NA
3104,7.6567,8.57616,7.37686,NA,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,NA
