id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness9.5
31,8.61196,8.38984,0.623779,0.689,NA,NA,NA,NA,NA,NA
257,7.92956,8.31504,1.43235,NA,0.539,NA,NA,NA,NA,NA
467,8.50125,8.10343,1.09745,NA,NA,0.798,NA,NA,NA,NA
672,7.92371,8.36788,1.17361,NA,0.901,NA,NA,NA,NA,NA
873,7.00352,8.22166,1.24305,NA,NA,NA,0.694,NA,NA,NA
1161,7.40461,7.71123,2.43933,NA,NA,0.831,NA,NA,NA,NA
1211,7.92907,8.33163,2.17696,NA,NA,0.897,NA,NA,NA,NA
1598,8.2345,9.35731,2.18616,NA,0.605,NA,NA,NA,NA,NA
1704,7.94387,7.58773,2.54721,NA,NA,0.753,NA,NA,NA,NA
1971,7.99425,8.10074,3.71672,NA,NA,0.833,NA,NA,NA,NA
2200,7.69371,7.66817,4.12548,NA,0.998,NA,NA,NA,NA,NA
2265,8.42305,7.66729,4.00683,NA,NA,0.878,NA,NA,NA,NA
2532,7.66383,7.64669,4.3261,0.825,NA,NA,NA,NA,NA,NA
2617,7.86287,8.60172,3.77203,NA,NA,NA,NA,0.47,NA,NA
2941,8.33092,7.63927,2.17914,NA,NA,NA,NA,0.699,NA,NA
3137,7.73053,7.90377,3.86613,NA,NA,NA,NA,0.738,NA,NA
3258,7.45868,7.53178,4.0241,NA,NA,NA,NA,0.695,NA,NA
3544,7.27977,7.9768,3.95308,0.762,NA,NA,NA,NA,NA,NA
3665,7.19108,7.62396,4.24268,NA,NA,0.929,NA,NA,NA,NA
3930,7.72353,6.859,4.57452,NA,0.713,NA,NA,NA,NA,NA
4120,8.07761,7.45267,4.79356,0.544,NA,NA,NA,NA,NA,NA
4371,7.20312,7.39187,7.38275,NA,NA,NA,NA,0.716,NA,NA
4479,8.07469,6.84322,7.62418,0.742,NA,NA,NA,NA,NA,NA
4656,7.39374,7.86776,8.63827,NA,0.791,NA,NA,NA,NA,NA
4958,7.53808,7.40008,8.58714,NA,0.803,NA,NA,NA,NA,NA
5102,7.5086,7.63506,7.8806,NA,NA,0.982,NA,NA,NA,NA
5395,8.03344,8.24485,8.03243,NA,NA,0.903,NA,NA,NA,NA
5572,6.52704,7.89869,8.29814,NA,NA,0.654,NA,NA,NA,NA
5721,8.21158,6.84521,7.80932,NA,NA,NA,0.744,NA,NA,NA
5988,7.5585,8.65819,7.46428,0.757,NA,NA,NA,NA,NA,NA
6080,7.84463,8.62256,7.63113,NA,0.815,NA,NA,NA,NA,NA
6305,7.94534,7.77834,8.38424,NA,NA,0.884,NA,NA,NA,NA
6455,7.93915,7.73183,7.3972,NA,0.966,NA,NA,NA,NA,NA
6747,8.17857,7.7614,8.19335,NA,NA,0.892,NA,NA,NA,NA
6996,7.38171,7.33623,7.89491,NA,NA,NA,0.836,NA,NA,NA
7032,8.00568,7.9194,8.83176,NA,NA,0.774,NA,NA,NA,NA
7373,7.94785,7.51901,7.99396,0.841,NA,NA,NA,NA,NA,NA
7527,8.11983,8.44098,8.38184,NA,NA,0.762,NA,NA,NA,NA
7681,7.97373,7.72345,8.11525,NA,NA,NA,0.846,NA,NA,NA
7853,7.68049,7.08932,8.71094,NA,NA,NA,0.629,NA,NA,NA
8174,7.70066,7.07298,8.41576,NA,0.815,NA,NA,NA,NA,NA
8340,8.2432,8.0666,8.05083,NA,NA,0.896,NA,NA,NA,NA
8526,7.23236,8.12356,8.29055,NA,0.848,NA,NA,NA,NA,NA
8733,7.01268,8.21962,7.50521,NA,0.823,NA,NA,NA,NA,NA
8939,6.90275,8.39899,8.32348,NA,0.703,NA,NA,NA,NA,NA
9139,8.2025,7.32926,7.70277,NA,NA,0.92,NA,NA,NA,NA
9324,9.03104,8.01876,8.29091,NA,0.629,NA,NA,NA,NA,NA
9532,6.61395,7.5316,8.06602,NA,NA,0.689,NA,NA,NA,NA
9653,7.63693,7.95365,7.98859,NA,NA,NA,0.904,NA,NA,NA
9830,7.85161,7.90472,7.69366,NA,NA,0.987,NA,NA,NA,NA
10007,7.55253,7.90982,7.70958,NA,0.984,NA,NA,NA,NA,NA
10314,7.16718,7.95051,8.03019,NA,0.877,NA,NA,NA,NA,NA
10443,7.12607,8.38001,8.55311,NA,0.713,NA,NA,NA,NA,NA
10648,7.94801,7.57895,7.51694,0.88,NA,NA,NA,NA,NA,NA
10804,8.77659,7.90181,7.70165,0.678,NA,NA,NA,NA,NA,NA
11132,8.17355,7.37621,7.1732,0.711,NA,NA,NA,NA,NA,NA
11352,7.84988,7.46393,7.99126,0.866,NA,NA,NA,NA,NA,NA
11478,7.102,8.45704,8.08944,NA,NA,0.785,NA,NA,NA,NA
11619,7.41852,9.0684,7.97906,NA,NA,0.703,NA,NA,NA,NA
11810,7.96815,8.28253,7.27466,NA,0.861,NA,NA,NA,NA,NA
12129,7.85849,7.61709,7.12593,NA,0.92,NA,NA,NA,NA,NA
12311,7.04474,8.11486,8.05231,NA,0.837,NA,NA,NA,NA,NA
12559,8.31666,7.40379,7.98948,NA,NA,NA,0.736,NA,NA,NA
12643,7.94602,7.25246,7.21736,0.83,NA,NA,NA,NA,NA,NA
12904,7.71695,8.13015,7.65732,NA,0.963,NA,NA,NA,NA,NA
13080,7.78264,8.22019,8.28727,NA,0.882,NA,NA,NA,NA,NA
13217,7.78918,7.67847,7.79207,0.94,NA,NA,NA,NA,NA,NA
13470,6.99993,6.91919,7.89315,NA,0.752,NA,NA,NA,NA,NA
13619,7.1472,7.41623,8.2792,NA,NA,0.829,NA,NA,NA,NA
13820,7.99393,8.32387,7.7814,NA,NA,0.867,NA,NA,NA,NA
14078,6.87972,8.39745,6.95467,NA,0.617,NA,NA,NA,NA,NA
14364,7.05132,8.00772,7.68229,NA,NA,0.876,NA,NA,NA,NA
14474,7.72855,7.6367,6.8103,NA,NA,0.795,NA,NA,NA,NA
14693,7.69736,7.78271,7.52255,NA,0.985,NA,NA,NA,NA,NA
14931,7.32339,8.29387,8.16344,NA,0.859,NA,NA,NA,NA,NA
15044,8.37104,7.93282,7.58112,NA,0.904,NA,NA,NA,NA,NA
15329,8.00795,8.23243,8.5339,0.747,NA,NA,NA,NA,NA,NA
15420,8.01752,7.04406,8.28011,NA,0.802,NA,NA,NA,NA,NA
15789,7.27276,7.75292,7.50743,NA,NA,NA,0.807,NA,NA,NA
15944,6.92863,8.75207,7.64568,NA,NA,0.676,NA,NA,NA,NA
16134,7.60871,7.37849,7.66998,NA,0.949,NA,NA,NA,NA,NA
16327,7.62667,7.3274,7.22712,NA,NA,0.903,NA,NA,NA,NA
16567,7.47358,8.22093,8.4447,NA,NA,0.825,NA,NA,NA,NA
16774,7.31299,7.84758,7.51962,NA,NA,0.915,NA,NA,NA,NA
16994,7.5429,7.62441,8.33106,NA,0.871,NA,NA,NA,NA,NA
17039,8.39239,7.32875,8.22226,NA,NA,NA,0.751,NA,NA,NA
17260,8.23681,7.87495,7.32502,NA,0.901,NA,NA,NA,NA,NA
17423,7.29867,7.46555,8.35349,NA,0.864,NA,NA,NA,NA,NA
17781,7.43179,7.58173,8.18759,0.82,NA,NA,NA,NA,NA,NA
17907,7.95318,8.46196,7.66783,NA,0.862,NA,NA,NA,NA,NA
18112,7.7509,7.72234,8.00276,0.906,NA,NA,NA,NA,NA,NA
18326,7.40753,8.05962,7.09319,NA,NA,NA,NA,0.659,NA,NA
18594,7.6046,7.64589,7.35158,NA,NA,0.969,NA,NA,NA,NA
18676,7.76962,7.24787,7.34133,NA,NA,0.925,NA,NA,NA,NA
18815,8.21745,7.14287,7.24089,NA,NA,0.827,NA,NA,NA,NA
19059,8.43649,7.44108,7.64789,NA,0.866,NA,NA,NA,NA,NA
19310,8.46761,7.69732,7.62267,NA,NA,NA,NA,0.715,NA,NA
19518,8.40319,7.08135,7.6475,NA,NA,0.82,NA,NA,NA,NA
19720,7.54852,7.2035,7.07761,NA,NA,0.855,NA,NA,NA,NA
19989,8.23395,7.99918,6.76585,NA,NA,0.743,NA,NA,NA,NA
20173,7.91773,6.97467,7.64316,NA,0.872,NA,NA,NA,NA,NA
20225,7.90151,8.27134,7.26098,NA,0.879,NA,NA,NA,NA,NA
20551,7.74385,7.29106,7.70041,0.898,NA,NA,NA,NA,NA,NA
20750,7.33808,6.53706,7.32378,NA,NA,0.67,NA,NA,NA,NA
20886,7.41616,6.78071,7.60173,NA,0.764,NA,NA,NA,NA,NA
21054,7.44088,7.17545,7.73251,NA,0.922,NA,NA,NA,NA,NA
21291,7.64374,7.5002,8.19984,NA,NA,0.939,NA,NA,NA,NA
21504,8.35143,8.15377,7.76002,NA,NA,0.85,NA,NA,NA,NA
21669,7.02528,7.04577,7.06881,NA,NA,0.719,NA,NA,NA,NA
21851,8.1466,7.57663,7.6765,NA,0.958,NA,NA,NA,NA,NA
22138,7.94128,7.84309,6.82955,NA,0.809,NA,NA,NA,NA,NA
22301,7.83129,7.30034,7.63529,NA,NA,NA,0.868,NA,NA,NA
22433,7.38861,7.84304,7.90494,NA,NA,0.939,NA,NA,NA,NA
22734,7.43889,6.9122,7.52677,NA,NA,NA,0.701,NA,NA,NA
22882,7.30359,7.32539,7.79281,NA,0.881,NA,NA,NA,NA,NA
23085,7.65763,7.94612,8.13733,NA,0.899,NA,NA,NA,NA,NA
23339,7.23639,7.85226,7.56694,NA,0.926,NA,NA,NA,NA,NA
23561,7.95797,7.35302,8.35539,0.802,NA,NA,NA,NA,NA,NA
