id,x0,x1,x2,fitness0.5,fitness-0.5,fitness-1,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5,fitness-4,fitness-4.5,fitness-5,fitness0,fitness1,fitness2
75,2.76315,1.42295,-4.59713,-205.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,2.69908,1.63389,-4.50043,-242.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,3.82991,1.8297,-5,-307.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
770,2.73895,1.84632,-5,NA,-135.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
931,1.74172,2.39028,-5,NA,NA,-63.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,0.618704,2.39843,-4.92828,NA,NA,NA,-60.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,0.494424,3.14241,-4.41248,NA,NA,NA,-86.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,2.54454,4.77575,-5,NA,NA,NA,NA,-254.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
1746,2.09675,2.20907,-5,NA,NA,NA,NA,NA,-23.027,NA,NA,NA,NA,NA,NA,NA,NA
1858,1.64924,1.92842,-5,NA,NA,NA,NA,-37.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
2160,-0.334379,2.54782,-5,NA,NA,-165.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2244,-0.320212,4.02749,-4.56923,NA,NA,NA,-213.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2418,-0.681712,3.52967,-5,NA,NA,NA,NA,NA,-207.317,NA,NA,NA,NA,NA,NA,NA,NA
2800,0.647901,2.22453,-5,NA,NA,NA,NA,NA,NA,-50.903,NA,NA,NA,NA,NA,NA,NA
2931,2.13981,3.41287,-4.76157,NA,NA,NA,NA,NA,-74.98,NA,NA,NA,NA,NA,NA,NA,NA
3026,1.35147,4.21921,-5,NA,NA,NA,NA,NA,NA,-153.083,NA,NA,NA,NA,NA,NA,NA
3330,2.07937,5,-5,NA,NA,NA,NA,NA,NA,NA,-260.305,NA,NA,NA,NA,NA,NA
3441,0.206718,4.14056,-4.71945,NA,NA,NA,NA,NA,NA,NA,-207.899,NA,NA,NA,NA,NA,NA
3648,-1.20211,3.44372,-5,NA,NA,NA,NA,NA,NA,NA,-277.849,NA,NA,NA,NA,NA,NA
3938,-0.577099,1.29964,-3.56976,NA,NA,NA,NA,NA,NA,-172.739,NA,NA,NA,NA,NA,NA,NA
4093,-0.611004,0.571354,-3.76527,NA,NA,NA,NA,NA,NA,-261.128,NA,NA,NA,NA,NA,NA,NA
4307,2.01744,0.913485,-4.53481,NA,NA,NA,NA,NA,-27.002,NA,NA,NA,NA,NA,NA,NA,NA
4565,2.77873,1.53916,-4.99765,NA,NA,NA,NA,NA,-37.089,NA,NA,NA,NA,NA,NA,NA,NA
4783,2.02638,2.18444,-5,NA,NA,NA,NA,NA,-21.68,NA,NA,NA,NA,NA,NA,NA,NA
4892,2.13005,2.87649,-5,NA,NA,NA,NA,NA,NA,NA,-59.705,NA,NA,NA,NA,NA,NA
