id,x0,x1,x2,fitness-3,fitness-2
125,-1.01595,3.66535,2.66591,-81.864,NA
210,-1.01595,3.66535,2.66591,NA,-71.549
229,-1.01595,4.67929,2.66591,NA,-37.702
259,-1.01595,4.67929,3.28756,NA,-18.704
304,-1.28715,4.67929,3.28756,NA,-8.068
357,-1.54441,4.67929,3.28756,NA,-4.585
417,-1.54441,4.67929,3.28756,NA,-3.231
499,-1.54441,4.35622,3.28756,NA,-0.106
539,-1.54441,4.39318,3.28756,NA,-0.023
691,-1.54441,4.39318,3.28756,NA,-0.018
849,-1.54441,4.40209,3.28756,NA,-0.016
866,-1.5551,4.40209,3.28756,NA,-0.005
1190,-1.5551,4.40209,3.28756,NA,-0.003
1739,-1.55593,4.40209,3.28756,NA,-0.003
2159,-1.56046,4.40209,3.28756,NA,-0.001
2611,-1.56046,4.40131,3.28756,NA,-0.001
2820,-1.56046,4.40131,3.28756,NA,-0.001
3333,-1.56081,4.40131,3.28756,NA,-0.001
3856,-1.56081,4.40131,3.28756,NA,0
3981,-1.56081,4.39921,3.28756,NA,0
4510,-1.56081,4.39921,3.285,NA,0
7952,-1.56081,4.39921,3.81591,NA,-10.573
