id,x0,x1,x2,fitness0.5,fitness-0.5,fitness-1,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5,fitness-4,fitness-4.5,fitness-5,fitness0,fitness1
75,2.76315,1.42295,-4.59713,-205.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,2.69908,1.63389,-4.50043,-242.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,3.82991,1.8297,-5,-307.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
770,2.73895,1.84632,-5,NA,-135.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
931,1.74172,2.39028,-5,NA,NA,-63.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,0.618704,2.39843,-4.92828,NA,NA,NA,-60.328,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,0.494424,3.14241,-4.41248,NA,NA,NA,-86.841,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,2.54454,4.77575,-5,NA,NA,NA,NA,-254.94,NA,NA,NA,NA,NA,NA,NA,NA
1746,2.09675,2.20907,-5,NA,NA,NA,NA,NA,-23.027,NA,NA,NA,NA,NA,NA,NA
1858,1.64924,1.92842,-5,NA,NA,NA,NA,-37.032,NA,NA,NA,NA,NA,NA,NA,NA
2160,-0.334379,2.54782,-5,NA,NA,-165.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2244,-0.320212,4.02749,-4.56923,NA,NA,NA,-213.286,NA,NA,NA,NA,NA,NA,NA,NA,NA
2418,-0.681712,3.52967,-5,NA,NA,NA,NA,NA,-207.317,NA,NA,NA,NA,NA,NA,NA
2800,0.647901,2.22453,-5,NA,NA,NA,NA,NA,NA,-50.903,NA,NA,NA,NA,NA,NA
2931,2.13981,3.41287,-4.76157,NA,NA,NA,NA,NA,-74.98,NA,NA,NA,NA,NA,NA,NA
3026,1.35147,4.21921,-5,NA,NA,NA,NA,NA,NA,-153.083,NA,NA,NA,NA,NA,NA
3330,2.07937,5,-5,NA,NA,NA,NA,NA,NA,NA,-260.305,NA,NA,NA,NA,NA
3441,0.206718,4.14056,-4.71945,NA,NA,NA,NA,NA,NA,NA,-207.899,NA,NA,NA,NA,NA
3648,-1.20211,3.44372,-5,NA,NA,NA,NA,NA,NA,NA,-277.849,NA,NA,NA,NA,NA
3938,-0.577099,1.29964,-3.56976,NA,NA,NA,NA,NA,NA,-172.739,NA,NA,NA,NA,NA,NA
4093,-0.611004,0.571354,-3.76527,NA,NA,NA,NA,NA,NA,-261.128,NA,NA,NA,NA,NA,NA
4307,2.01744,0.913485,-4.53481,NA,NA,NA,NA,NA,-27.002,NA,NA,NA,NA,NA,NA,NA
4565,2.77873,1.53916,-4.99765,NA,NA,NA,NA,NA,-37.089,NA,NA,NA,NA,NA,NA,NA
4783,2.02638,2.18444,-5,NA,NA,NA,NA,NA,-21.68,NA,NA,NA,NA,NA,NA,NA
4892,2.13005,2.87649,-5,NA,NA,NA,NA,NA,NA,NA,-59.705,NA,NA,NA,NA,NA
5033,3.05737,2.49272,-4.59557,NA,NA,NA,NA,NA,NA,-60.422,NA,NA,NA,NA,NA,NA
5287,1.25792,3.40682,-4.18399,NA,NA,NA,NA,NA,NA,-78.249,NA,NA,NA,NA,NA,NA
5555,2.82946,2.92952,-4.74465,NA,NA,NA,-66.763,NA,NA,NA,NA,NA,NA,NA,NA,NA
5738,3.47948,2.42529,-5,NA,NA,NA,NA,NA,NA,NA,-107.313,NA,NA,NA,NA,NA
5974,2.93437,1.26031,-5,NA,NA,NA,NA,NA,NA,NA,-62.185,NA,NA,NA,NA,NA
6066,1.77613,1.62982,-5,NA,NA,NA,-17.998,NA,NA,NA,NA,NA,NA,NA,NA,NA
6242,2.81734,1.36763,-5,NA,NA,NA,NA,NA,NA,NA,-53.292,NA,NA,NA,NA,NA
6466,3.41138,1.11403,-3.65207,NA,NA,NA,NA,NA,-87.08,NA,NA,NA,NA,NA,NA,NA
6673,2.48791,1.53907,-4.20271,NA,NA,NA,NA,NA,-16.277,NA,NA,NA,NA,NA,NA,NA
6959,1.49441,2.07354,-4.21192,NA,NA,NA,-11.766,NA,NA,NA,NA,NA,NA,NA,NA,NA
7001,1.09602,1.94619,-4.63494,NA,NA,NA,NA,-42.951,NA,NA,NA,NA,NA,NA,NA,NA
7373,2.00205,1.40605,-5,NA,NA,-58.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7519,2.60158,1.29673,-3.54162,NA,NA,NA,-50.439,NA,NA,NA,NA,NA,NA,NA,NA,NA
7725,1.89569,2.05384,-3.63443,NA,NA,NA,-24.318,NA,NA,NA,NA,NA,NA,NA,NA,NA
7824,3.49563,2.50562,-4.56492,NA,NA,NA,NA,NA,-82.272,NA,NA,NA,NA,NA,NA,NA
8153,3.06335,2.94058,-4.32017,NA,NA,NA,NA,-88.618,NA,NA,NA,NA,NA,NA,NA,NA
8344,2.69293,2.36541,-4.91861,NA,NA,NA,NA,NA,NA,NA,NA,-83.286,NA,NA,NA,NA
8525,2.64468,3.11093,-5,NA,NA,NA,NA,NA,NA,NA,NA,-123.389,NA,NA,NA,NA
8797,1.22314,0.987888,-5,NA,NA,NA,NA,NA,NA,-50.816,NA,NA,NA,NA,NA,NA
8936,2.12242,2.43097,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.249,NA,NA,NA
9181,2.39536,2.79927,-3.94941,NA,NA,NA,NA,NA,NA,NA,-70.678,NA,NA,NA,NA,NA
9371,2.29074,3.0513,-3.54098,NA,NA,NA,NA,NA,NA,-75.878,NA,NA,NA,NA,NA,NA
9560,2.76362,2.98911,-4.9011,NA,NA,NA,NA,NA,NA,NA,NA,NA,-142.704,NA,NA,NA
9724,1.78877,2.07169,-4.67686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.74,NA,NA
9991,0.264782,1.0422,-3.6281,NA,NA,NA,NA,NA,NA,-109.105,NA,NA,NA,NA,NA,NA
10177,0.990984,1.8803,-2.98762,NA,NA,NA,NA,NA,-65.836,NA,NA,NA,NA,NA,NA,NA
10336,2.09886,1.95188,-2.39065,NA,NA,-175.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10542,1.47078,1.42958,-3.55262,NA,NA,NA,NA,NA,NA,-26.774,NA,NA,NA,NA,NA,NA
10619,3.50763,0.929352,-4.38486,NA,NA,NA,NA,NA,NA,-92.951,NA,NA,NA,NA,NA,NA
10959,2.20485,1.072,-4.04689,NA,NA,-78.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11127,2.17601,0.568791,-4.62839,NA,NA,NA,NA,NA,NA,-56.003,NA,NA,NA,NA,NA,NA
11219,3.01055,0.957475,-4.25818,NA,NA,NA,NA,NA,-55.454,NA,NA,NA,NA,NA,NA,NA
11574,3.41909,0.207648,-5,NA,NA,-206.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11678,1.59698,1.4935,-5,NA,NA,NA,NA,-34.527,NA,NA,NA,NA,NA,NA,NA,NA
11920,1.02789,1.92742,-3.12769,NA,NA,NA,-65.263,NA,NA,NA,NA,NA,NA,NA,NA,NA
12179,2.01331,1.74737,-2.83316,NA,NA,NA,NA,NA,NA,-66.226,NA,NA,NA,NA,NA,NA
12292,2.51662,0.778318,-3.20725,NA,NA,NA,NA,NA,NA,NA,NA,-111.746,NA,NA,NA,NA
12432,2.30096,2.78644,-4.55282,NA,NA,NA,NA,NA,NA,NA,NA,-70.963,NA,NA,NA,NA
12710,0.984485,1.27317,-5,NA,NA,NA,NA,NA,NA,-47.683,NA,NA,NA,NA,NA,NA
12859,1.32456,1.02638,-5,NA,NA,NA,-50.489,NA,NA,NA,NA,NA,NA,NA,NA,NA
13165,0.429319,1.88246,-4.99634,NA,NA,NA,-65.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
13292,0.142949,2.20403,-4.83757,NA,NA,NA,NA,NA,-76.516,NA,NA,NA,NA,NA,NA,NA
13469,-0.22432,2.1936,-5,NA,NA,NA,NA,NA,NA,NA,NA,-135.23,NA,NA,NA,NA
13647,1.25596,3.42076,-4.04464,NA,NA,NA,NA,NA,NA,NA,NA,-129.721,NA,NA,NA,NA
13802,0.817848,1.75585,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-162.251,NA,NA
14189,0.78024,1.08748,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-159.526,NA,NA
14399,0.119514,0.247458,-4.47994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-299.977,NA,NA
14598,2.79043,1.53493,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-162.703,NA,NA
14708,2.78975,2.45845,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164.655,NA,NA
14899,1.00919,3.75615,-4.09784,NA,NA,NA,NA,NA,NA,NA,NA,NA,-191.169,NA,NA,NA
15126,2.34176,3.19242,-5,NA,NA,NA,NA,NA,NA,NA,-94.282,NA,NA,NA,NA,NA
15238,0.28657,2.12633,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-190.153,NA,NA
15554,1.28764,0.997089,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-116.834,NA,NA,NA
15790,0.429207,1.11872,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185.742,NA,NA
15977,0.948707,1.25392,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164.755,NA,NA
16047,1.6627,1.66829,-4.69472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-124.151,NA,NA
16377,2.03722,2.07123,-4.30705,NA,NA,NA,NA,NA,NA,-13.335,NA,NA,NA,NA,NA,NA
16401,2.38222,3.31096,-4.1418,NA,NA,NA,NA,NA,NA,NA,NA,-115.582,NA,NA,NA,NA
16628,1.39902,2.93882,-5,NA,NA,NA,NA,NA,NA,-59.244,NA,NA,NA,NA,NA,NA
16885,0.784021,3.10143,-4.48311,NA,NA,NA,NA,NA,-68.646,NA,NA,NA,NA,NA,NA,NA
17072,0.517926,2.75439,-5,NA,NA,NA,NA,-97.891,NA,NA,NA,NA,NA,NA,NA,NA
17370,-0.384393,2.63654,-2.46508,NA,NA,NA,NA,-342.129,NA,NA,NA,NA,NA,NA,NA,NA
17445,0.119507,1.77093,-2.29995,NA,NA,NA,NA,-227.177,NA,NA,NA,NA,NA,NA,NA,NA
17650,0.432773,1.50481,-2.24511,NA,NA,NA,NA,NA,-162.99,NA,NA,NA,NA,NA,NA,NA
17979,1.91429,1.66171,-4.17893,NA,NA,NA,-4.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
18067,0.909843,1.56784,-3.75521,NA,NA,NA,NA,NA,NA,NA,-53.948,NA,NA,NA,NA,NA
18262,1.05264,1.8982,-3.26022,NA,NA,NA,-55.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
18548,-0.218417,1.43004,-2.95741,NA,NA,NA,-182,NA,NA,NA,NA,NA,NA,NA,NA,NA
18640,0.257309,0.807308,-4.8184,NA,NA,NA,NA,NA,NA,NA,-132.632,NA,NA,NA,NA,NA
18896,1.51031,1.62873,-3.51639,NA,NA,NA,-29.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
19071,0.40036,3.03821,-4.65584,NA,NA,NA,NA,-105.885,NA,NA,NA,NA,NA,NA,NA,NA
19279,1.89043,2.58222,-4.33519,NA,NA,NA,NA,NA,NA,NA,-45.994,NA,NA,NA,NA,NA
19472,1.5597,1.86183,-5,NA,NA,NA,NA,NA,NA,NA,NA,-67.297,NA,NA,NA,NA
19609,0.950057,1.2712,-5,NA,NA,NA,NA,NA,NA,NA,-64.269,NA,NA,NA,NA,NA
19824,0.498515,1.00608,-4.02574,NA,NA,NA,NA,NA,NA,-84.806,NA,NA,NA,NA,NA,NA
20144,-0.173442,0.884418,-3.94745,NA,NA,NA,NA,NA,-161.582,NA,NA,NA,NA,NA,NA,NA
20255,-0.0988125,1.03627,-5,NA,-250.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20450,0.465508,1.28575,-5,NA,NA,-119.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20785,1.02852,2.11628,-5,NA,NA,NA,NA,-48.948,NA,NA,NA,NA,NA,NA,NA,NA
20892,1.67943,2.02183,-5,NA,NA,NA,-23.883,NA,NA,NA,NA,NA,NA,NA,NA,NA
21039,1.27852,2.71217,-5,NA,NA,NA,-46.598,NA,NA,NA,NA,NA,NA,NA,NA,NA
21388,1.74048,1.39492,-4.05967,NA,NA,NA,NA,NA,-5.456,NA,NA,NA,NA,NA,NA,NA
21446,2.24173,1.09702,-3.92366,NA,NA,NA,NA,NA,NA,-33.22,NA,NA,NA,NA,NA,NA
21791,1.56634,1.04413,-5,NA,NA,NA,NA,NA,NA,NA,-60.751,NA,NA,NA,NA,NA
21989,1.88876,0.960824,-4.47121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-149.672,NA,NA
22197,1.44665,1.10904,-5,NA,NA,NA,NA,NA,NA,NA,-59.217,NA,NA,NA,NA,NA
22375,1.58688,1.33444,-4.46844,NA,NA,NA,NA,NA,NA,NA,NA,-50.548,NA,NA,NA,NA
22558,2.36538,0.978972,-5,NA,NA,NA,NA,NA,NA,NA,-66.379,NA,NA,NA,NA,NA
22726,1.92214,0.625303,-4.11184,NA,NA,NA,NA,NA,-50.764,NA,NA,NA,NA,NA,NA,NA
22813,2.98757,1.12062,-5,NA,NA,NA,-66.533,NA,NA,NA,NA,NA,NA,NA,NA,NA
23134,3.0009,2.09771,-5,NA,NA,NA,NA,NA,-49.072,NA,NA,NA,NA,NA,NA,NA
23336,2.21177,2.5105,-4.54233,NA,NA,NA,NA,NA,NA,-31.29,NA,NA,NA,NA,NA,NA
23487,1.8038,2.94038,-4.0717,NA,NA,NA,NA,-55.789,NA,NA,NA,NA,NA,NA,NA,NA
23649,2.74538,1.39301,-5,NA,NA,NA,NA,-59.598,NA,NA,NA,NA,NA,NA,NA,NA
23815,4.5252,0.633022,-3.94595,NA,NA,NA,NA,NA,NA,NA,-205.517,NA,NA,NA,NA,NA
24089,5,1.45121,-4.48164,NA,NA,NA,NA,NA,-218.627,NA,NA,NA,NA,NA,NA,NA
24335,4.8783,1.74115,-5,NA,NA,NA,NA,-226.767,NA,NA,NA,NA,NA,NA,NA,NA
24569,3.80589,2.88797,-5,NA,NA,NA,NA,NA,NA,-141.212,NA,NA,NA,NA,NA,NA
24799,2.72049,1.367,-5,NA,NA,NA,NA,NA,NA,-44.979,NA,NA,NA,NA,NA,NA
24890,2.44906,1.50163,-5,NA,NA,NA,NA,NA,NA,NA,NA,-62.408,NA,NA,NA,NA
25021,1.83481,2.03275,-4.23257,NA,NA,NA,NA,NA,NA,NA,NA,-63.445,NA,NA,NA,NA
25216,1.3229,3.3741,-2.35249,NA,NA,NA,NA,NA,NA,NA,NA,-212.527,NA,NA,NA,NA
25584,2.72752,2.43503,-3.76259,NA,NA,NA,NA,NA,NA,NA,NA,NA,-147.654,NA,NA,NA
25768,2.62685,2.44252,-3.47868,NA,NA,NA,NA,NA,NA,NA,NA,-119.417,NA,NA,NA,NA
25928,2.82828,2.29911,-4.29896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-168.932,NA,NA
26173,2.54941,1.6753,-3.64536,NA,NA,NA,NA,NA,NA,NA,NA,-69.628,NA,NA,NA,NA
26360,3.08001,1.63785,-4.58527,NA,NA,NA,NA,NA,NA,-50.994,NA,NA,NA,NA,NA,NA
26405,2.12708,0.438478,-4.45961,NA,NA,NA,-75.996,NA,NA,NA,NA,NA,NA,NA,NA,NA
26616,1.6415,-0.646166,-4.44923,NA,NA,NA,NA,NA,-340.588,NA,NA,NA,NA,NA,NA,NA
26833,2.4188,-0.0401572,-4.61482,NA,NA,NA,NA,NA,NA,NA,NA,-160.668,NA,NA,NA,NA
27161,2.25248,1.07078,-4.6377,NA,NA,NA,NA,NA,-23.198,NA,NA,NA,NA,NA,NA,NA
27304,2.77296,0.68016,-4.6142,NA,NA,NA,NA,NA,NA,NA,-78.027,NA,NA,NA,NA,NA
27503,2.23219,-0.707479,-3.90111,NA,NA,NA,NA,NA,NA,-277.683,NA,NA,NA,NA,NA,NA
27721,1.33315,0.432951,-4.39997,NA,NA,NA,NA,NA,NA,NA,NA,NA,-136.446,NA,NA,NA
27846,2.58277,1.88674,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91.351,NA,NA,NA
28138,2.71709,2.56606,-3.76487,NA,NA,NA,NA,NA,NA,NA,NA,-119.726,NA,NA,NA,NA
28368,2.35815,0.300771,-4.18971,NA,NA,NA,NA,NA,NA,NA,-95.376,NA,NA,NA,NA,NA
28599,1.74169,1.69122,-4.89073,NA,NA,NA,NA,NA,-10.592,NA,NA,NA,NA,NA,NA,NA
28736,1.53686,2.8372,-5,NA,NA,NA,-45.233,NA,NA,NA,NA,NA,NA,NA,NA,NA
28949,1.00538,2.55835,-4.90085,NA,NA,NA,NA,NA,NA,-49.363,NA,NA,NA,NA,NA,NA
29145,0.324914,2.06509,-5,NA,NA,NA,NA,NA,NA,NA,-83.533,NA,NA,NA,NA,NA
29378,0.899369,2.41744,-5,NA,NA,NA,NA,NA,NA,-44.982,NA,NA,NA,NA,NA,NA
29537,1.13203,3.25547,-4.3086,NA,NA,NA,NA,NA,NA,NA,-90.366,NA,NA,NA,NA,NA
29678,1.69577,2.51908,-3.54354,NA,NA,NA,NA,NA,NA,-40.411,NA,NA,NA,NA,NA,NA
29872,1.91921,1.20643,-3.21619,NA,NA,NA,NA,NA,NA,NA,-67.651,NA,NA,NA,NA,NA
30098,2.63347,2.54596,-3.62251,NA,NA,NA,-53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
30345,2.33813,1.94324,-4.63444,NA,NA,NA,NA,NA,NA,NA,-31.217,NA,NA,NA,NA,NA
30527,2.61071,1.36242,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.726,NA,NA,NA
30634,2.52436,1.37081,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.092,NA,NA
30906,1.7216,1.00433,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157,NA,NA
31180,1.23638,0.0394757,-4.60735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-249.569,NA,NA
31216,1.51267,1.32424,-3.52269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-154.607,NA,NA
31572,1.44395,2.72428,-3.8112,NA,NA,NA,NA,NA,NA,-47.67,NA,NA,NA,NA,NA,NA
31665,1.39928,2.98824,-4.32342,NA,NA,NA,NA,NA,NA,NA,NA,-92.682,NA,NA,NA,NA
31952,0.288732,2.76317,-5,NA,NA,NA,NA,NA,NA,NA,-106.498,NA,NA,NA,NA,NA
32017,-0.307756,3.11214,-4.66276,NA,NA,NA,NA,NA,-139.769,NA,NA,NA,NA,NA,NA,NA
32400,0.124332,1.75846,-5,NA,NA,NA,NA,NA,-81.849,NA,NA,NA,NA,NA,NA,NA
32414,-0.198323,2.06873,-5,NA,NA,NA,NA,NA,NA,-107.275,NA,NA,NA,NA,NA,NA
32776,0.694868,2.12237,-5,NA,NA,NA,NA,NA,NA,NA,-69.284,NA,NA,NA,NA,NA
32910,0.439815,1.82358,-4.17528,NA,NA,NA,NA,NA,NA,NA,-66.036,NA,NA,NA,NA,NA
33078,1.97316,2.43599,-4.36204,NA,NA,NA,NA,NA,NA,NA,-33.57,NA,NA,NA,NA,NA
33366,1.58965,2.92069,-5,NA,NA,NA,NA,NA,-47.495,NA,NA,NA,NA,NA,NA,NA
33435,2.41922,1.30006,-5,NA,NA,NA,NA,NA,NA,NA,-47.212,NA,NA,NA,NA,NA
33774,2.6634,1.3402,-5,NA,NA,NA,NA,NA,NA,NA,NA,-72.534,NA,NA,NA,NA
33856,1.13259,2.3184,-4.38059,NA,NA,NA,NA,NA,NA,NA,NA,-82.157,NA,NA,NA,NA
34083,1.51917,0.632981,-3.8517,NA,NA,NA,NA,NA,NA,NA,NA,NA,-134.598,NA,NA,NA
34379,2.13908,0.918385,-4.44559,NA,NA,NA,NA,NA,NA,NA,-56.645,NA,NA,NA,NA,NA
34432,2.23457,0.50537,-4.0649,NA,NA,NA,NA,NA,NA,NA,-82.212,NA,NA,NA,NA,NA
34654,3.21337,-0.346897,-4.66791,NA,NA,NA,NA,NA,-208.118,NA,NA,NA,NA,NA,NA,NA
34992,1.22631,-0.358913,-4.14052,NA,NA,NA,NA,NA,NA,-268.77,NA,NA,NA,NA,NA,NA
35139,1.74431,0.333897,-3.52425,NA,NA,NA,NA,NA,-117.277,NA,NA,NA,NA,NA,NA,NA
35346,1.34768,1.56029,-5,NA,NA,NA,NA,NA,NA,-24.84,NA,NA,NA,NA,NA,NA
35405,2.39812,-0.0645494,-4.11055,NA,NA,NA,NA,NA,-154.692,NA,NA,NA,NA,NA,NA,NA
35691,3.58781,1.91288,-4.46828,NA,NA,NA,NA,NA,-76.466,NA,NA,NA,NA,NA,NA,NA
35804,2.92832,0.645614,-3.63279,NA,NA,NA,NA,NA,NA,NA,-109.471,NA,NA,NA,NA,NA
36103,2.23797,1.8174,-2.8082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-220.358,NA,NA
36273,2.84503,1.20309,-3.88421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.432,NA,NA
36404,1.07838,0.470857,-3.53934,NA,NA,NA,NA,NA,-127.953,NA,NA,NA,NA,NA,NA,NA
36658,1.29345,1.08053,-3.08405,NA,NA,NA,NA,NA,-68.579,NA,NA,NA,NA,NA,NA,NA
36821,0.0278695,2.3406,-4.70599,NA,NA,NA,NA,NA,NA,NA,NA,-121.345,NA,NA,NA,NA
37166,-0.423478,2.43438,-5,NA,NA,NA,NA,NA,NA,NA,NA,-165.893,NA,NA,NA,NA
37285,1.09719,4.2439,-4.22116,NA,NA,NA,-163.296,NA,NA,NA,NA,NA,NA,NA,NA,NA
37534,0.523175,3.9189,-5,NA,NA,NA,NA,-163.67,NA,NA,NA,NA,NA,NA,NA,NA
37655,0.0132349,2.24013,-5,NA,NA,NA,NA,-116.017,NA,NA,NA,NA,NA,NA,NA,NA
37955,1.54428,3.38831,-5,NA,NA,NA,NA,-102.784,NA,NA,NA,NA,NA,NA,NA,NA
38098,0.662231,2.48906,-5,NA,NA,NA,NA,NA,-56.658,NA,NA,NA,NA,NA,NA,NA
38263,0.484924,2.02455,-3.79991,NA,NA,NA,NA,NA,NA,-54.612,NA,NA,NA,NA,NA,NA
38554,0.614248,0.948494,-4.58935,NA,NA,NA,NA,NA,-87.808,NA,NA,NA,NA,NA,NA,NA
38738,2.42952,1.4353,-3.62382,NA,NA,NA,NA,-64.39,NA,NA,NA,NA,NA,NA,NA,NA
38907,2.26223,1.29066,-5,NA,NA,NA,-35.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
39174,3.32435,1.23761,-4.89237,NA,NA,-117.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39334,3.20517,1.09802,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185.366,NA
39411,1.75843,1.21588,-5,NA,-129.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39654,2.66766,1.70146,-5,NA,NA,NA,NA,-54.772,NA,NA,NA,NA,NA,NA,NA,NA
39854,2.70518,2.85785,-2.5521,NA,NA,NA,NA,NA,-160.039,NA,NA,NA,NA,NA,NA,NA
40106,1.58931,1.45397,-3.93794,NA,NA,NA,NA,NA,NA,NA,-30.669,NA,NA,NA,NA,NA
40289,2.88146,0.587461,-4.25305,NA,NA,NA,NA,NA,NA,NA,NA,-107.952,NA,NA,NA,NA
40591,1.29,0.979616,-3.51915,NA,NA,NA,NA,NA,NA,NA,NA,-84.22,NA,NA,NA,NA
40656,2.02848,0.621745,-5,NA,NA,NA,NA,NA,-62.189,NA,NA,NA,NA,NA,NA,NA
40919,1.76381,2.12426,-4.59137,NA,NA,NA,NA,NA,NA,NA,-32.928,NA,NA,NA,NA,NA
