id,x0,x1,x2,fitness-4,fitness-1.5,fitness-1,fitness-2,fitness-2.5,fitness-3,fitness-3.5,fitness-0.5,fitness-4.5
148,1.52667,4.51464,-2.91409,-287.497,NA,NA,NA,NA,NA,NA,NA,NA
388,2.35297,4.85015,-3.72973,NA,-252.295,NA,NA,NA,NA,NA,NA,NA
562,0.699988,3.55398,-3.82211,NA,NA,-184.362,NA,NA,NA,NA,NA,NA
628,1.16143,3.36147,-3.69972,NA,NA,NA,-96.215,NA,NA,NA,NA,NA
862,1.05088,2.47877,-4.49367,NA,NA,-84.534,NA,NA,NA,NA,NA,NA
1101,1.19399,1.83557,-5,NA,NA,NA,NA,-24.886,NA,NA,NA,NA
1240,2.33761,2.96458,-4.4272,NA,NA,NA,NA,-48.19,NA,NA,NA,NA
1451,1.52932,2.79495,-5,NA,NA,NA,NA,NA,-50.246,NA,NA,NA
1672,2.88945,2.90395,-3.80313,NA,NA,NA,-74.138,NA,NA,NA,NA,NA
1809,1.068,2.19991,-3.69917,NA,-56.631,NA,NA,NA,NA,NA,NA,NA
2130,2.69228,1.99959,-4.674,NA,NA,NA,-30.673,NA,NA,NA,NA,NA
2253,2.83444,2.60522,-3.99902,NA,NA,NA,NA,-51.345,NA,NA,NA,NA
2464,1.17364,2.4421,-5,NA,NA,NA,NA,-35.273,NA,NA,NA,NA
2743,2.19329,2.38332,-5,NA,NA,NA,NA,NA,-33.925,NA,NA,NA
2874,2.35805,2.60433,-5,NA,NA,NA,NA,NA,-42.731,NA,NA,NA
3195,1.25877,1.29861,-5,NA,NA,NA,NA,NA,-34.932,NA,NA,NA
3384,0.965814,2.61797,-3.55798,NA,NA,NA,NA,NA,-59.416,NA,NA,NA
3419,0.897066,2.71152,-3.39244,NA,NA,NA,NA,-66.739,NA,NA,NA,NA
3602,0.930775,1.93892,-3.61778,NA,NA,NA,NA,-40.916,NA,NA,NA,NA
3850,1.60095,2.73978,-3.76558,NA,NA,NA,-48.998,NA,NA,NA,NA,NA
4199,1.08619,2.78964,-4.19635,NA,NA,NA,NA,-42.436,NA,NA,NA,NA
4255,1.57859,1.45096,-4.69241,NA,NA,NA,-15.649,NA,NA,NA,NA,NA
4401,2.43157,1.62793,-5,NA,NA,NA,NA,-24.005,NA,NA,NA,NA
4618,1.79544,1.02165,-4.38858,NA,NA,-84.874,NA,NA,NA,NA,NA,NA
4923,1.36044,2.19067,-4.53038,NA,NA,NA,-25.142,NA,NA,NA,NA,NA
5160,1.66229,1.69455,-4.95676,NA,NA,NA,NA,NA,-15.009,NA,NA,NA
5246,2.06935,1.84001,-5,-51.457,NA,NA,NA,NA,NA,NA,NA,NA
5572,2.0627,2.22012,-5,NA,NA,NA,-23.779,NA,NA,NA,NA,NA
5719,2.09831,2.19081,-5,NA,-50.744,NA,NA,NA,NA,NA,NA,NA
5886,1.26269,1.02621,-4.49114,NA,-56.052,NA,NA,NA,NA,NA,NA,NA
6098,1.43332,2.01858,-4.59103,NA,-30.16,NA,NA,NA,NA,NA,NA,NA
6389,0.518893,1.66992,-3.54753,NA,NA,NA,NA,-67.066,NA,NA,NA,NA
6554,1.82366,0.834568,-3.46242,NA,NA,NA,NA,-56.967,NA,NA,NA,NA
6703,1.07818,1.96785,-5,NA,NA,NA,-34.928,NA,NA,NA,NA,NA
6813,1.32731,1.10157,-5,NA,NA,NA,NA,-38.248,NA,NA,NA,NA
7136,0.397017,0.969473,-5,-139.427,NA,NA,NA,NA,NA,NA,NA,NA
7297,2.1403,1.50521,-4.20181,NA,NA,NA,NA,-5.87,NA,NA,NA,NA
7579,1.16835,1.20297,-3.42755,NA,-76.043,NA,NA,NA,NA,NA,NA,NA
7746,1.29848,1.66076,-3.18734,NA,-80.793,NA,NA,NA,NA,NA,NA,NA
7871,0.959659,1.10743,-3.15959,NA,-116.431,NA,NA,NA,NA,NA,NA,NA
8040,1.65109,1.94511,-4.31017,NA,NA,NA,NA,-4.48,NA,NA,NA,NA
8367,1.71488,2.75054,-4.9046,NA,NA,-78.171,NA,NA,NA,NA,NA,NA
8490,0.593785,2.21091,-5,NA,NA,-101.396,NA,NA,NA,NA,NA,NA
8636,1.34692,2.42236,-5,NA,NA,NA,NA,NA,-39.736,NA,NA,NA
8881,1.05146,1.21504,-3.51117,NA,NA,NA,NA,NA,NA,-68.466,NA,NA
9150,2.41304,0.811113,-4.34327,NA,NA,NA,NA,NA,-47.723,NA,NA,NA
9291,2.2762,1.72096,-5,NA,NA,NA,NA,-20.254,NA,NA,NA,NA
9555,2.14593,2.51449,-5,NA,NA,NA,NA,NA,-38.165,NA,NA,NA
9645,2.24432,2.51457,-5,NA,NA,NA,NA,NA,NA,-52.336,NA,NA
9974,1.60236,2.54339,-5,NA,NA,NA,NA,NA,-33.089,NA,NA,NA
10127,1.35718,1.59365,-4.77115,NA,NA,NA,NA,NA,NA,-31.705,NA,NA
10244,1.07123,1.95002,-5,NA,NA,NA,NA,NA,-38.704,NA,NA,NA
10587,1.43451,1.9796,-3.70603,NA,NA,NA,NA,-18.281,NA,NA,NA,NA
10724,2.87157,2.30488,-3.07689,NA,NA,NA,NA,NA,-95.649,NA,NA,NA
10862,3.16485,1.21059,-4.40768,NA,NA,NA,NA,NA,-57.677,NA,NA,NA
11140,1.86735,1.75785,-5,NA,-31.059,NA,NA,NA,NA,NA,NA,NA
