id,x0,x1,x2,fitness-5,fitness-4,fitness-2.5,fitness-2,fitness-3.5,fitness-3,fitness-1.5
53,2.08168,2.17135,-4.30868,-135.626,NA,NA,NA,NA,NA,NA
372,2.14493,1.19423,-4.81125,NA,-61.692,NA,NA,NA,NA,NA
477,1.03429,1.19005,-3.97385,NA,NA,-34.955,NA,NA,NA,NA
717,1.8599,1.3974,-4.58514,NA,NA,-4.765,NA,NA,NA,NA
994,1.72603,1.85433,-5,NA,NA,-16.194,NA,NA,NA,NA
1042,2.70333,1.98138,-4.51108,NA,NA,-26.359,NA,NA,NA,NA
1285,2.3463,1.36064,-3.70203,NA,NA,NA,-30.309,NA,NA,NA
1505,1.86173,1.59219,-3.61253,NA,NA,-16.609,NA,NA,NA,NA
1617,1.36131,1.51091,-4.82664,NA,NA,NA,NA,-32.164,NA,NA
1909,2.17681,1.44219,-4.8836,NA,NA,-15.803,NA,NA,NA,NA
2057,1.72825,1.88609,-4.72913,NA,NA,NA,NA,NA,-16.488,NA
2383,1.44509,2.1269,-4.28983,NA,NA,NA,NA,NA,-14.858,NA
2455,2.07892,2.31077,-3.43252,NA,NA,NA,NA,NA,-44.443,NA
2786,2.29338,2.2447,-3.92428,NA,NA,-22.343,NA,NA,NA,NA
2953,1.44079,2.62709,-4.12903,NA,NA,-28.331,NA,NA,NA,NA
3056,2.13159,1.7815,-5,NA,NA,-18.116,NA,NA,NA,NA
3233,1.34602,2.12727,-5,NA,NA,-23.262,NA,NA,NA,NA
3569,2.08869,2.04771,-5,NA,NA,-19.039,NA,NA,NA,NA
3732,2.05007,1.6635,-4.32879,NA,NA,-3.263,NA,NA,NA,NA
3859,1.098,1.75492,-3.663,NA,NA,NA,NA,NA,-39.654,NA
4180,1.63734,1.93971,-4.16745,NA,NA,NA,NA,-25.722,NA,NA
4300,1.9825,1.57109,-4.92382,NA,NA,-13.698,NA,NA,NA,NA
4518,2.20077,1.53795,-5,NA,NA,-19.508,NA,NA,NA,NA
4723,1.49639,1.8146,-3.46536,NA,NA,NA,-29.566,NA,NA,NA
4875,1.94175,1.35588,-4.40755,NA,NA,NA,NA,NA,NA,-26.198
5051,1.7896,0.769388,-3.88652,NA,NA,-45.32,NA,NA,NA,NA
5285,1.9476,1.85923,-4.11866,NA,NA,-4.376,NA,NA,NA,NA
5565,2.74463,1.4615,-4.57151,NA,NA,NA,NA,NA,-33.463,NA
5736,2.18068,1.76705,-4.08753,NA,NA,NA,NA,NA,-12.089,NA
5910,2.06487,2.0441,-4.9569,NA,NA,-17.5,NA,NA,NA,NA
6141,1.32755,2.38889,-4.65852,NA,NA,NA,-24.102,NA,NA,NA
6391,1.33496,1.84109,-5,NA,NA,NA,-29.943,NA,NA,NA
6455,1.91472,1.30103,-3.73356,NA,NA,NA,NA,NA,-21.899,NA
6615,1.94817,1.46098,-3.96811,NA,NA,NA,-11.693,NA,NA,NA
6877,2.32475,1.95503,-5,NA,NA,NA,-24.1,NA,NA,NA
7045,1.34659,2.04722,-5,NA,NA,NA,NA,NA,-23.135,NA
7240,1.80627,1.69405,-5,NA,NA,NA,-19.609,NA,NA,NA
7546,1.63623,2.10376,-4.88785,NA,NA,NA,NA,NA,-26.705,NA
7759,2.32002,1.37026,-5,NA,NA,-25.309,NA,NA,NA,NA
7966,2.00818,1.90821,-5,NA,NA,NA,NA,NA,-22.722,NA
8194,1.19944,1.69883,-3.85872,NA,NA,NA,NA,NA,-20.394,NA
8220,1.80463,1.39012,-4.3943,NA,NA,NA,NA,NA,-9.85,NA
8501,2.56815,2.00139,-5,NA,NA,-30.116,NA,NA,NA,NA
8755,1.97756,1.39081,-5,NA,NA,-17.827,NA,NA,NA,NA
8896,2.59366,1.84802,-5,NA,NA,NA,NA,NA,-40.207,NA
9031,1.9825,2.44638,-5,NA,NA,-27.758,NA,NA,NA,NA
9368,2.43503,1.3258,-4.6506,NA,NA,NA,NA,NA,-23.425,NA
9517,1.88268,1.46496,-4.21141,NA,NA,NA,NA,NA,-13.968,NA
9606,2.34487,1.913,-5,NA,NA,NA,NA,NA,-29.077,NA
9903,3.18319,1.50077,-3.91861,NA,NA,NA,NA,NA,-57.359,NA
10046,1.601,1.67651,-4.92897,NA,NA,-12.967,NA,NA,NA,NA
10214,2.40179,1.48925,-4.64712,NA,NA,NA,NA,NA,-26.355,NA
10566,1.84098,1.72585,-4.14197,NA,NA,-3.55,NA,NA,NA,NA
