id,x0,x1,x2,fitness-2.5,fitness-4.5,fitness-5,fitness-4,fitness-3.5
26,-0.586153,2.40483,-4.00283,-437.393,NA,NA,NA,NA
228,-1.15483,3.73484,-3.57898,-365.545,NA,NA,NA,NA
549,-2.48287,3.37628,-4.97835,-196.33,NA,NA,NA,NA
687,-1.70687,4.87588,-4.54319,NA,-76.986,NA,NA,NA
915,-1.84179,4.9383,-5,NA,-70.004,NA,NA,NA
1119,-2.84637,3.83256,-5,NA,-63.879,NA,NA,NA
1313,-1.58051,3.76979,-5,NA,NA,-46.672,NA,NA
1456,-2.22785,3.33783,-4.73456,NA,NA,-50.757,NA,NA
1665,-1.37901,3.57348,-5,NA,NA,-52.29,NA,NA
1984,-1.30295,4.176,-5,NA,-28.403,NA,NA,NA
2077,-2.5143,4.0174,-4.51894,NA,NA,NA,-64.575,NA
2202,-1.69715,4.73552,-4.39498,NA,NA,NA,-64.099,NA
2489,-2.59956,4.52125,-5,NA,-67.857,NA,NA,NA
2621,-2.64532,4.18351,-5,NA,NA,-73.418,NA,NA
2866,-1.95565,5,-4.76764,NA,NA,-82.976,NA,NA
3176,-2.16674,5,-4.68309,NA,NA,-79.752,NA,NA
3215,-2.5034,3.77364,-5,NA,NA,-57.999,NA,NA
3468,-2.42668,4.08331,-5,NA,NA,-56.273,NA,NA
3788,-2.54419,3.83992,-4.60117,NA,NA,-62.571,NA,NA
3993,-1.88248,4.79322,-5,NA,NA,-65.695,NA,NA
4192,-1.16854,3.50603,-5,NA,NA,NA,-30.275,NA
4263,-1.53533,4.71571,-4.86764,NA,NA,-67.988,NA,NA
4523,-2.4131,3.90817,-4.97466,NA,-41.83,NA,NA,NA
4740,-1.88264,3.46746,-4.93435,NA,-23.09,NA,NA,NA
4924,-1.72875,4.36497,-4.95665,NA,NA,-41.604,NA,NA
5163,-1.70453,3.56304,-4.56061,NA,-33.753,NA,NA,NA
5222,-1.84373,3.91637,-5,NA,-20.775,NA,NA,NA
5433,-1.56755,3.6368,-4.25139,NA,NA,-64.391,NA,NA
5784,-1.45088,3.96314,-4.65952,NA,-17.823,NA,NA,NA
5808,-2.34248,3.91683,-5,NA,NA,-62.974,NA,NA
6129,-1.60829,3.32042,-5,NA,NA,-44.851,NA,NA
6308,-1.22637,4.35578,-4.26886,NA,-75.025,NA,NA,NA
6507,-1.06061,4.05442,-5,NA,-45.2,NA,NA,NA
6762,-1.74708,3.8784,-4.12565,NA,NA,-57.273,NA,NA
6963,-2.15767,3.86843,-4.16492,NA,NA,-69.283,NA,NA
7061,-2.50568,3.0286,-5,NA,NA,-77.621,NA,NA
7262,-2.23456,4.45937,-5,NA,NA,-59.045,NA,NA
7416,-1.43226,3.7558,-5,NA,-10.564,NA,NA,NA
7678,-1.79027,3.7784,-5,NA,NA,NA,-11.971,NA
7945,-1.68732,4.49981,-5,NA,NA,-59.907,NA,NA
8062,-1.98831,3.71942,-4.58239,NA,NA,-45.585,NA,NA
8207,-1.9186,3.1395,-4.8341,NA,-52.704,NA,NA,NA
8497,-1.80731,3.48029,-4.98458,NA,NA,-42.444,NA,NA
8612,-1.87237,3.8995,-5,NA,NA,-34.538,NA,NA
8841,-1.04907,3.94521,-5,NA,NA,-81.715,NA,NA
9181,-1.24038,4.23366,-5,NA,NA,NA,-65.078,NA
9217,-2.53952,4.74821,-4.96655,NA,NA,NA,-76.542,NA
9438,-1.73227,4.94188,-4.92523,NA,NA,-73.672,NA,NA
9686,-2.45236,3.77334,-5,NA,-47.347,NA,NA,NA
9830,-1.40833,4.09138,-5,NA,NA,NA,-50.799,NA
10084,-1.42966,5,-4.70106,NA,-79.701,NA,NA,NA
10382,-1.35857,4.30751,-5,NA,NA,NA,-46.737,NA
10458,-1.97512,3.78838,-5,NA,-31.662,NA,NA,NA
10655,-1.24596,4.46634,-5,NA,NA,-69.771,NA,NA
