id,x0,x1,x2,fitness-4,fitness-4.5,fitness-5,fitness-3.5,fitness-3,fitness-2.5,fitness-2
97,-2.38142,4.16772,-4.14923,-70.241,NA,NA,NA,NA,NA,NA
398,-3.10153,5,-4.41696,NA,-108.974,NA,NA,NA,NA,NA
466,-0.609051,5,-3.94465,-174.349,NA,NA,NA,NA,NA,NA
711,-1.94764,3.86854,-5,-31.156,NA,NA,NA,NA,NA,NA
833,-2.83421,4.60918,-4.81519,NA,NA,-84.966,NA,NA,NA,NA
1041,-1.21087,4.81142,-3.78152,NA,NA,-123.141,NA,NA,NA,NA
1251,-1.09123,4.56003,-4.07044,NA,NA,-100.923,NA,NA,NA,NA
1594,-2.05627,5,-2.99747,NA,NA,-158.48,NA,NA,NA,NA
1781,-1.93428,5,-4.18743,NA,-94.141,NA,NA,NA,NA,NA
1916,-2.85217,4.34616,-3.71527,NA,NA,NA,-137.171,NA,NA,NA
2135,-1.27499,4.63564,-4.22003,NA,-77.395,NA,NA,NA,NA,NA
2373,-2.15305,4.75292,-5,NA,-65.634,NA,NA,NA,NA,NA
2541,-2.70341,5,-5,-86.333,NA,NA,NA,NA,NA,NA
2796,-1.79136,5,-5,NA,NA,-73.997,NA,NA,NA,NA
2912,-1.9453,5,-5,NA,NA,-80.855,NA,NA,NA,NA
3189,-3.18291,5,-5,NA,NA,-116.419,NA,NA,NA,NA
3270,-3.01026,5,-5,NA,NA,-103.607,NA,NA,NA,NA
3450,-2.1351,5,-5,NA,NA,-79.495,NA,NA,NA,NA
3696,-1.87985,4.91098,-4.4363,NA,-76.615,NA,NA,NA,NA,NA
3965,-1.05612,5,-5,NA,NA,-88.549,NA,NA,NA,NA
4026,-1.04381,5,-2.87835,NA,NA,-194.47,NA,NA,NA,NA
4253,-2.35714,4.07643,-3.51186,NA,NA,-103.899,NA,NA,NA,NA
4543,-1.74943,5,-5,NA,NA,-72.631,NA,NA,NA,NA
4679,-2.83906,3.94353,-5,NA,NA,NA,-88.488,NA,NA,NA
4952,-3.84338,3.30788,-5,-133.284,NA,NA,NA,NA,NA,NA
5182,-4.05116,4.2373,-4.3719,NA,-156.586,NA,NA,NA,NA,NA
5328,-4.40721,4.70271,-5,-203.668,NA,NA,NA,NA,NA,NA
5523,-3.59281,4.42523,-4.97381,NA,-117.641,NA,NA,NA,NA,NA
5785,-2.62596,5,-4.60001,NA,-85.38,NA,NA,NA,NA,NA
5900,-1.07051,5,-4.44718,NA,NA,-116.3,NA,NA,NA,NA
6182,-1.32971,4.17121,-3.79127,NA,-69.794,NA,NA,NA,NA,NA
6384,-2.27876,5,-4.74566,NA,NA,NA,NA,-128.774,NA,NA
6448,-1.0987,3.95635,-5,NA,NA,NA,NA,-136.8,NA,NA
6749,-1.58446,3.84985,-3.85476,NA,NA,-104.356,NA,NA,NA,NA
6957,-1.75872,4.88413,-3.23418,NA,NA,-133.112,NA,NA,NA,NA
7115,-1.82387,5,-3.67835,-119.182,NA,NA,NA,NA,NA,NA
7370,-2.53148,4.70082,-4.96964,NA,NA,-69.954,NA,NA,NA,NA
7536,-3.07465,3.89615,-5,-86.898,NA,NA,NA,NA,NA,NA
7784,-2.53215,4.65615,-5,-73.122,NA,NA,NA,NA,NA,NA
7825,-2.54704,3.97781,-4.87939,NA,NA,-57.212,NA,NA,NA,NA
8028,-2.44182,3.9416,-5,NA,-47.979,NA,NA,NA,NA,NA
8345,-1.77056,3.8858,-5,NA,NA,-50.367,NA,NA,NA,NA
8464,-0.971643,4.22445,-5,NA,NA,-65.527,NA,NA,NA,NA
8730,-0.753079,5,-5,-112.564,NA,NA,NA,NA,NA,NA
8843,-1.71291,3.75391,-5,NA,NA,-52.94,NA,NA,NA,NA
9185,-1.32962,4.82528,-5,NA,NA,-69.804,NA,NA,NA,NA
9312,-2.0647,5,-5,NA,NA,-81.392,NA,NA,NA,NA
9451,-2.63462,4.71259,-5,NA,NA,-70.837,NA,NA,NA,NA
9695,-1.93996,5,-5,NA,NA,-80.692,NA,NA,NA,NA
9839,-1.97002,4.61092,-4.72019,-62.914,NA,NA,NA,NA,NA,NA
10116,-1.84575,5,-3.44597,NA,NA,-127.048,NA,NA,NA,NA
10272,-3.12295,4.48583,-3.32068,NA,NA,-146.521,NA,NA,NA,NA
10528,-2.99657,5,-3.49093,NA,NA,-147.258,NA,NA,NA,NA
10740,-1.26224,5,-4.54574,NA,NA,-91.014,NA,NA,NA,NA
10999,-2.10451,3.18355,-5,NA,NA,-68.903,NA,NA,NA,NA
11152,-1.76652,3.32584,-3.74075,NA,NA,-76.247,NA,NA,NA,NA
11378,-1.31627,4.67637,-5,NA,NA,-60.622,NA,NA,NA,NA
11524,-0.821119,3.86808,-4.9824,NA,NA,-63.674,NA,NA,NA,NA
11735,-0.901751,3.59997,-5,NA,-71.159,NA,NA,NA,NA,NA
11875,-1.53634,5,-5,NA,NA,-79.259,NA,NA,NA,NA
12045,-1.35157,5,-4.07006,NA,NA,-102.34,NA,NA,NA,NA
12394,-3.00133,4.88819,-4.25986,-111.323,NA,NA,NA,NA,NA,NA
12547,-2.4848,2.92502,-4.54286,NA,-88.942,NA,NA,NA,NA,NA
12651,-2.252,4.14473,-4.32365,NA,NA,-64.85,NA,NA,NA,NA
12907,-2.25984,5,-3.2695,NA,NA,-145.387,NA,NA,NA,NA
13176,-2.47217,5,-3.20728,NA,-147.196,NA,NA,NA,NA,NA
13239,-3.24965,5,-3.83526,NA,NA,-145.77,NA,NA,NA,NA
13539,-2.34172,4.45657,-4.21027,NA,NA,-76.879,NA,NA,NA,NA
13769,-2.71435,4.09331,-4.15561,NA,NA,-78.168,NA,NA,NA,NA
13922,-1.98614,4.53419,-4.81241,NA,NA,-53.64,NA,NA,NA,NA
14081,-1.36077,3.9369,-5,NA,NA,-38.195,NA,NA,NA,NA
14366,-1.01177,3.84518,-5,NA,NA,-91.067,NA,NA,NA,NA
14419,-1.1022,4.4773,-4.23983,NA,NA,-95.964,NA,NA,NA,NA
14715,-1.67281,5,-4.05898,-98.057,NA,NA,NA,NA,NA,NA
14831,-3.60297,4.51149,-5,NA,-117.754,NA,NA,NA,NA,NA
15147,-2.86645,3.99247,-5,NA,NA,-71.064,NA,NA,NA,NA
15265,-3.05498,5,-5,NA,NA,-106.71,NA,NA,NA,NA
15518,-2.62347,4.5963,-5,NA,NA,-68.544,NA,NA,NA,NA
15776,-2.07749,5,-3.55003,NA,NA,-121.526,NA,NA,NA,NA
15922,-3.3164,5,-3.88161,NA,-138.681,NA,NA,NA,NA,NA
16071,-2.28768,5,-3.54831,NA,-119.063,NA,NA,NA,NA,NA
16279,-3.37607,5,-3.22437,NA,NA,-185.807,NA,NA,NA,NA
16570,-3.31129,5,-3.81925,NA,NA,-146.877,NA,NA,NA,NA
16610,-1.23949,5,-3.5116,NA,NA,-139.469,NA,NA,NA,NA
16844,-2.50728,5,-3.80709,NA,NA,-112.692,NA,NA,NA,NA
17175,-2.05102,4.84505,-3.81935,NA,NA,-89.559,NA,NA,NA,NA
17330,-1.43415,5,-4.89813,NA,NA,-93.291,NA,NA,NA,NA
17442,-0.789882,5,-5,NA,-104.471,NA,NA,NA,NA,NA
17711,-1.00703,5,-5,NA,NA,NA,NA,NA,-200.646,NA
17827,-1.93543,4.95146,-4.92113,NA,NA,NA,-105.737,NA,NA,NA
18138,-2.75792,5,-4.28966,NA,-97.935,NA,NA,NA,NA,NA
18358,-2.73085,4.84394,-4.80297,NA,-81.38,NA,NA,NA,NA,NA
18543,-1.61105,5,-5,NA,NA,-74.026,NA,NA,NA,NA
18726,-1.50209,5,-4.59964,NA,-81.481,NA,NA,NA,NA,NA
18831,-1.85699,5,-4.82092,NA,NA,NA,-97.203,NA,NA,NA
19151,-1.77258,4.60946,-5,NA,NA,NA,NA,-97.107,NA,NA
19378,-1.6958,4.42313,-5,NA,NA,-50.014,NA,NA,NA,NA
19500,-2.48727,4.15014,-3.58046,NA,NA,-102.6,NA,NA,NA,NA
19667,-1.59125,4.4919,-4.70388,NA,NA,-61.27,NA,NA,NA,NA
19961,-1.80929,4.15438,-3.69267,NA,NA,-85.498,NA,NA,NA,NA
20139,-1.91596,3.49413,-5,NA,NA,-49.682,NA,NA,NA,NA
20353,-2.96831,3.32594,-3.81401,NA,NA,-95.138,NA,NA,NA,NA
20450,-2.40399,3.57543,-4.75111,NA,NA,-58.808,NA,NA,NA,NA
20785,-1.84098,4.40595,-5,NA,NA,-53.568,NA,NA,NA,NA
20952,-1.49371,5,-4.30403,NA,NA,-86.533,NA,NA,NA,NA
21096,-0.579628,3.34872,-5,NA,NA,-134.574,NA,NA,NA,NA
21206,-1.22582,4.52534,-5,NA,NA,-72.521,NA,NA,NA,NA
21552,-0.704943,4.47377,-4.46468,NA,NA,-115.051,NA,NA,NA,NA
21675,-1.40687,4.71849,-5,NA,NA,-56.726,NA,NA,NA,NA
21966,-1.04925,5,-5,NA,-113.34,NA,NA,NA,NA,NA
22016,-3.05329,5,-5,-104.336,NA,NA,NA,NA,NA,NA
22349,-2.6364,4.46583,-5,NA,NA,-71.752,NA,NA,NA,NA
22409,-2.39406,4.63736,-5,NA,NA,-74.457,NA,NA,NA,NA
22758,-1.95936,4.07944,-4.91376,NA,NA,-43.955,NA,NA,NA,NA
22957,-3.30448,5,-5,-116.236,NA,NA,NA,NA,NA,NA
23148,-4.24437,4.14308,-5,NA,NA,NA,NA,-207.194,NA,NA
23247,-3.10354,3.45767,-5,-90.655,NA,NA,NA,NA,NA,NA
23451,-0.563064,3.15229,-5,-180.591,NA,NA,NA,NA,NA,NA
23693,-2.02817,3.95279,-5,NA,NA,NA,-100.688,NA,NA,NA
23898,-1.71982,2.89896,-4.93176,NA,NA,NA,NA,-142.573,NA,NA
24029,-1.01934,2.50868,-5,-144.158,NA,NA,NA,NA,NA,NA
24399,-1.27871,2.12892,-3.87675,NA,NA,NA,-266.933,NA,NA,NA
24453,-1.75569,2.94278,-3.86063,NA,NA,-144.661,NA,NA,NA,NA
24800,-2.20684,3.70206,-3.87322,NA,NA,-87.979,NA,NA,NA,NA
24997,-2.94316,3.93108,-4.36986,NA,NA,-73.662,NA,NA,NA,NA
25074,-2.74975,4.41691,-4.74305,NA,NA,-76.301,NA,NA,NA,NA
25328,-2.6496,3.31809,-4.43657,NA,NA,NA,-75.725,NA,NA,NA
25492,-2.202,3.40899,-4.52615,-63.196,NA,NA,NA,NA,NA,NA
25668,-0.909098,5,-4.97544,NA,NA,-107.75,NA,NA,NA,NA
25905,-0.99386,4.42429,-5,NA,NA,-75.678,NA,NA,NA,NA
26162,-0.233415,4.29585,-3.88231,NA,NA,-232.859,NA,NA,NA,NA
26336,-1.75772,5,-4.58643,NA,NA,-80.307,NA,NA,NA,NA
26548,-2.66107,4.24203,-4.78937,-80.838,NA,NA,NA,NA,NA,NA
26749,-2.85975,3.254,-4.73228,NA,NA,NA,NA,NA,-198.774,NA
26871,-1.43672,3.19837,-4.53093,NA,-60.125,NA,NA,NA,NA,NA
27176,-2.84086,3.69117,-4.62116,NA,NA,-73.208,NA,NA,NA,NA
27296,-2.61421,3.5654,-4.82393,NA,NA,-70.44,NA,NA,NA,NA
27449,-3.01043,4.55633,-5,NA,-81.295,NA,NA,NA,NA,NA
27634,-2.09912,5,-3.73196,NA,-105.06,NA,NA,NA,NA,NA
27857,-3.15286,4.04552,-3.5493,NA,NA,-127.03,NA,NA,NA,NA
28146,-1.89669,5,-4.23394,NA,-87.257,NA,NA,NA,NA,NA
28330,-2.82109,4.72748,-2.45156,NA,NA,-225.973,NA,NA,NA,NA
28435,-2.69497,4.55566,-3.81479,NA,NA,NA,-104.65,NA,NA,NA
28610,-2.32472,3.45043,-4.58086,NA,NA,-64.037,NA,NA,NA,NA
28913,-2.31173,3.98052,-5,NA,NA,-58.336,NA,NA,NA,NA
