id,x0,x1,x2,fitness2,fitness2.5,fitness1.5,fitness1,fitness0.5,fitness3,fitness3.5,fitness4,fitness4.5,fitness5,fitness0,fitness-0.5,fitness-1.5,fitness-3,fitness-5,fitness-4.5,fitness-4,fitness-3.5,fitness-2,fitness-1,fitness-2.5
45,-1.594,-1.11797,-3.57611,9.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,-2.34136,-0.322459,-3.88891,NA,50.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,-2.15313,-2.13453,-5,NA,NA,31.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,-1.01084,-3.61215,-2.23704,NA,NA,NA,61.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
889,-0.319668,-3.95887,-1.42553,NA,NA,NA,812.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1032,-0.558783,-4.62035,-1.6647,NA,NA,NA,NA,-0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245,-0.366881,-4.8571,-1.2685,NA,NA,72.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1422,1.03356,-4.60083,0.146002,NA,NA,NA,NA,NA,-4.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1776,0.866158,-5,-2.58302,NA,NA,NA,NA,NA,81.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,-0.389506,-5,-5,NA,NA,NA,NA,NA,NA,99.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2170,-1.09809,-3.58106,-3.74158,NA,NA,NA,NA,NA,NA,NA,-2.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2305,-0.0868899,-3.93343,-4.27191,NA,NA,NA,NA,NA,NA,-9.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2568,0.0901842,-1.94687,-4.39759,NA,NA,NA,NA,NA,NA,NA,-65.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2713,-1.38985,-1.17607,-5,NA,NA,NA,NA,NA,NA,NA,NA,377.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
