id,x0,x1,x2,fitness2,fitness0.5,fitness1,fitness0,fitness-0.5,fitness-1.5,fitness-2,fitness-3,fitness-1,fitness-2.5,fitness2.5,fitness-3.5,fitness3,fitness1.5,fitness-5,fitness-4,fitness4,fitness3.5,fitness5,fitness4.5,fitness-4.5
127,4.74063,-1.7074,3.47639,118.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,5,-1.59827,4.96269,NA,3011.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,5,-0.143278,4.29103,457.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,5,0.421781,4.1995,NA,NA,398.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,5,-0.435134,5,NA,418.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,5,-0.534498,5,NA,NA,NA,3302.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1337,4.79759,-0.0376689,4.86671,NA,NA,NA,NA,8014.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,4.56081,-0.0404378,5,NA,NA,NA,NA,519.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1707,3.3846,2.4721,5,NA,NA,NA,NA,486.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,4.85905,3.3727,5,NA,NA,NA,1936.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,5,2.78105,4.84914,NA,NA,NA,NA,3210.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314,5,2.26416,5,NA,NA,476.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441,5,1.47563,4.6186,NA,NA,NA,NA,255.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2775,3.82435,3.47223,4.66467,NA,NA,NA,NA,NA,97.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2938,4.28185,3.168,5,NA,NA,NA,NA,NA,NA,809.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3109,4.64123,3.58727,5,NA,NA,NA,NA,NA,NA,NA,175.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3279,4.72608,4.13853,3.1914,NA,NA,NA,NA,NA,NA,NA,NA,1971.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3535,4.15722,4.64623,4.13244,NA,NA,NA,NA,NA,NA,708.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3779,4.20378,2.69786,5,NA,NA,NA,NA,NA,1509.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3986,4.72764,4.79737,4.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4134,4.00972,4.98278,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4245,5,5,4.04331,NA,NA,NA,NA,NA,1766.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4549,5,5,3.55789,NA,NA,NA,NA,NA,NA,NA,NA,792.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4618,4.36388,4.39372,4.16931,NA,NA,439.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4976,5,3.13311,4.27668,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5151,3.76684,4.25213,5,NA,NA,719.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5269,4.53145,5,3.08911,NA,NA,NA,-14.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5430,3.97592,5,4.33215,NA,NA,NA,NA,95.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5659,4.8744,5,4.64528,NA,NA,NA,NA,NA,NA,NA,NA,10695.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5818,5,5,4.06344,NA,NA,NA,1709.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6135,4.92866,5,5,NA,4196.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6322,5,5,4.91751,NA,NA,594.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6547,5,5,4.74361,NA,NA,NA,NA,NA,NA,NA,NA,14393.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6717,4.97525,5,5,NA,NA,NA,NA,13802.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6886,5,4.93774,5,NA,NA,NA,2443.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7053,5,4.27418,5,NA,NA,NA,3029.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7235,5,3.66013,4.93682,NA,NA,NA,553.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
