id,x0,x1,x2,fitness-4,fitness-3.5,fitness-4.5,fitness-2.5,fitness-0.5,fitness-1,fitness1,fitness3.5,fitness5,fitness4,fitness4.5,fitness3
133,-1.49548,4.76848,4.87034,5181.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,-1.59449,5,4.23025,NA,1279.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,-2.12767,5,5,NA,NA,997.918,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,-2.11994,4.7166,4.84737,NA,NA,NA,2146.438,NA,NA,NA,NA,NA,NA,NA,NA
946,-1.61392,4.65986,5,NA,NA,NA,NA,7178.205,NA,NA,NA,NA,NA,NA,NA
1131,-0.66425,5,5,NA,NA,NA,NA,NA,3941.454,NA,NA,NA,NA,NA,NA
1285,-1.02128,4.37926,5,NA,NA,NA,NA,NA,4543.509,NA,NA,NA,NA,NA,NA
1519,-0.743385,4.1695,5,NA,NA,NA,NA,2305.533,NA,NA,NA,NA,NA,NA,NA
1706,-1.66853,4.9834,5,NA,NA,NA,NA,NA,7115.736,NA,NA,NA,NA,NA,NA
1930,-0.964998,5,5,NA,NA,NA,NA,6062.295,NA,NA,NA,NA,NA,NA,NA
2119,-1.47225,3.41982,5,NA,NA,NA,NA,NA,NA,984.708,NA,NA,NA,NA,NA
2302,-0.985752,4.92584,5,NA,NA,NA,NA,NA,NA,NA,3179.224,NA,NA,NA,NA
2552,-0.794972,5,4.64139,NA,NA,NA,NA,NA,NA,NA,NA,11850.335,NA,NA,NA
2601,-0.918547,5,4.90349,NA,NA,NA,NA,NA,NA,NA,NA,14195.837,NA,NA,NA
2902,-0.81117,4.77137,5,NA,NA,NA,NA,NA,NA,NA,NA,18419.488,NA,NA,NA
3079,-2.14105,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3946.04,NA,NA,NA
3231,-0.638856,3.81158,5,NA,NA,NA,NA,NA,NA,NA,NA,3354.581,NA,NA,NA
3517,-1.05584,5,4.65717,NA,NA,NA,NA,NA,NA,NA,NA,3128.182,NA,NA,NA
3726,-2.08212,5,4.32256,NA,NA,NA,NA,NA,NA,NA,NA,NA,1710.891,NA,NA
3913,-1.05181,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4352.845,NA,NA,NA
4036,-0.959565,4.60772,5,NA,NA,NA,NA,NA,NA,NA,NA,4690.151,NA,NA,NA
4313,-0.742399,4.76135,4.94215,NA,NA,NA,NA,NA,NA,NA,NA,18063.477,NA,NA,NA
4401,-1.42942,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7282.942,NA,NA
4679,-0.965938,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3591.462,NA
4933,-0.407241,5,4.39198,NA,NA,NA,NA,NA,NA,NA,NA,1156.092,NA,NA,NA
5018,-0.747922,5,5,NA,NA,NA,NA,NA,NA,NA,NA,12639.636,NA,NA,NA
5261,-0.227914,4.30607,5,NA,NA,NA,NA,NA,NA,NA,NA,4736.937,NA,NA,NA
5552,-0.780337,5,3.88197,NA,NA,NA,NA,NA,NA,NA,NA,4658.115,NA,NA,NA
5674,-1.3926,5,4.91927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9202.693,NA
5804,-1.90769,5,5,NA,NA,NA,NA,NA,NA,NA,NA,4510.76,NA,NA,NA
6154,-0.22024,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4852.077,NA
6400,-0.100279,5,4.18234,NA,NA,NA,NA,NA,NA,NA,NA,4339.131,NA,NA,NA
6585,-0.946973,5,4.97606,NA,NA,NA,NA,NA,NA,NA,3766.418,NA,NA,NA,NA
6622,-0.97978,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10210.212,NA,NA,NA
6935,-0.883857,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7726.315,NA
7054,-0.67225,4.74238,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9448.961,NA
7367,-0.595255,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7353.075,NA,NA,NA
7504,-0.924894,5,5,NA,NA,NA,NA,NA,NA,NA,NA,10705.393,NA,NA,NA
7625,-1.01091,5,4.89156,NA,NA,NA,NA,NA,NA,NA,NA,8813.772,NA,NA,NA
7925,-1.22901,4.70257,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205.104,NA
8147,-0.993571,5,5,NA,NA,NA,NA,NA,NA,NA,NA,7631.789,NA,NA,NA
8363,-0.933019,5,4.87068,NA,NA,NA,NA,NA,NA,NA,NA,15570.101,NA,NA,NA
8436,-0.870852,3.90245,4.86906,NA,NA,NA,NA,NA,NA,NA,NA,3754.527,NA,NA,NA
8669,-1.02616,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5853.626,NA,NA,NA
8849,-1.02489,4.86725,5,NA,NA,NA,NA,NA,NA,NA,NA,10436.831,NA,NA,NA
9027,-1.2919,4.29829,4.69053,NA,NA,NA,NA,NA,NA,NA,NA,5250.22,NA,NA,NA
9266,-0.89963,5,5,NA,NA,NA,NA,NA,NA,NA,NA,11548.023,NA,NA,NA
