id,x0,x1,x2,fitness-4,fitness-2,fitness-1,fitness-1.5
133,-1.49548,4.76848,4.87034,5181.799,NA,NA,NA
226,-1.49548,4.86462,4.87034,5726.348,NA,NA,NA
243,-1.49548,4.86462,4.87034,NA,12339.126,NA,NA
332,-1.49548,4.86462,4.87034,NA,NA,28970.519,NA
366,-1.43684,4.86462,4.87034,NA,NA,30758.931,NA
730,-1.43684,4.86462,4.84856,NA,NA,30782.574,NA
789,-1.4253,4.86462,4.84856,NA,NA,30835.148,NA
1405,-1.4253,4.86462,4.86397,NA,NA,30856.296,NA
1492,-1.4253,4.86462,4.86397,NA,NA,30867.419,NA
1553,-1.4253,4.86462,4.86397,NA,NA,30899.911,NA
1923,-1.4253,4.86462,4.86397,NA,NA,30901.534,NA
2068,-1.4253,4.86462,4.85386,NA,NA,30908.261,NA
2674,-1.4253,4.85358,4.85386,NA,NA,30917.193,NA
3834,-1.4253,4.85867,4.85386,NA,NA,30924.774,NA
4283,-1.4253,4.85867,4.85806,NA,NA,30931.565,NA
7190,-1.4253,4.85867,4.85806,NA,NA,30933.609,NA
8070,-1.4253,4.85867,4.85806,NA,NA,NA,-25051.369
