id,x0,x1,x2,fitness-4,fitness-2,fitness-1
133,-1.49548,4.76848,4.87034,5181.799,NA,NA
310,-1.49548,4.76848,4.87034,NA,11165.732,NA
384,-1.49548,4.8478,4.87034,NA,12329.619,NA
546,-1.49548,4.8478,4.87034,NA,NA,23174.644
602,-1.41407,4.8478,4.87034,NA,NA,24609.562
661,-1.41407,4.8478,4.87034,NA,NA,30193.053
916,-1.41407,4.8478,4.87034,NA,NA,30779.853
1041,-1.41407,4.85014,4.87034,NA,NA,30796.138
1259,-1.41407,4.85014,4.85067,NA,NA,30833.472
1327,-1.41407,4.85905,4.85067,NA,NA,30857.17
1483,-1.41407,4.85905,4.85067,NA,NA,30864.674
1616,-1.42671,4.85905,4.85067,NA,NA,30911.035
1720,-1.42671,4.85905,4.85936,NA,NA,30931.396
2526,-1.42671,4.85805,4.85936,NA,NA,30931.777
2760,-1.42671,4.85805,4.85936,NA,NA,30932.156
3808,-1.42513,4.85805,4.85936,NA,NA,30933.121
8124,-3.11993,4.85805,4.85936,NA,NA,-6624.334
