id,x0,x1,x2,fitness5,fitness4.5,fitness4,fitness3.5,fitness2.5,fitness3,fitness2,fitness1,fitness-0.5,fitness-1,fitness-1.5,fitness0,fitness-2,fitness-3,fitness0.5
61,-4.01948,4.33424,-3.97826,559.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,-3.08457,4.56037,-2.52561,300.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,-2.40915,5,-1.06488,1011.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665,-2.17328,5,-2.36401,613.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,-3.71282,5,-0.66964,463.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,-5,4.57477,-0.0480064,526.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285,-4.04435,5,0.91548,1052.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,-3.38964,5,-0.477025,220.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1634,-1.48533,4.20234,1.98853,810.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,-1.56572,5,1.13182,848.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,0.63924,5,2.26677,548.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2361,2.70059,5,4.15158,NA,594.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2513,2.3912,5,5,NA,1496.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2798,2.3084,4.77531,5,3217.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2901,4.36938,5,4.96408,5308.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082,4.27415,5,5,NA,NA,1782.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3320,4.75228,4.85973,4.92214,NA,NA,NA,6193.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3498,4.10423,4.88917,5,4016.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3725,4.85267,4.87298,4.31218,9596.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3915,5,5,5,NA,NA,1094.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4159,5,4.20836,5,NA,5063.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4291,4.06707,5,4.80605,NA,2102.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4536,4.83403,4.14821,5,5395.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4775,5,3.47369,5,1429.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4898,4.92715,4.2584,5,6918.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5080,5,4.34562,5,5044.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
