id,x0,x1,x2,fitness-4,fitness-2,fitness-0.5,fitness-1
133,-1.49548,4.76848,4.87034,5181.799,NA,NA,NA
232,-1.49548,4.76848,4.87034,NA,8374.215,NA,NA
257,-1.49548,4.76848,4.87034,NA,NA,18209.18,NA
287,-1.49548,4.76848,4.87034,NA,NA,NA,24989.191
339,-1.47908,4.76848,4.87034,NA,NA,NA,25633.918
442,-1.3898,4.76848,4.87034,NA,NA,NA,26159.964
472,-1.3898,4.91888,4.87034,NA,NA,NA,27576.576
510,-1.3898,4.91888,4.87034,NA,NA,NA,28766.161
732,-1.44554,4.91888,4.87034,NA,NA,NA,29074.022
753,-1.44554,4.85553,4.87034,NA,NA,NA,30492.886
788,-1.42454,4.85553,4.87034,NA,NA,NA,30651.006
844,-1.42454,4.85553,4.87034,NA,NA,NA,30872.649
1175,-1.42454,4.85553,4.84742,NA,NA,NA,30887.563
1213,-1.42454,4.85553,4.85502,NA,NA,NA,30927.534
1349,-1.42454,4.85553,4.86,NA,NA,NA,30929.633
1763,-1.42454,4.85553,4.85918,NA,NA,NA,30930.605
2511,-1.42454,4.85656,4.85918,NA,NA,NA,30932.203
2939,-1.42454,4.85656,4.85912,NA,NA,NA,30932.254
4818,-1.42454,4.85667,4.85912,NA,NA,NA,30932.376
5297,-1.42495,4.85667,4.85912,NA,NA,NA,30932.498
6010,-1.42495,4.85667,4.85854,NA,NA,NA,30932.844
7478,-1.42495,4.85906,4.85854,NA,NA,NA,30933.198
7900,-1.60652,4.85906,4.85854,NA,NA,NA,19842.353
