id,x0,x1,x2,fitness8.5,fitness9,fitness7.5,fitness8,fitness7,fitness6.5,fitness9.5,fitness6,fitness10,fitness5,fitness5.5,fitness4,fitness3.5,fitness4.5
115,3.67183,2.9953,7.46442,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,3.60776,3.20624,7.56112,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,2.91644,4.50634,6.66819,NA,NA,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,4.66757,5.50913,7.34356,NA,NA,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
832,6.29787,4.19827,7.80601,NA,NA,NA,0.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112,6.93821,3.8174,6.85595,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240,8.08183,4.94642,7.42876,NA,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA
1525,7.20356,4.58445,7.60171,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1734,8.1697,4.85708,7.14173,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,7.52496,7.55088,7.6198,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,7.3313,7.67915,8.22014,NA,NA,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2302,7.75191,7.92881,8.54981,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2484,7.92676,8.27597,8.04908,NA,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2693,7.42745,7.5488,8.13767,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2874,7.59221,7.76981,6.79615,NA,NA,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118,6.78404,9.25899,8.19227,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3362,6.4882,8.57948,7.69032,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3546,7.12787,9.06343,7.12358,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3763,8.02585,7.9232,8.02304,NA,NA,NA,NA,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA
3976,8.23575,6.7913,7.83871,NA,NA,NA,NA,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA
4077,8.49564,7.81938,7.75544,NA,NA,NA,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
4292,7.31285,7.12066,8.70554,NA,NA,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4491,7.95541,7.83672,8.78681,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4791,7.56701,9.22384,7.86922,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4979,8.79197,7.20285,8.52524,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,8.19564,7.0569,8.67628,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
5374,10.2391,7.2336,7.13331,NA,NA,NA,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5445,9.52036,7.01986,7.32598,NA,NA,NA,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5631,8.44257,7.88028,8.46488,NA,NA,NA,NA,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
5818,8.66816,9.17604,7.88304,NA,NA,NA,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6062,7.72107,8.9709,7.0425,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6242,8.22771,8.42088,8.14136,NA,NA,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6416,7.99461,7.6435,7.60853,NA,NA,NA,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6636,7.22718,7.24563,6.73503,NA,NA,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
