id,x0,x1,x2,fitness7.5,fitness6,fitness7,fitness9.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness4,fitness4.5,fitness2.5,fitness3.5,fitness3,fitness5,fitness10,fitness10.5,fitness5.5,fitness0.5,fitness1.5
196,3.49899,8.17207,2.43958,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,4.57513,8.37366,3.80946,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,6.56092,8.43022,4.06012,NA,NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
772,7.48187,8.64851,3.64028,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851,7.04731,7.58984,4.19263,NA,NA,NA,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,7.05346,7.01542,2.85338,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,7.17819,6.35875,2.64289,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,6.74623,7.12094,0.5,NA,NA,NA,NA,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1722,7.79233,5.09879,1.16322,NA,NA,NA,NA,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,7.64371,3.96411,1.05247,NA,NA,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2157,10.0177,4.79427,1.2787,NA,NA,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2218,8.23975,4.09292,0.519311,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2569,10.091,5.62515,1.86146,NA,NA,NA,NA,NA,-0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2795,9.05502,4.2035,2.52903,NA,NA,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2990,10.3187,3.33826,1.2074,NA,NA,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3200,8.27805,4.33932,2.20423,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3381,7.38093,3.8899,1.83692,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3470,8.51898,3.68488,2.63611,NA,NA,NA,NA,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3799,7.36863,3.96619,4.11622,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
