id,x0,x1,x2,fitness6.5,fitness7.5,fitness8,fitness8.5,fitness7,fitness9,fitness9.5
167,4.0716,7.86809,9.19063,0.389,NA,NA,NA,NA,NA,NA
265,4.48985,7.33752,8.65205,NA,0.697,NA,NA,NA,NA,NA
424,4.62435,7.94228,8.1528,NA,NA,0.792,NA,NA,NA,NA
794,4.19416,8.41125,7.77302,NA,0.862,NA,NA,NA,NA,NA
942,3.94526,7.68279,8.55903,NA,0.853,NA,NA,NA,NA,NA
1038,3.65622,7.07363,7.7179,NA,NA,0.76,NA,NA,NA,NA
1215,4.04429,7.8996,7.59138,NA,NA,NA,0.894,NA,NA,NA
1471,3.42426,7.15863,7.96913,NA,NA,0.606,NA,NA,NA,NA
1776,4.39281,7.2548,7.44384,NA,0.886,NA,NA,NA,NA,NA
1819,3.95529,7.73536,7.19095,NA,0.898,NA,NA,NA,NA,NA
2179,4.22054,8.29232,8.41884,NA,NA,0.821,NA,NA,NA,NA
2245,4.2904,8.14132,7.55125,NA,0.909,NA,NA,NA,NA,NA
2449,3.7916,8.75818,7.90876,NA,0.731,NA,NA,NA,NA,NA
2715,2.16584,7.59141,8.53183,NA,NA,0.874,NA,NA,NA,NA
2888,2.29373,7.26853,7.18417,NA,0.875,NA,NA,NA,NA,NA
3159,4.15628,7.97559,6.99931,NA,0.87,NA,NA,NA,NA,NA
3360,4.13082,8.18575,6.95109,NA,NA,0.832,NA,NA,NA,NA
3417,4.35548,7.24503,7.26368,NA,NA,NA,NA,0.825,NA,NA
3635,4.86997,8.11211,7.81277,NA,0.658,NA,NA,NA,NA,NA
3886,7.12162,8.20357,7.28897,NA,NA,NA,0.697,NA,NA,NA
4012,7.86504,7.85858,7.09684,NA,0.881,NA,NA,NA,NA,NA
4364,7.19675,8.50372,7.47947,NA,0.812,NA,NA,NA,NA,NA
4492,8.69559,7.26429,7.80688,NA,NA,0.764,NA,NA,NA,NA
4671,8.01269,7.38613,6.89641,NA,0.819,NA,NA,NA,NA,NA
4844,7.49084,6.75217,7.85156,NA,0.796,NA,NA,NA,NA,NA
5021,7.58014,7.60643,8.30136,NA,0.923,NA,NA,NA,NA,NA
5349,7.30683,7.47539,7.8501,NA,NA,0.907,NA,NA,NA,NA
5444,8.44126,8.29756,7.81472,NA,0.836,NA,NA,NA,NA,NA
5749,7.50123,7.68204,8.48367,NA,0.884,NA,NA,NA,NA,NA
5898,8.15544,7.99777,7.54093,NA,NA,NA,0.874,NA,NA,NA
6134,7.67918,8.30679,7.227,NA,NA,0.84,NA,NA,NA,NA
6221,7.43457,8.32088,6.99851,NA,NA,NA,NA,0.757,NA,NA
6451,6.77113,7.55899,7.87512,NA,NA,0.793,NA,NA,NA,NA
6677,7.62669,7.93811,7.99909,NA,0.932,NA,NA,NA,NA,NA
6831,7.84785,8.36483,8.2108,NA,NA,0.865,NA,NA,NA,NA
7143,7.64051,7.83927,7.94697,NA,NA,NA,NA,0.918,NA,NA
7257,8.10606,7.88209,7.6261,NA,0.961,NA,NA,NA,NA,NA
7447,7.45593,7.80514,7.43604,NA,NA,0.953,NA,NA,NA,NA
7648,8.10403,8.19594,8.54086,NA,0.801,NA,NA,NA,NA,NA
7999,6.97539,8.41078,8.32248,NA,0.724,NA,NA,NA,NA,NA
8121,7.39248,7.42631,7.77848,NA,NA,NA,NA,NA,0.762,NA
8261,7.22564,8.47399,7.45345,0.639,NA,NA,NA,NA,NA,NA
8548,7.68075,8.68723,7.68942,NA,0.84,NA,NA,NA,NA,NA
8631,7.55618,8.00381,7.74723,NA,NA,NA,NA,0.898,NA,NA
8850,7.4093,7.84466,7.52014,NA,NA,NA,NA,0.898,NA,NA
9081,8.5499,7.88872,7.51507,NA,NA,0.842,NA,NA,NA,NA
9369,6.76441,6.78575,8.00444,NA,NA,0.621,NA,NA,NA,NA
9592,7.35955,7.79064,7.88652,NA,0.966,NA,NA,NA,NA,NA
9654,7.87749,8.49246,7.54873,NA,NA,NA,0.797,NA,NA,NA
9852,8.19063,8.24521,7.66089,NA,NA,NA,0.816,NA,NA,NA
10121,7.34076,7.87274,8.05904,NA,NA,0.934,NA,NA,NA,NA
10212,8.46819,7.65726,7.81082,NA,NA,0.85,NA,NA,NA,NA
10478,7.64155,7.75122,7.68661,NA,NA,NA,NA,0.834,NA,NA
10647,7.56022,8.00439,7.5245,NA,0.965,NA,NA,NA,NA,NA
10807,7.40284,8.82583,7.66454,NA,0.765,NA,NA,NA,NA,NA
11086,7.17259,8.38378,7.48562,NA,0.842,NA,NA,NA,NA,NA
11393,7.61911,8.50552,8.01194,NA,NA,NA,0.771,NA,NA,NA
11495,7.95964,7.84391,8.70186,NA,NA,0.818,NA,NA,NA,NA
11762,8.70514,7.74194,7.86419,NA,NA,0.822,NA,NA,NA,NA
11882,8.04812,7.62392,8.2603,NA,0.873,NA,NA,NA,NA,NA
12110,7.72111,7.38722,8.33545,NA,0.88,NA,NA,NA,NA,NA
12247,8.59521,7.05524,7.63771,NA,NA,0.772,NA,NA,NA,NA
12594,7.6411,6.41483,7.1527,NA,0.616,NA,NA,NA,NA,NA
12623,7.11972,7.52078,7.24058,NA,0.871,NA,NA,NA,NA,NA
12847,7.56024,7.23406,7.97954,NA,0.887,NA,NA,NA,NA,NA
13173,7.7037,8.17157,8.43313,NA,NA,NA,NA,0.764,NA,NA
13274,7.59427,7.07751,8.59459,NA,NA,0.753,NA,NA,NA,NA
13508,7.6362,7.0936,7.65901,NA,NA,0.877,NA,NA,NA,NA
13689,8.10409,7.94302,8.52113,NA,NA,0.841,NA,NA,NA,NA
13857,7.12015,8.14383,8.20793,NA,NA,NA,NA,0.753,NA,NA
14188,6.99049,6.90058,7.79871,NA,NA,0.72,NA,NA,NA,NA
14337,7.25492,7.68918,7.81704,NA,NA,0.945,NA,NA,NA,NA
14540,7.29966,7.79237,7.51795,NA,NA,0.906,NA,NA,NA,NA
14786,8.07477,7.88937,7.79384,NA,0.947,NA,NA,NA,NA,NA
14909,7.42765,7.65753,7.74674,NA,0.982,NA,NA,NA,NA,NA
15062,7.28679,7.42171,8.45857,NA,NA,NA,NA,0.795,NA,NA
15325,8.14213,7.64828,7.34952,NA,NA,0.926,NA,NA,NA,NA
15485,8.0312,7.77527,6.91202,NA,0.84,NA,NA,NA,NA,NA
15683,6.98906,7.2232,7.89648,NA,NA,NA,NA,0.779,NA,NA
15935,7.47678,7.19102,8.12245,NA,0.896,NA,NA,NA,NA,NA
16044,8.01486,7.21359,7.93186,NA,NA,0.917,NA,NA,NA,NA
16338,7.6116,7.14557,8.27164,NA,NA,0.864,NA,NA,NA,NA
16402,8.38364,7.75911,8.65549,NA,0.722,NA,NA,NA,NA,NA
16685,8.19372,8.22708,7.15779,NA,NA,NA,NA,0.695,NA,NA
16837,7.89753,8.05683,7.82792,NA,0.944,NA,NA,NA,NA,NA
17134,7.05927,8.22779,7.19076,NA,0.798,NA,NA,NA,NA,NA
17399,6.93973,8.28696,8.07965,NA,0.747,NA,NA,NA,NA,NA
17417,7.15371,8.19038,7.98982,NA,NA,0.829,NA,NA,NA,NA
17754,7.98045,7.32049,7.68176,NA,NA,NA,0.801,NA,NA,NA
17807,8.28258,7.49325,7.75219,NA,NA,0.921,NA,NA,NA,NA
18183,7.7833,6.9981,7.707,NA,NA,0.842,NA,NA,NA,NA
18265,7.82994,7.22316,7.46459,NA,NA,NA,0.778,NA,NA,NA
18473,7.58469,7.67609,6.71923,NA,0.785,NA,NA,NA,NA,NA
18682,7.80877,7.27746,7.21345,NA,NA,0.902,NA,NA,NA,NA
18959,7.62056,6.94152,7.37514,NA,NA,0.848,NA,NA,NA,NA
19087,8.2998,7.50565,7.40036,NA,NA,0.869,NA,NA,NA,NA
19299,8.42802,7.84957,8.40224,NA,NA,NA,0.724,NA,NA,NA
19562,7.92705,7.96557,8.14778,NA,NA,NA,0.824,NA,NA,NA
19707,7.58315,7.45381,6.88404,NA,NA,0.795,NA,NA,NA,NA
19912,6.7923,8.14041,8.61468,NA,NA,0.643,NA,NA,NA,NA
20084,8.02995,8.38703,7.87362,NA,NA,NA,0.826,NA,NA,NA
20319,7.98832,7.20182,8.91521,NA,NA,0.699,NA,NA,NA,NA
20562,8.30611,7.6533,8.41727,NA,0.828,NA,NA,NA,NA,NA
20621,6.77306,7.95836,7.7292,NA,NA,0.755,NA,NA,NA,NA
20984,7.59902,8.38153,7.32421,NA,0.874,NA,NA,NA,NA,NA
21047,7.31352,7.76891,8.39794,NA,0.865,NA,NA,NA,NA,NA
21269,8.23956,8.27693,7.87999,NA,0.863,NA,NA,NA,NA,NA
21513,7.87548,7.36376,7.48328,NA,NA,NA,NA,0.787,NA,NA
21676,7.9571,7.26937,6.70275,NA,NA,0.737,NA,NA,NA,NA
21937,8.56044,8.27194,8.02948,NA,NA,0.749,NA,NA,NA,NA
22074,7.5232,7.31063,7.27158,NA,0.902,NA,NA,NA,NA,NA
22389,7.8254,7.43728,7.89355,NA,0.974,NA,NA,NA,NA,NA
22481,8.36589,7.62107,8.02313,NA,NA,0.887,NA,NA,NA,NA
22721,6.87959,7.82522,7.77283,NA,0.85,NA,NA,NA,NA,NA
22943,7.74948,7.68053,8.38796,NA,NA,0.913,NA,NA,NA,NA
23115,8.27872,7.19598,7.04848,NA,0.764,NA,NA,NA,NA,NA
23234,8.22853,7.42127,7.75998,NA,NA,NA,NA,0.8,NA,NA
23479,7.98474,7.72975,6.89396,NA,NA,0.844,NA,NA,NA,NA
23772,7.96052,7.26193,8.27269,NA,0.867,NA,NA,NA,NA,NA
23870,7.86245,8.298,8.32699,NA,NA,0.841,NA,NA,NA,NA
24145,7.48755,7.64125,8.25314,NA,NA,NA,NA,0.876,NA,NA
24343,7.43633,7.89958,7.54315,NA,NA,0.966,NA,NA,NA,NA
24536,8.40384,7.27201,7.19281,NA,0.806,NA,NA,NA,NA,NA
24764,7.43131,7.9513,8.26355,NA,0.889,NA,NA,NA,NA,NA
24970,7.09792,7.5154,7.34817,NA,NA,NA,NA,0.729,NA,NA
25109,7.33839,7.1833,7.28623,NA,NA,NA,NA,0.81,NA,NA
25260,8.35334,7.94344,7.05163,NA,NA,0.817,NA,NA,NA,NA
25436,7.93436,8.28076,7.2,NA,NA,0.871,NA,NA,NA,NA
25755,7.80611,8.46561,7.49247,NA,0.884,NA,NA,NA,NA,NA
25962,7.78226,7.9088,7.89922,NA,NA,0.982,NA,NA,NA,NA
26061,7.44406,7.82849,7.09817,NA,0.902,NA,NA,NA,NA,NA
26276,7.74347,8.2786,7.80047,NA,NA,NA,0.841,NA,NA,NA
26565,7.97188,7.642,7.9218,NA,NA,0.956,NA,NA,NA,NA
26677,7.25234,8.34025,8.4805,NA,NA,0.773,NA,NA,NA,NA
26949,7.44351,8.625,8.03881,NA,NA,NA,0.764,NA,NA,NA
27186,7.54491,7.68337,8.04029,NA,NA,0.963,NA,NA,NA,NA
27265,7.14916,8.04023,8.11075,NA,0.879,NA,NA,NA,NA,NA
27504,7.62473,7.0201,7.54336,NA,0.888,NA,NA,NA,NA,NA
27791,7.7295,7.81638,7.61957,NA,NA,0.988,NA,NA,NA,NA
27923,8.06888,7.93459,7.40496,NA,NA,NA,0.841,NA,NA,NA
28051,7.34342,7.64083,8.19743,NA,NA,NA,0.75,NA,NA,NA
28294,7.65323,7.86678,8.22732,NA,NA,NA,NA,NA,0.755,NA
28424,7.52733,8.53929,7.61994,NA,NA,0.836,NA,NA,NA,NA
28666,7.16653,7.75963,7.88387,NA,0.917,NA,NA,NA,NA,NA
28879,7.96586,7.37451,7.23922,NA,NA,0.914,NA,NA,NA,NA
29074,8.23448,6.88576,8.10486,NA,0.77,NA,NA,NA,NA,NA
29263,8.24441,7.60554,6.85978,NA,0.792,NA,NA,NA,NA,NA
29591,7.73623,7.88756,7.24411,NA,0.918,NA,NA,NA,NA,NA
29771,7.70823,7.82961,7.33225,NA,0.963,NA,NA,NA,NA,NA
29849,8.18232,7.87815,8.09342,NA,0.879,NA,NA,NA,NA,NA
30032,7.92424,7.64988,8.23476,NA,0.918,NA,NA,NA,NA,NA
30318,7.7891,6.69232,7.87519,NA,0.782,NA,NA,NA,NA,NA
30445,7.43594,7.54162,8.64419,NA,0.803,NA,NA,NA,NA,NA
30786,8.49434,7.42631,8.23126,NA,NA,0.809,NA,NA,NA,NA
30820,7.93144,7.63743,7.94101,NA,NA,0.966,NA,NA,NA,NA
31047,7.11128,7.27261,6.68117,NA,0.66,NA,NA,NA,NA,NA
31299,7.05405,7.8451,7.01579,NA,NA,0.77,NA,NA,NA,NA
31513,7.9852,7.25876,8.18419,NA,0.89,NA,NA,NA,NA,NA
31661,7.80763,8.46337,7.83926,NA,0.892,NA,NA,NA,NA,NA
31990,8.0278,7.44706,7.76548,NA,NA,0.96,NA,NA,NA,NA
32052,7.51341,7.11116,7.16324,NA,0.828,NA,NA,NA,NA,NA
