id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-3,fitness-2,fitness-1.5,fitness-1
38,2.74472,-0.0133469,-3.31359,-168.342,NA,NA,NA,NA,NA
205,3.197,0.203023,-4.61812,NA,-125.784,NA,NA,NA,NA
434,2.22065,1.04457,-4.32448,NA,NA,-28.914,NA,NA,NA
786,1.37361,1.58027,-4.22534,NA,NA,-15.044,NA,NA,NA
808,1.79011,1.3928,-4.56965,NA,NA,-19.168,NA,NA,NA
1085,1.72894,1.56706,-4.42517,NA,NA,-5.951,NA,NA,NA
1297,1.82082,2.23376,-5,NA,-21.99,NA,NA,NA,NA
1491,2.2224,1.32822,-5,NA,NA,-25.917,NA,NA,NA
1751,2.00563,1.62769,-5,NA,NA,-18.055,NA,NA,NA
1865,2.25096,1.11894,-4.14434,NA,NA,-25.022,NA,NA,NA
2173,2.36221,1.2252,-4.98579,NA,-28.366,NA,NA,NA,NA
2255,2.28113,1.75964,-5,NA,-21.332,NA,NA,NA,NA
2474,2.56815,1.39178,-4.47574,NA,NA,NA,-25.01,NA,NA
2749,1.46042,1.46657,-5,NA,-21.765,NA,NA,NA,NA
2886,1.68241,2.11254,-5,NA,NA,NA,-23.424,NA,NA
3197,1.99185,1.74912,-4.05712,NA,NA,-13.986,NA,NA,NA
3362,2.06745,1.68051,-3.92504,NA,-8.724,NA,NA,NA,NA
3539,2.19005,1.49692,-4.26405,NA,NA,-19.338,NA,NA,NA
3612,1.66204,1.94763,-5,NA,-16.375,NA,NA,NA,NA
3960,1.99707,1.63708,-4.39112,NA,-2.651,NA,NA,NA,NA
4171,1.82248,1.08464,-3.95764,NA,NA,-18.531,NA,NA,NA
4315,1.23739,1.59616,-4.49885,NA,-11.916,NA,NA,NA,NA
4567,1.81973,1.55511,-4.53048,NA,NA,-6.264,NA,NA,NA
4800,2.1937,2.04643,-4.3493,NA,NA,NA,-14.66,NA,NA
4942,1.22039,1.41222,-5,NA,NA,NA,-43.517,NA,NA
5125,2.02613,1.16825,-4.95656,NA,NA,-24.778,NA,NA,NA
5239,1.682,1.65048,-5,NA,NA,-20.091,NA,NA,NA
5504,0.948419,1.92942,-4.71214,NA,-26.393,NA,NA,NA,NA
5676,1.66632,2.02797,-4.39726,NA,NA,NA,NA,-27.213,NA
5807,1.65744,2.55016,-3.13981,NA,-56.34,NA,NA,NA,NA
6040,1.72755,2.09822,-3.94574,NA,NA,NA,-15.117,NA,NA
6375,1.47193,1.81012,-4.34204,NA,NA,NA,NA,-23.067,NA
6552,2.64453,1.68439,-5,NA,-32.294,NA,NA,NA,NA
6698,2.36515,2.19546,-5,NA,NA,NA,-30.921,NA,NA
6958,2.99071,1.67474,-4.07066,NA,-39.612,NA,NA,NA,NA
7137,1.56248,1.36941,-4.72451,NA,-9.792,NA,NA,NA,NA
7331,2.14623,1.33177,-4.8964,NA,-16.877,NA,NA,NA,NA
7580,1.5615,1.60471,-5,NA,NA,NA,-19.474,NA,NA
7657,1.54128,1.92227,-5,NA,NA,NA,-19.905,NA,NA
7972,1.78441,1.29945,-4.35487,NA,-4.541,NA,NA,NA,NA
8076,1.58397,1.33905,-3.88891,NA,NA,-13.081,NA,NA,NA
8280,2.18144,1.70019,-4.751,-26.499,NA,NA,NA,NA,NA
8430,1.39947,1.59245,-3.78774,NA,NA,-18.515,NA,NA,NA
8605,2.01031,1.84053,-4.7191,NA,NA,NA,-16.435,NA,NA
8835,1.38567,2.08178,-4.88575,NA,-19.005,NA,NA,NA,NA
9191,2.02784,2.19096,-3.87204,NA,-16.259,NA,NA,NA,NA
9367,2.26081,1.30274,-5,NA,NA,NA,-28.836,NA,NA
9472,2.39018,1.86246,-5,NA,-23.249,NA,NA,NA,NA
9625,1.67164,1.90997,-5,NA,-16.226,NA,NA,NA,NA
9982,1.80404,1.04082,-4.82253,NA,-23.844,NA,NA,NA,NA
10049,1.97693,0.720607,-5,NA,-53.473,NA,NA,NA,NA
10247,0.876382,1.29074,-4.27207,NA,NA,-36.952,NA,NA,NA
10538,1.66291,1.31098,-4.29398,NA,-4.197,NA,NA,NA,NA
10645,2.07863,2.14323,-4.10415,NA,NA,-14.685,NA,NA,NA
10860,2.14458,2.1739,-4.50141,NA,-12.942,NA,NA,NA,NA
11042,2.16895,1.9299,-4.06827,NA,-9.979,NA,NA,NA,NA
11360,1.61624,1.7392,-4.94493,NA,NA,-18.745,NA,NA,NA
