id,x0,x1,x2,fitness-2.5,fitness-2,fitness-1.5,fitness-3.5,fitness-3,fitness-4,fitness-1,fitness-0.5,fitness0,fitness-5,fitness-4.5,fitness0.5,fitness1
159,2.05243,1.44891,-4.87023,-14.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,2.22433,2.04795,-5,NA,-24.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,2.62393,3.66847,-5,NA,NA,-123.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
782,1.50284,4.72009,-5,NA,NA,NA,-226.822,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,3.27547,5,-4.5858,NA,NA,NA,NA,-292.728,NA,NA,NA,NA,NA,NA,NA,NA
1146,2.74997,4.30121,-4.12435,NA,NA,NA,NA,NA,-209.742,NA,NA,NA,NA,NA,NA,NA
1323,3.28782,2.50832,-4.25273,NA,NA,NA,NA,-74.305,NA,NA,NA,NA,NA,NA,NA,NA
1475,3.88225,1.40028,-3.88297,NA,-108.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1755,4.21446,0.831686,-3.3629,NA,NA,NA,NA,NA,NA,-202.724,NA,NA,NA,NA,NA,NA
1973,3.69321,0.950142,-3.55208,NA,NA,NA,NA,NA,NA,-147.145,NA,NA,NA,NA,NA,NA
2106,3.14425,1.8758,-4.33967,NA,-55.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2396,2.3475,2.31933,-5,NA,NA,NA,NA,NA,NA,-71.181,NA,NA,NA,NA,NA,NA
2598,1.41375,2.28272,-4.63384,NA,NA,NA,NA,NA,NA,-59.408,NA,NA,NA,NA,NA,NA
2687,1.13716,1.92993,-4.23138,NA,-26.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2971,1.95626,0.715333,-4.34584,NA,NA,NA,NA,NA,NA,-105.237,NA,NA,NA,NA,NA,NA
3117,0.946192,1.06891,-5,NA,NA,NA,NA,NA,NA,-110.765,NA,NA,NA,NA,NA,NA
3206,2.1241,1.44219,-5,NA,NA,NA,NA,NA,NA,NA,-128.146,NA,NA,NA,NA,NA
3582,0.97564,0.84604,-4.10175,NA,NA,-100.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3743,1.03756,0.839097,-3.90977,-69.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3820,2.25811,1.40059,-3.44805,NA,NA,NA,NA,NA,NA,-74.959,NA,NA,NA,NA,NA,NA
4172,2.20215,0.925271,-5,NA,NA,-65.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4343,3.32968,1.84021,-4.75438,-60.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
