id,x0,x1,x2,fitness-2.5,fitness-3,fitness-2,fitness-3.5,fitness-1.5,fitness-4,fitness-1
159,2.05243,1.44891,-4.87023,-14.348,NA,NA,NA,NA,NA,NA
201,1.34505,1.13781,-5,NA,-44.526,NA,NA,NA,NA,NA
559,1.1408,0.873768,-5,-65.1,NA,NA,NA,NA,NA,NA
675,2.55768,2.1142,-5,NA,-32.6,NA,NA,NA,NA,NA
803,2.05431,1.39257,-5,NA,-24.072,NA,NA,NA,NA,NA
1051,1.41912,1.73362,-5,-20.615,NA,NA,NA,NA,NA,NA
1246,1.62414,1.3987,-5,-18.785,NA,NA,NA,NA,NA,NA
1473,1.31223,1.82477,-5,-21.242,NA,NA,NA,NA,NA,NA
1609,1.41703,1.51626,-4.96058,-19.143,NA,NA,NA,NA,NA,NA
1864,1.60413,1.31618,-3.9489,-9.555,NA,NA,NA,NA,NA,NA
2082,1.52191,1.66511,-4.75109,-9.119,NA,NA,NA,NA,NA,NA
2370,0.623018,2.2229,-5,NA,NA,-56.316,NA,NA,NA,NA
2533,1.79858,1.69627,-4.57786,-4.65,NA,NA,NA,NA,NA,NA
2747,1.55455,2.69703,-5,NA,-44.291,NA,NA,NA,NA,NA
2935,1.89445,2.16426,-4.52735,NA,-11.44,NA,NA,NA,NA,NA
3089,1.53577,2.06328,-5,NA,NA,-23.558,NA,NA,NA,NA
3359,2.40086,1.24959,-4.63568,-20.356,NA,NA,NA,NA,NA,NA
3419,1.93403,1.82114,-5,-16.571,NA,NA,NA,NA,NA,NA
3665,1.36146,2.1706,-5,NA,NA,-32.281,NA,NA,NA,NA
3941,2.10517,2.01706,-5,-20.068,NA,NA,NA,NA,NA,NA
4071,2.41781,1.99614,-5,NA,-36.638,NA,NA,NA,NA,NA
4308,1.65741,1.55632,-5,-15.737,NA,NA,NA,NA,NA,NA
4535,1.8464,1.67993,-5,NA,-23.336,NA,NA,NA,NA,NA
4671,1.54347,2.62996,-5,NA,-36.696,NA,NA,NA,NA,NA
4848,1.94368,2.12486,-4.88904,NA,-18.258,NA,NA,NA,NA,NA
5009,1.52425,1.54447,-5,NA,NA,NA,-31.036,NA,NA,NA
5387,1.43849,1.37574,-5,-22.696,NA,NA,NA,NA,NA,NA
5594,1.41187,1.6331,-5,-20.235,NA,NA,NA,NA,NA,NA
5627,1.3805,1.33504,-5,-26.483,NA,NA,NA,NA,NA,NA
5879,1.53659,1.55602,-4.95649,-15.76,NA,NA,NA,NA,NA,NA
6184,1.59202,2.17631,-5,NA,NA,-27.963,NA,NA,NA,NA
6346,1.71532,1.33911,-5,-19.357,NA,NA,NA,NA,NA,NA
6473,1.67403,1.01367,-4.22268,NA,-19.945,NA,NA,NA,NA,NA
6612,0.978146,1.48586,-5,NA,NA,NA,-47.519,NA,NA,NA
6984,1.45137,1.58135,-4.48671,NA,NA,NA,-22.454,NA,NA,NA
7125,1.21725,0.860583,-3.82019,NA,-54.373,NA,NA,NA,NA,NA
7260,1.76787,1.08707,-4.44616,NA,-15.723,NA,NA,NA,NA,NA
7414,2.49046,1.43693,-5,-27.924,NA,NA,NA,NA,NA,NA
7635,2.50785,1.99146,-4.81464,-23.384,NA,NA,NA,NA,NA,NA
7805,2.19405,1.14629,-4.3079,NA,NA,-23.097,NA,NA,NA,NA
8199,1.72415,1.87231,-5,NA,NA,-23.805,NA,NA,NA,NA
8342,1.73825,2.17108,-4.71211,NA,NA,-14.335,NA,NA,NA,NA
8560,0.408676,2.08224,-5,NA,NA,NA,NA,-74.304,NA,NA
8670,1.3946,2.20613,-5,NA,-34.024,NA,NA,NA,NA,NA
8976,1.8916,2.20359,-5,NA,-30.31,NA,NA,NA,NA,NA
9193,1.52863,1.84444,-4.69804,-9.142,NA,NA,NA,NA,NA,NA
9258,1.97712,1.51964,-4.44136,NA,-15.456,NA,NA,NA,NA,NA
9458,2.06382,2.01642,-4.10279,NA,NA,NA,-35.38,NA,NA,NA
9761,1.59878,1.03394,-4.93056,NA,NA,NA,-57.706,NA,NA,NA
9955,2.03011,1.5784,-3.00612,NA,NA,NA,NA,NA,-86.332,NA
10003,1.42389,2.09766,-3.9489,NA,-16.37,NA,NA,NA,NA,NA
