id,x0,x1,x2,fitness-5,fitness-4.5,fitness-4
75,-2.5379,2.36692,-3.62097,-178.706,NA,NA
202,-2.5379,4.64842,-3.62097,-104.288,NA,NA
236,-2.5379,4.64842,-4.55438,-75.972,NA,NA
248,-1.68277,4.64842,-4.48507,-58.293,NA,NA
279,-1.68277,4.04233,-4.48507,-50.895,NA,NA
315,-1.68277,4.04233,-4.48507,NA,-32.455,NA
316,-1.68277,4.04233,-5,NA,-22.245,NA
341,-1.68277,3.77505,-5,NA,-9.725,NA
369,-1.60691,3.77505,-5,NA,-9.125,NA
392,-1.60691,3.77505,-4.91717,NA,-7.121,NA
429,-1.60691,3.77505,-4.91717,NA,NA,-5.487
483,-1.60691,3.77505,-4.91717,NA,-3.828,NA
540,-1.60691,3.68468,-4.91717,NA,-3.562,NA
590,-1.52715,3.68468,-4.91717,NA,-2.923,NA
619,-1.52715,3.68468,-4.91717,NA,-1.049,NA
641,-1.52715,3.68468,-4.91717,NA,-0.906,NA
669,-1.52715,3.68468,-4.91717,NA,-0.813,NA
713,-1.46634,3.68468,-4.91717,NA,-0.656,NA
743,-1.46634,3.66117,-4.91717,NA,-0.644,NA
852,-1.46634,3.66117,-4.87059,NA,-0.093,NA
913,-1.47745,3.66117,-4.87059,NA,-0.055,NA
1178,-1.47745,3.68405,-4.87059,NA,-0.045,NA
1249,-1.47745,3.68405,-4.86538,NA,-0.029,NA
1343,-1.48521,3.68405,-4.86538,NA,-0.028,NA
1421,-1.4804,3.68405,-4.86538,NA,-0.026,NA
1873,-1.4804,3.68405,-4.85959,NA,-0.018,NA
1932,-1.4804,3.68405,-4.85959,NA,-0.018,NA
2025,-1.4804,3.68067,-4.85959,NA,-0.008,NA
2093,-1.4804,3.66761,-4.85959,NA,-0.007,NA
2382,-1.4804,3.67973,-4.85959,NA,-0.006,NA
2549,-1.4804,3.67138,-4.85959,NA,-0.002,NA
6366,-1.4804,3.67138,-4.85888,NA,-0.001,NA
6750,-1.4804,3.67243,-4.85888,NA,-0.001,NA
8079,-1.4804,3.67243,-4.85888,NA,-0.441,NA
