id,x0,x1,x2,fitness-4,fitness-5,fitness-4.5,fitness-3.5
104,-2.37482,2.69364,-4.07446,-143.977,NA,NA,NA
321,-1.98678,2.62234,-5,NA,-124.604,NA,NA
568,-2.3174,3.5205,-5,NA,-51.551,NA,NA
712,-1.99344,3.76723,-5,NA,-34.456,NA,NA
877,-1.95241,3.57752,-5,NA,NA,-26.271,NA
1031,-2.65632,3.81949,-4.77468,NA,-50.811,NA,NA
1284,-1.29956,3.39014,-4.26912,NA,-56.548,NA,NA
1406,-2.1619,3.94293,-4.90422,NA,-43.731,NA,NA
1783,-1.38279,4.03533,-4.77775,NA,NA,-24.525,NA
1977,-1.968,4.32417,-4.45952,NA,-48.035,NA,NA
2198,-1.38249,3.70646,-4.59899,-26.82,NA,NA,NA
2298,-1.74423,4.00375,-5,NA,NA,-17.828,NA
2465,-1.38953,4.80285,-5,NA,-63.897,NA,NA
2741,-2.15298,3.48752,-5,NA,-50.865,NA,NA
2818,-1.50956,3.38559,-4.74292,-40.35,NA,NA,NA
3029,-1.85665,4.16625,-5,NA,-47.899,NA,NA
3217,-1.61095,3.36643,-5,NA,-33.658,NA,NA
3594,-1.73235,3.64199,-5,NA,-47.041,NA,NA
3776,-1.66168,3.9677,-5,NA,-48.692,NA,NA
3992,-1.18617,3.98189,-5,NA,NA,-25.175,NA
4171,-1.36076,3.42945,-4.56652,NA,NA,-28.784,NA
4315,-1.94585,3.94097,-5,-31.876,NA,NA,NA
4410,-1.8083,3.75934,-4.99681,NA,-47.686,NA,NA
4670,-2.25449,3.79716,-5,NA,NA,-37.599,NA
4976,-2.0827,3.81021,-4.7365,NA,-37.338,NA,NA
5089,-1.94679,3.76128,-4.82185,NA,-28.865,NA,NA
5238,-1.67084,3.50192,-5,NA,NA,-13.315,NA
5490,-1.59636,4.13906,-5,-35.745,NA,NA,NA
5766,-1.93262,3.76223,-4.95676,NA,NA,-26.801,NA
5957,-1.94506,4.30205,-4.46931,NA,NA,-55.913,NA
6158,-1.09868,3.66451,-4.69407,NA,NA,-37.827,NA
6390,-2.08267,4.44713,-4.81214,NA,NA,-49.833,NA
6414,-1.5335,3.44634,-5,NA,-51.16,NA,NA
6739,-2.60435,4.00779,-5,-61.906,NA,NA,NA
6853,-2.14369,3.63316,-5,NA,NA,-36.431,NA
7150,-2.42168,3.66336,-5,NA,NA,-47.083,NA
7318,-1.57119,3.61928,-5,NA,NA,-4.204,NA
7464,-1.41717,4.1837,-4.97734,NA,NA,-21.67,NA
7644,-1.75444,3.38919,-4.90625,NA,-31.203,NA,NA
7848,-1.76577,3.65213,-5,NA,NA,-11.28,NA
8194,-2.1196,4.38986,-5,NA,NA,-45.205,NA
8209,-2.5135,4.05813,-5,NA,NA,NA,-75.516
8502,-1.40163,4.02433,-4.93435,NA,-45.893,NA,NA
8707,-1.24728,3.87147,-5,NA,-49.562,NA,NA
8948,-1.50042,3.56675,-5,-41.479,NA,NA,NA
9189,-2.23999,3.47,-4.51873,NA,-65.63,NA,NA
9314,-1.64542,4.22851,-5,NA,-38.271,NA,NA
9468,-2.11423,4.29646,-5,NA,-55.711,NA,NA
9696,-1.64846,4.32605,-4.66982,NA,NA,-46.761,NA
9955,-1.8388,3.87031,-4.91105,-19.063,NA,NA,NA
10017,-1.33361,3.24111,-5,-36.171,NA,NA,NA
10265,-2.30214,3.73043,-5,NA,NA,-34.913,NA
10570,-2.96953,3.71038,-5,NA,NA,-67.617,NA
10644,-2.31002,3.36562,-5,NA,-51.286,NA,NA
11000,-2.29852,3.65123,-5,NA,NA,-44.879,NA
11049,-1.44544,3.56529,-5,NA,NA,-17.547,NA
11257,-2.09473,3.27939,-5,NA,NA,-55.067,NA
11462,-2.28161,4.19036,-5,NA,-47.14,NA,NA
11799,-2.35633,3.99147,-5,NA,-58.681,NA,NA
11907,-1.88662,3.73362,-5,NA,-40.61,NA,NA
12095,-1.87138,4.58769,-5,NA,NA,-54.166,NA
12398,-2.0376,3.91223,-5,NA,-37.87,NA,NA
12496,-0.998223,3.2819,-5,NA,-73.092,NA,NA
12706,-1.32007,3.61298,-5,NA,NA,-9.651,NA
12851,-1.76408,3.90858,-5,NA,NA,-12.463,NA
13053,-1.90626,3.90443,-5,-41.861,NA,NA,NA
13271,-1.53462,3.81769,-5,NA,-41.586,NA,NA
13500,-1.77726,3.62768,-5,-31.787,NA,NA,NA
13646,-1.76955,3.01394,-5,NA,NA,-46.934,NA
13847,-2.19295,3.88232,-5,NA,NA,-40.37,NA
14150,-2.28044,3.81597,-4.6132,NA,NA,-42.849,NA
14338,-1.88486,3.74716,-4.95985,NA,NA,-22.026,NA
14406,-1.56162,3.51555,-5,NA,NA,-16.401,NA
14690,-1.78551,3.469,-5,NA,NA,-21.407,NA
14909,-1.90897,3.11398,-5,NA,NA,-55.878,NA
15063,-2.30806,3.97032,-5,NA,-58.879,NA,NA
15225,-1.22517,3.93254,-5,NA,-55.054,NA,NA
15555,-1.77705,4.19275,-4.7138,NA,NA,-37.574,NA
15768,-1.79087,3.88702,-4.93274,NA,-50.657,NA,NA
15994,-1.54737,2.99831,-5,NA,-84.374,NA,NA
16089,-1.82944,4.00613,-5,NA,-41.928,NA,NA
16300,-1.57464,3.87815,-4.89001,NA,-26.197,NA,NA
16541,-1.94886,4.60838,-5,NA,-54.334,NA,NA
16766,-1.47242,4.04068,-5,NA,NA,-17.83,NA
16977,-1.38874,3.71473,-4.82772,NA,-28.397,NA,NA
17072,-2.31453,3.41608,-5,NA,-47.798,NA,NA
17350,-1.74796,3.34801,-5,NA,-38.709,NA,NA
17499,-1.84199,3.89221,-4.56801,NA,NA,-26.897,NA
17791,-2.29008,4.20524,-5,NA,NA,-51.423,NA
17850,-2.2131,4.47425,-5,-56.806,NA,NA,NA
18198,-2.47183,3.78152,-4.91425,-61.154,NA,NA,NA
18395,-2.0075,4.02389,-4.57482,NA,-51.05,NA,NA
18520,-1.03194,4.11508,-4.81584,NA,-52.629,NA,NA
18745,-1.61158,3.53703,-5,NA,-41.656,NA,NA
18810,-1.89515,3.86286,-5,NA,-32.374,NA,NA
19195,-1.17416,3.81732,-5,-35.873,NA,NA,NA
19218,-1.08645,3.28084,-4.66593,NA,NA,-70.878,NA
19409,-1.55607,3.9313,-5,NA,NA,-11.377,NA
19762,-2.34586,3.51162,-5,NA,-52.004,NA,NA
19840,-2.2895,3.78334,-5,NA,NA,-32.695,NA
20102,-1.45439,3.50432,-4.97441,NA,NA,-5.904,NA
20349,-1.09614,3.59732,-4.78333,NA,NA,-34.981,NA
20462,-1.56278,3.57287,-4.40775,-29.265,NA,NA,NA
20705,-1.94736,3.43283,-4.57103,NA,NA,-42.948,NA
20823,-1.80213,3.88015,-5,NA,-48.083,NA,NA
21173,-1.63512,4.30768,-4.9613,-39.748,NA,NA,NA
21272,-2.03639,3.65208,-4.70672,NA,NA,-33.351,NA
21451,-1.47731,3.98672,-5,-27.685,NA,NA,NA
21718,-1.69673,4.0287,-5,-20.621,NA,NA,NA
21962,-1.76245,3.28862,-5,-39.431,NA,NA,NA
22049,-1.13438,4.03137,-5,-36.289,NA,NA,NA
22214,-1.15553,3.82992,-4.97931,NA,NA,-27.893,NA
22441,-1.84393,4.12868,-5,NA,NA,-35.277,NA
22652,-1.56266,4.28182,-4.88608,NA,-47.478,NA,NA
22947,-2.44447,4.00487,-4.23979,NA,-68.36,NA,NA
23109,-2.23948,4.18905,-5,NA,-48.401,NA,NA
23327,-2.02375,3.89331,-5,NA,-36.304,NA,NA
23453,-2.05618,3.89682,-5,-36.889,NA,NA,NA
23753,-1.17932,4.40122,-4.96821,-64.543,NA,NA,NA
23888,-1.94817,4.05371,-5,NA,-47.519,NA,NA
24159,-1.56459,4.14173,-5,NA,NA,-30.301,NA
24395,-1.67452,4.67674,-5,NA,NA,-57.432,NA
24489,-2.15735,4.2861,-4.5271,NA,-54.049,NA,NA
24647,-2.215,4.18525,-5,NA,NA,-49.607,NA
24887,-1.40173,3.50097,-5,NA,NA,-10.065,NA
25187,-2.01761,4.52632,-5,NA,-55.822,NA,NA
25252,-2.13995,4.53542,-5,NA,NA,-56.193,NA
25502,-1.76135,3.99862,-4.3607,NA,-51.102,NA,NA
25637,-1.38814,3.8669,-5,NA,-32.166,NA,NA
25819,-1.87641,4.05796,-4.25777,NA,-58.298,NA,NA
26092,-1.71758,3.49767,-5,NA,NA,-19.999,NA
26285,-2.27525,4.32257,-5,NA,-49.635,NA,NA
26553,-2.04861,4.43122,-5,-58.687,NA,NA,NA
26703,-1.72121,3.76933,-4.35391,NA,-33.682,NA,NA
26883,-1.21822,3.67695,-4.69027,NA,NA,-16.137,NA
27193,-2.12843,3.57457,-4.89872,NA,-52.632,NA,NA
27359,-0.778952,4.19919,-4.82216,NA,NA,-45.363,NA
27492,-1.98882,4.29817,-5,-77.94,NA,NA,NA
27624,-2.28018,4.32986,-5,NA,NA,-57.838,NA
27866,-1.80814,3.39031,-5,-35.3,NA,NA,NA
28154,-2.2587,3.76604,-5,NA,NA,-34.454,NA
28357,-2.26985,3.80792,-5,NA,NA,-31.988,NA
28554,-1.4122,3.73518,-5,NA,NA,-5.737,NA
28692,-1.4004,3.80379,-5,NA,-24.651,NA,NA
28980,-1.65878,3.78349,-5,NA,NA,-5.201,NA
29191,-1.67025,3.25062,-4.97693,NA,-45.325,NA,NA
29299,-1.22058,3.29088,-5,-46.895,NA,NA,NA
29450,-1.76903,3.59924,-5,NA,NA,-12.662,NA
29649,-1.54734,3.59057,-4.4427,-34.44,NA,NA,NA
29829,-1.67105,3.57653,-5,NA,NA,-8.902,NA
30026,-2.17926,3.72461,-4.4447,NA,-51.218,NA,NA
30354,-2.14805,3.84277,-5,NA,-46.848,NA,NA
30408,-2.36635,3.26376,-5,-65.653,NA,NA,NA
30795,-1.97074,3.7092,-5,NA,-36.868,NA,NA
30871,-1.78505,4.02546,-5,NA,-45.02,NA,NA
31164,-1.48741,3.56477,-4.52937,NA,-53.608,NA,NA
31303,-1.95359,3.57428,-4.13456,NA,-70.111,NA,NA
31463,-1.46475,4.04546,-4.94534,NA,NA,-16.752,NA
31771,-2.10438,3.66,-4.40087,NA,NA,-43.201,NA
31960,-1.60073,4.08349,-5,NA,NA,NA,-49.868
32065,-2.20758,3.5835,-5,NA,NA,-41.054,NA
32279,-1.9648,3.66969,-5,NA,NA,-28.244,NA
32485,-1.62599,3.77708,-5,NA,-48.391,NA,NA
32694,-2.24429,4.3749,-5,NA,-53.353,NA,NA
32895,-2.5134,3.70461,-5,-62.486,NA,NA,NA
33151,-2.03143,4.14503,-5,-44.54,NA,NA,NA
33204,-1.50529,3.70925,-5,NA,NA,-3.347,NA
33528,-1.25746,3.75447,-5,NA,-47.369,NA,NA
33660,-2.05675,4.43011,-5,NA,-60.276,NA,NA
33818,-1.66436,4.2364,-4.97145,NA,-35.016,NA,NA
34082,-2.36357,3.40055,-5,NA,-49.876,NA,NA
34371,-2.097,4.31492,-5,NA,-60.874,NA,NA
34501,-1.61993,4.3192,-5,NA,NA,-40.926,NA
34792,-1.74373,3.28784,-4.85257,NA,NA,-39.13,NA
34996,-1.83126,3.34583,-5,-46.418,NA,NA,NA
35007,-1.30138,3.96259,-5,-42.186,NA,NA,NA
35308,-2.61409,4.28583,-4.91963,NA,NA,-47.153,NA
35550,-1.12529,3.81731,-4.60222,-47.93,NA,NA,NA
35707,-1.96608,3.62447,-4.76642,NA,-43.94,NA,NA
35946,-1.68434,4.18285,-5,-35.413,NA,NA,NA
36191,-1.38366,4.56139,-4.79292,NA,-54.584,NA,NA
36326,-1.69814,4.21136,-5,NA,-36.518,NA,NA
36562,-1.35127,3.71631,-5,NA,NA,NA,-45.924
36737,-2.2547,3.89687,-5,-40.16,NA,NA,NA
36852,-1.00736,4.04406,-4.98513,NA,NA,-52.822,NA
37033,-1.34235,3.70964,-5,NA,NA,-9.387,NA
37264,-1.76013,3.31195,-4.67949,NA,-46.506,NA,NA
37438,-2.63608,4.48108,-4.44801,-73.873,NA,NA,NA
37697,-1.76184,3.42683,-5,NA,-38.04,NA,NA
37924,-1.44855,3.72116,-5,NA,-35.3,NA,NA
38025,-1.49164,3.54588,-5,-6.183,NA,NA,NA
38313,-1.53852,4.20877,-5,NA,-50.633,NA,NA
38405,-1.48836,3.48335,-4.69759,NA,-57.165,NA,NA
38751,-1.84582,4.23869,-5,NA,NA,-38.646,NA
38936,-1.90477,4.41214,-4.61332,NA,-58.4,NA,NA
39018,-1.95577,4.21398,-4.54186,NA,NA,-45.408,NA
39222,-2.14843,4.44715,-5,NA,NA,-50.657,NA
39511,-1.4688,3.75544,-5,NA,NA,-5.448,NA
39652,-1.64235,4.46343,-4.99847,NA,-55.868,NA,NA
39897,-0.875969,3.89814,-5,NA,NA,-68.403,NA
40131,-1.72642,3.49294,-4.17383,NA,NA,-45.122,NA
40352,-1.3722,4.18168,-4.63611,-62.725,NA,NA,NA
40438,-2.28544,4.1546,-4.94612,NA,NA,-54.596,NA
40644,-1.54759,3.7118,-5,NA,-43.217,NA,NA
40859,-1.80471,4.19559,-5,NA,NA,-36.943,NA
41055,-1.43098,3.27213,-5,NA,NA,-23.159,NA
41387,-1.68678,3.18461,-5,NA,-55.052,NA,NA
41496,-1.93411,3.37562,-4.4619,NA,-50.098,NA,NA
41708,-2.14162,4.09059,-5,NA,-51.811,NA,NA
41903,-2.06988,3.6044,-5,-39.942,NA,NA,NA
42004,-1.64936,3.70419,-4.43811,NA,NA,-32.361,NA
42229,-1.72279,3.26677,-4.86245,NA,NA,NA,-39.523
42460,-1.43559,3.91975,-5,-15.75,NA,NA,NA
42702,-1.30679,3.48802,-5,NA,NA,-12.701,NA
42947,-1.51401,4.16517,-5,NA,-52.377,NA,NA
43101,-2.24693,3.88791,-4.38806,NA,-49.369,NA,NA
43314,-2.0875,4.11506,-4.23746,NA,-56.734,NA,NA
43548,-1.16513,3.89817,-5,NA,NA,-19.559,NA
43748,-2.28236,3.64638,-4.704,NA,NA,-42.373,NA
43902,-2.11498,4.08141,-5,-40.448,NA,NA,NA
44058,-1.74221,3.58402,-5,NA,NA,-25.926,NA
44259,-1.72942,4.32676,-5,NA,-41.052,NA,NA
44495,-1.4776,3.48027,-4.99054,NA,NA,-11.213,NA
