id,x0,x1,x2,fitness-2.5,fitness-3.5,fitness-3,fitness-1.5,fitness-4,fitness-2,fitness-5,fitness-1,fitness0.5,fitness0,fitness1.5,fitness1,fitness3,fitness3.5,fitness4,fitness5,fitness4.5,fitness2.5,fitness-4.5,fitness-0.5,fitness2
124,-4.43011,-2.93673,-3.35589,12.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,-5,-2.68031,-4.21081,-3.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,-5,-2.11415,-4.20323,12.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,-4.52801,-1.84956,-4.43244,NA,55.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,-5,-2.73873,-2.64429,NA,NA,-6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,-4.61393,-1.71204,-1.68253,-79.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1328,-2.3314,-1.48261,0.485642,NA,NA,NA,128.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1544,-3.06523,-1.18023,-0.100961,NA,89.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1682,-2.80779,0.0824268,-1.42187,NA,NA,NA,NA,-63.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,-2.11181,0.620717,-2.1393,NA,NA,60.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2085,-2.2904,-0.18624,-2.42937,NA,NA,NA,NA,NA,-2.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2213,-2.25712,-0.0793517,-3.80203,NA,NA,25.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2514,-1.65865,0.34919,-4.00803,NA,NA,185.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2648,-2.69974,-0.499311,-3.64002,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2923,-2.85675,0.192356,-3.62185,NA,NA,NA,NA,NA,NA,22.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3054,-3.65705,-0.500093,-2.82118,NA,NA,NA,NA,NA,NA,14.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3210,-2.67872,0.217057,-3.07124,NA,NA,NA,NA,40.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3410,-2.851,-0.775211,-2.35088,NA,NA,171.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3674,-3.13915,-1.49165,-2.44336,89.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3811,-2.75862,-0.581082,-2.53529,NA,NA,NA,NA,NA,27.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4075,-1.04249,-0.238474,-2.04497,NA,NA,NA,NA,NA,NA,NA,1241.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4365,-0.575382,-0.548925,-0.976381,NA,NA,NA,4617.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4488,-2.07513,0.12519,0.476372,NA,NA,NA,NA,NA,NA,NA,NA,1.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4784,-2.51955,0.990875,-0.234757,NA,NA,NA,NA,NA,NA,NA,522.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4995,-2.63341,3.62758,-1.0862,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5164,-0.856962,3.85334,-0.992426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5232,-1.14839,3.59256,-2.47373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5497,-2.95554,4.05167,-3.25875,NA,NA,NA,NA,NA,NA,NA,NA,4.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5774,-4.36737,5,-2.65331,NA,NA,NA,NA,NA,NA,NA,NA,-66.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5997,-4.45003,5,-3.26082,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008,-5,5,-4.33462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.153,NA,NA,NA,NA,NA,NA,NA,NA,NA
6286,-5,3.07844,-4.70589,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6465,-4.84106,3.93284,-4.4397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.263,NA,NA,NA,NA,NA,NA,NA,NA
6679,-5,5,-3.94038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.051,NA,NA,NA,NA,NA,NA,NA
6979,-4.82626,5,-3.56163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.915,NA,NA,NA,NA,NA,NA
7007,-4.21743,4.61746,-2.98681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.376,NA,NA,NA,NA,NA
7261,-4.1672,5,-3.24989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8,NA,NA,NA,NA
7470,-4.74523,5,-3.95839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.775,NA,NA,NA,NA,NA,NA
7776,-2.82799,5,-3.69544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.651,NA,NA,NA,NA,NA
7834,-3.15956,5,-3.55412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.804,NA,NA,NA,NA
8158,-2.22171,4.11921,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.577,NA,NA,NA,NA,NA,NA,NA,NA
8243,-1.69771,3.26365,-4.1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.042,NA,NA,NA
8584,-4.08914,4.39353,-3.7363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.049,NA,NA,NA,NA,NA,NA,NA,NA
8707,-4.97138,3.43408,-3.89238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.458,NA,NA,NA,NA,NA
8852,-5,5,-3.65493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.075,NA,NA,NA,NA,NA
9004,-5,4.24732,-2.09895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882.091,NA,NA,NA,NA,NA
9378,-4.07223,4.68952,-1.94126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.416,NA,NA,NA,NA,NA,NA,NA
9429,-2.45449,3.71001,-4.21867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.689,NA,NA,NA,NA,NA,NA,NA
9692,-1.76539,2.49085,-3.33432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA
9979,-1.77744,2.32026,-3.21922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.155,NA,NA,NA,NA,NA,NA,NA,NA
10116,-1.13416,2.52549,-4.93564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA
10275,-2.26356,3.07234,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10581,-2.93546,1.18965,-4.79715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
10750,-4.01607,2.17026,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10922,-4.15903,3.48893,-5,NA,NA,NA,NA,NA,NA,NA,17.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11025,-2.51174,3.19709,-4.82772,NA,NA,NA,NA,NA,NA,NA,-12.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11335,-2.48317,2.05292,-4.14681,NA,NA,NA,NA,NA,3.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
