id,x0,x1,x2,fitness4,fitness5,fitness4.5,fitness3,fitness3.5,fitness2,fitness2.5
151,4.71189,0.777408,1.25179,330.297,NA,NA,NA,NA,NA,NA
343,5,-0.630042,2.78977,NA,2453.848,NA,NA,NA,NA,NA
457,3.9486,-2.18877,5,NA,332.001,NA,NA,NA,NA,NA
604,4.92607,-1.91633,5,NA,5880.571,NA,NA,NA,NA,NA
823,5,-3.09102,5,NA,2804.513,NA,NA,NA,NA,NA
1129,4.96714,-3.03947,4.60142,NA,1697.498,NA,NA,NA,NA,NA
1223,5,-2.05748,3.91573,NA,1062.209,NA,NA,NA,NA,NA
1591,5,-0.599049,4.2966,NA,NA,2959.843,NA,NA,NA,NA
1734,4.33137,-0.914851,4.88821,NA,NA,NA,3133.693,NA,NA,NA
1978,3.58495,-1.02102,5,NA,758.08,NA,NA,NA,NA,NA
2147,4.90557,0.0595148,4.17491,NA,1417.929,NA,NA,NA,NA,NA
2314,5,-0.644247,4.98439,NA,10234.793,NA,NA,NA,NA,NA
2471,4.61082,-0.976115,5,NA,5853.488,NA,NA,NA,NA,NA
2640,4.81863,-1.84268,5,NA,3574.833,NA,NA,NA,NA,NA
2969,2.10069,-3.57899,5,NA,200.961,NA,NA,NA,NA,NA
3188,4.04477,-3.37183,4.75036,NA,303.457,NA,NA,NA,NA,NA
3280,4.38287,-3.474,4.77569,NA,1438.854,NA,NA,NA,NA,NA
3475,4.78801,-3.83926,5,NA,2551.46,NA,NA,NA,NA,NA
3634,5,-2.10846,5,NA,NA,3639.623,NA,NA,NA,NA
3933,5,-0.963398,5,NA,10697.85,NA,NA,NA,NA,NA
4024,5,-1.0683,5,NA,3354.147,NA,NA,NA,NA,NA
4311,5,-0.920645,4.80438,NA,13967.192,NA,NA,NA,NA,NA
4419,4.9912,-0.534664,4.03987,300.769,NA,NA,NA,NA,NA,NA
4633,4.66192,-0.240113,4.25385,NA,NA,1919.32,NA,NA,NA,NA
4929,5,-1.85108,5,NA,3007.471,NA,NA,NA,NA,NA
5024,5,-1.04059,4.95487,NA,5902.281,NA,NA,NA,NA,NA
5231,5,-0.571292,4.83837,NA,8148.804,NA,NA,NA,NA,NA
5591,5,-1.52483,4.34691,NA,NA,5738.925,NA,NA,NA,NA
5610,4.29909,-2.86319,3.39723,NA,375.046,NA,NA,NA,NA,NA
5959,4.85133,-1.69543,4.37998,NA,2342.843,NA,NA,NA,NA,NA
6131,4.25235,-0.0658207,5,NA,3734.223,NA,NA,NA,NA,NA
6342,5,-0.878573,5,NA,12114.931,NA,NA,NA,NA,NA
6394,4.18377,-1.0964,4.62683,291.007,NA,NA,NA,NA,NA,NA
6671,5,-0.793732,4.80972,NA,16901.089,NA,NA,NA,NA,NA
6930,5,-1.01969,5,NA,NA,5417.774,NA,NA,NA,NA
7018,5,-2.13611,5,NA,4052.563,NA,NA,NA,NA,NA
7243,4.74758,-2.00649,4.76295,NA,7549.677,NA,NA,NA,NA,NA
7425,5,-1.96016,5,NA,NA,NA,NA,1546.555,NA,NA
7753,5,-0.965554,4.621,1918.924,NA,NA,NA,NA,NA,NA
7877,5,-0.732236,4.68156,3610.667,NA,NA,NA,NA,NA,NA
8155,5,-0.63617,4.94422,NA,11172.928,NA,NA,NA,NA,NA
8356,5,-0.696115,4.78441,NA,14262.768,NA,NA,NA,NA,NA
8550,5,-1.00266,4.66796,NA,5820.23,NA,NA,NA,NA,NA
8705,5,-0.511958,5,NA,2969.55,NA,NA,NA,NA,NA
8969,5,-0.774659,4.7773,NA,NA,6980.326,NA,NA,NA,NA
9104,5,-1.01241,5,NA,6623.941,NA,NA,NA,NA,NA
9348,5,-1.04879,4.65431,NA,3385.193,NA,NA,NA,NA,NA
9454,4.17147,-0.790638,4.2509,NA,4301.258,NA,NA,NA,NA,NA
9693,5,-0.82618,5,NA,12954.456,NA,NA,NA,NA,NA
9884,5,-0.531603,4.9738,NA,4477.597,NA,NA,NA,NA,NA
10102,5,-1.45706,4.01953,NA,1298.358,NA,NA,NA,NA,NA
10328,5,-2.3546,4.6575,NA,NA,-5.45,NA,NA,NA,NA
10502,5,-2.02787,5,NA,7159.575,NA,NA,NA,NA,NA
10650,5,-0.780016,5,NA,12994.542,NA,NA,NA,NA,NA
10956,5,-1.42771,4.42636,NA,4248.832,NA,NA,NA,NA,NA
11058,4.93873,-2.06469,3.55845,NA,NA,114.841,NA,NA,NA,NA
11243,5,-2.9466,4.74877,NA,3506.408,NA,NA,NA,NA,NA
11519,5,-2.20752,4.97325,NA,3121.114,NA,NA,NA,NA,NA
11642,5,-1.05808,5,NA,5299.014,NA,NA,NA,NA,NA
11797,5,0.324019,5,NA,3454.252,NA,NA,NA,NA,NA
12037,4.73523,-0.756452,5,NA,15664.15,NA,NA,NA,NA,NA
12241,5,0.382341,3.66583,NA,926.603,NA,NA,NA,NA,NA
12519,5,-0.999425,4.99368,NA,7532.059,NA,NA,NA,NA,NA
