id,x0,x1,x2,fitness-2,fitness-1,fitness-2.5,fitness-1.5,fitness-3.5,fitness-5,fitness-4,fitness-4.5,fitness-3,fitness1,fitness0.5,fitness-0.5,fitness0,fitness2,fitness2.5,fitness3.5,fitness5,fitness4.5,fitness4,fitness3,fitness1.5
87,4.02402,4.10893,2.83219,54.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,3.38058,4.17176,3.22621,NA,257.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,1.78217,4.88723,3.73924,192.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,-0.135174,5,4.1373,NA,NA,1155.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,0.77727,3.78565,3.94534,NA,NA,11.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1092,-0.126943,4.69848,4.30694,NA,NA,NA,4842.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,0.0755719,5,5,NA,2313.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,0.871681,5,5,NA,4071.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602,3.91832,4.57029,5,NA,717.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,3.34882,5,4.67436,NA,502.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2116,3.80725,4.6045,4.38015,NA,NA,288.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2339,4.26909,4.51056,2.47796,NA,NA,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2436,5,3.22988,3.6763,NA,NA,NA,NA,239.638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2749,4.24175,1.6433,3.95076,NA,NA,31.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2897,4.87888,0.613607,5,NA,NA,NA,NA,NA,339.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3144,4.2291,3.27869,3.84254,NA,NA,NA,NA,NA,193.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3203,4.83751,2.63436,4.69583,NA,NA,NA,NA,NA,460.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3577,5,3.61415,5,NA,NA,NA,NA,NA,478.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3789,5,5,5,NA,NA,NA,NA,NA,NA,1311.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3842,5,5,5,NA,NA,NA,NA,NA,672.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4118,5,4.78684,5,NA,NA,NA,NA,NA,2881.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4233,5,5,4.65638,NA,NA,NA,NA,NA,1937.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4578,5,4.99744,5,NA,NA,NA,NA,NA,2588.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4614,5,4.66852,5,NA,NA,NA,NA,NA,1867.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4843,5,4.05122,5,NA,NA,NA,NA,NA,NA,NA,324.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5178,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5382,5,4.93683,4.81108,NA,NA,NA,NA,NA,4079.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5484,5,4.60156,3.55189,NA,NA,NA,NA,NA,NA,42.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5642,4.6094,5,4.59585,NA,NA,NA,NA,NA,NA,406.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5848,5,5,5,NA,NA,NA,NA,NA,NA,2480.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6046,5,5,5,NA,NA,NA,NA,NA,1496.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6241,4.50178,5,4.16555,NA,NA,NA,NA,NA,61.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6474,5,3.83232,5,NA,NA,NA,NA,NA,872.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6746,5,4.96224,5,NA,NA,NA,NA,NA,2947.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6911,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7020,5,5,4.39596,NA,NA,NA,NA,NA,NA,NA,621.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7229,5,5,4.88549,NA,NA,NA,NA,NA,3446.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7446,5,5,3.77373,NA,NA,NA,NA,NA,950.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7667,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7874,4.00364,5,5,NA,NA,NA,NA,NA,-104.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8226,5,4.69892,4.76913,NA,NA,NA,NA,NA,2953.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8472,4.6378,4.96006,5,NA,NA,NA,NA,NA,1966.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8757,5,4.55433,4.61094,NA,NA,NA,NA,NA,293.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8842,4.91132,4.5054,4.52558,NA,NA,NA,NA,NA,-6.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9141,4.59827,3.92029,4.21257,NA,NA,NA,NA,NA,NA,NA,60.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9309,5,5,5,NA,NA,NA,NA,NA,2593.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9454,4.78698,4.88249,5,NA,NA,NA,NA,NA,4238.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9609,4.61651,5,5,NA,NA,NA,NA,NA,1412.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9822,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10093,4.76953,3.46656,4.38384,NA,NA,NA,NA,NA,NA,145.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10340,4.75667,3.91514,5,NA,NA,NA,NA,NA,291.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10550,5,4.52591,4.89052,NA,NA,NA,NA,NA,243.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10671,5,5,5,NA,NA,NA,NA,NA,2185.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10836,5,5,5,NA,NA,NA,NA,NA,2559.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11057,4.63669,5,5,NA,NA,NA,NA,NA,1682.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11321,5,5,4.85984,NA,NA,NA,NA,NA,3411.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
