id,x0,x1,x2,fitness8,fitness7,fitness8.5,fitness6.5,fitness7.5,fitness9,fitness9.5
12,8.28698,7.0947,6.80097,0.684,NA,NA,NA,NA,NA,NA
247,8.94185,7.43192,7.27819,0.663,NA,NA,NA,NA,NA,NA
563,8.11439,7.65262,7.74137,NA,0.849,NA,NA,NA,NA,NA
768,8.1186,7.95352,7.90123,NA,NA,0.879,NA,NA,NA,NA
894,8.08636,7.75803,7.9918,NA,NA,0.851,NA,NA,NA,NA
1082,7.37794,7.94595,7.77101,NA,NA,NA,0.754,NA,NA,NA
1289,8.35309,8.47978,7.30563,NA,NA,NA,NA,0.74,NA,NA
1475,8.40136,8.07603,7.47058,0.869,NA,NA,NA,NA,NA,NA
1798,7.75677,8.36404,7.0906,0.817,NA,NA,NA,NA,NA,NA
1916,7.94798,7.24615,7.71346,NA,NA,NA,NA,0.912,NA,NA
2196,8.87255,7.76809,7.99399,NA,NA,NA,NA,0.773,NA,NA
2320,8.31092,8.01072,7.00114,NA,0.75,NA,NA,NA,NA,NA
2527,8.13514,8.04075,7.69021,NA,NA,NA,NA,NA,0.764,NA
2653,8.18557,7.51014,7.77018,0.913,NA,NA,NA,NA,NA,NA
2807,6.94594,7.47896,8.30964,0.749,NA,NA,NA,NA,NA,NA
3155,7.70773,7.93748,8.0999,0.955,NA,NA,NA,NA,NA,NA
3217,7.95343,7.13767,7.79498,0.893,NA,NA,NA,NA,NA,NA
3599,7.7947,7.83371,7.0977,NA,NA,NA,NA,0.915,NA,NA
3667,7.7309,8.43806,8.10501,NA,NA,NA,NA,0.857,NA,NA
3993,7.86347,7.62314,7.82965,NA,NA,NA,NA,0.981,NA,NA
4110,7.10719,7.66757,7.46803,0.901,NA,NA,NA,NA,NA,NA
4220,7.31102,7.41344,7.60001,NA,0.88,NA,NA,NA,NA,NA
4454,7.82245,8.30072,7.87733,NA,NA,NA,NA,0.896,NA,NA
4745,7.6191,7.39627,7.61455,NA,NA,NA,NA,0.967,NA,NA
4806,7.71574,6.72507,7.52157,NA,NA,NA,NA,0.785,NA,NA
5178,7.83407,7.93254,7.32399,NA,0.854,NA,NA,NA,NA,NA
5320,7.07928,8.2177,7.22774,0.801,NA,NA,NA,NA,NA,NA
5523,7.67904,7.91718,7.53182,NA,NA,0.886,NA,NA,NA,NA
5659,8.26694,7.81863,8.32176,NA,NA,0.786,NA,NA,NA,NA
5842,7.6992,7.544,8.41895,0.851,NA,NA,NA,NA,NA,NA
6126,8.24958,8.41158,7.70759,NA,NA,0.762,NA,NA,NA,NA
6281,7.70136,6.8873,7.64646,0.813,NA,NA,NA,NA,NA,NA
6403,8.22282,7.74373,8.63078,NA,NA,NA,NA,0.804,NA,NA
6630,7.16649,7.35911,8.50771,0.795,NA,NA,NA,NA,NA,NA
6889,7.45712,7.83491,8.20296,0.934,NA,NA,NA,NA,NA,NA
7173,7.3066,8.23065,7.81827,NA,NA,0.83,NA,NA,NA,NA
7254,8.07413,7.94927,7.97523,NA,NA,0.872,NA,NA,NA,NA
7551,8.09569,7.29511,7.92504,NA,NA,NA,NA,NA,0.743,NA
7694,8.10088,8.0515,8.67535,NA,NA,0.694,NA,NA,NA,NA
7877,8.03398,7.52511,7.51403,NA,NA,0.892,NA,NA,NA,NA
8162,8.01334,8.35736,6.80584,NA,NA,0.658,NA,NA,NA,NA
8255,7.55429,7.77501,7.21404,0.941,NA,NA,NA,NA,NA,NA
8509,6.89893,7.88499,7.20001,NA,NA,NA,NA,0.8,NA,NA
8760,7.15563,7.86318,7.76076,NA,NA,NA,NA,0.916,NA,NA
8919,7.65641,8.56747,8.54004,NA,0.659,NA,NA,NA,NA,NA
9124,7.9227,8.89852,7.56154,0.756,NA,NA,NA,NA,NA,NA
9381,7.80031,7.65772,6.84651,0.837,NA,NA,NA,NA,NA,NA
9469,6.99657,8.36123,7.87357,0.8,NA,NA,NA,NA,NA,NA
9714,7.97848,7.1639,7.72882,NA,NA,NA,NA,0.897,NA,NA
9903,8.39164,8.38166,7.8232,NA,0.739,NA,NA,NA,NA,NA
10039,7.78868,8.24484,8.34391,NA,NA,NA,NA,0.831,NA,NA
10332,7.63265,8.69376,7.91803,NA,NA,NA,NA,0.826,NA,NA
10524,7.52608,8.28474,7.32089,0.875,NA,NA,NA,NA,NA,NA
10641,7.92165,6.7019,7.447,NA,0.689,NA,NA,NA,NA,NA
10844,7.91154,7.46551,7.632,NA,NA,NA,NA,0.977,NA,NA
11134,8.33522,7.45592,7.65038,NA,NA,NA,NA,0.889,NA,NA
11250,7.91472,6.81246,7.04534,NA,NA,0.668,NA,NA,NA,NA
11482,7.79283,7.36605,7.59069,0.933,NA,NA,NA,NA,NA,NA
11728,7.42577,7.68842,8.36327,NA,NA,0.813,NA,NA,NA,NA
11998,7.89334,8.4383,7.94794,NA,0.74,NA,NA,NA,NA,NA
12177,8.14485,7.43148,7.77728,NA,NA,NA,NA,0.945,NA,NA
12367,8.0761,7.71416,7.16443,NA,NA,NA,NA,0.909,NA,NA
12453,7.06442,7.71992,8.20092,NA,NA,NA,NA,0.851,NA,NA
12721,7.46586,7.76399,8.48472,NA,NA,NA,NA,0.871,NA,NA
12826,8.25439,7.99366,8.22979,0.865,NA,NA,NA,NA,NA,NA
13016,8.18273,7.09828,8.30869,NA,NA,NA,NA,0.804,NA,NA
13253,8.43023,8.2387,8.06515,0.82,NA,NA,NA,NA,NA,NA
13526,7.40994,6.89641,7.49846,0.799,NA,NA,NA,NA,NA,NA
13783,7.10415,7.85737,7.8964,0.904,NA,NA,NA,NA,NA,NA
13803,8.0981,7.62108,7.63223,0.961,NA,NA,NA,NA,NA,NA
14051,7.86004,7.70435,7.73197,NA,NA,NA,NA,0.995,NA,NA
14201,8.20898,8.04041,7.15826,NA,0.763,NA,NA,NA,NA,NA
14545,8.58716,7.56092,7.91649,0.85,NA,NA,NA,NA,NA,NA
14652,8.25858,7.33009,8.34866,0.819,NA,NA,NA,NA,NA,NA
14861,7.61777,8.28484,8.26102,NA,0.751,NA,NA,NA,NA,NA
15094,7.30413,7.68811,7.48555,NA,0.772,NA,NA,NA,NA,NA
15324,7.4962,7.16962,7.57303,NA,0.84,NA,NA,NA,NA,NA
15502,7.32314,8.14783,7.98064,NA,NA,NA,NA,0.915,NA,NA
15800,7.45653,7.69851,8.13366,NA,NA,NA,NA,0.948,NA,NA
15937,7.5594,7.65285,6.99671,0.859,NA,NA,NA,NA,NA,NA
16054,7.1147,7.73349,7.48769,NA,NA,0.837,NA,NA,NA,NA
16268,7.52377,7.54366,8.05084,NA,NA,NA,NA,0.954,NA,NA
16457,8.73568,7.61935,8.58919,NA,NA,0.536,NA,NA,NA,NA
16669,8.67495,7.37058,7.91906,0.806,NA,NA,NA,NA,NA,NA
16981,7.50077,8.0926,8.49966,0.846,NA,NA,NA,NA,NA,NA
17051,7.82677,7.7792,8.93374,NA,NA,NA,NA,0.74,NA,NA
17350,8.39334,7.71113,7.91447,NA,0.773,NA,NA,NA,NA,NA
17528,7.77004,7.36672,7.94992,0.961,NA,NA,NA,NA,NA,NA
17791,7.32195,7.67975,7.51524,NA,NA,NA,NA,0.96,NA,NA
17984,7.60106,8.82224,7.95487,NA,NA,0.732,NA,NA,NA,NA
18042,8.40063,7.60037,8.17663,NA,NA,NA,NA,0.868,NA,NA
18312,7.65949,8.52511,8.32421,0.811,NA,NA,NA,NA,NA,NA
18577,7.45594,8.04378,8.81759,0.768,NA,NA,NA,NA,NA,NA
18726,7.62144,7.42329,8.02182,NA,NA,NA,NA,0.918,NA,NA
18887,8.28693,7.30384,7.56255,0.89,NA,NA,NA,NA,NA,NA
19117,7.8199,7.02266,7.53254,NA,NA,NA,NA,0.886,NA,NA
19277,7.93706,7.96206,7.80107,NA,0.88,NA,NA,NA,NA,NA
19593,8.5168,8.38892,7.62879,NA,0.662,NA,NA,NA,NA,NA
19645,8.23112,6.5966,8.32216,NA,NA,NA,NA,0.595,NA,NA
19959,8.55095,7.5949,7.51793,0.858,NA,NA,NA,NA,NA,NA
20108,7.05117,7.17248,7.8662,NA,NA,0.777,NA,NA,NA,NA
20397,7.30844,7.88823,7.51282,0.942,NA,NA,NA,NA,NA,NA
20581,6.94811,7.45513,7.38892,0.793,NA,NA,NA,NA,NA,NA
20742,7.66301,8.1749,7.14763,NA,NA,NA,NA,0.88,NA,NA
20905,7.91924,7.45633,7.91848,0.943,NA,NA,NA,NA,NA,NA
21008,8.54107,8.39761,8.06933,0.718,NA,NA,NA,NA,NA,NA
21317,7.4678,6.97789,8.08617,0.844,NA,NA,NA,NA,NA,NA
21479,8.26054,7.95481,7.76271,0.912,NA,NA,NA,NA,NA,NA
21795,7.64041,8.1098,7.08371,NA,0.798,NA,NA,NA,NA,NA
21918,7.66869,7.50222,7.13143,NA,0.753,NA,NA,NA,NA,NA
22031,8.1744,7.78734,7.77514,NA,NA,NA,0.755,NA,NA,NA
22222,7.57363,8.34314,8.95589,NA,NA,NA,NA,0.688,NA,NA
22476,7.35425,7.85869,8.44222,NA,NA,NA,NA,0.871,NA,NA
22738,7.56553,7.74087,7.84309,NA,NA,NA,NA,0.992,NA,NA
22899,8.10238,7.71836,7.85094,NA,0.845,NA,NA,NA,NA,NA
23173,7.88542,8.08832,7.23937,NA,NA,NA,NA,0.917,NA,NA
23363,7.30328,7.71897,7.21685,NA,NA,0.83,NA,NA,NA,NA
23502,8.17101,8.30197,8.18761,NA,NA,NA,NA,0.834,NA,NA
23620,7.94606,7.92958,8.57629,NA,NA,NA,NA,0.845,NA,NA
23870,8.49455,7.79157,7.37794,0.865,NA,NA,NA,NA,NA,NA
24180,7.67272,8.07825,7.32238,NA,NA,NA,NA,0.94,NA,NA
24385,7.47545,7.99541,7.78097,NA,NA,NA,NA,0.965,NA,NA
24506,7.62731,6.94747,8.54533,NA,NA,NA,NA,0.754,NA,NA
24740,7.86621,8.01911,8.62212,NA,NA,NA,NA,0.812,NA,NA
24892,7.88316,7.8623,8.27574,NA,NA,0.858,NA,NA,NA,NA
25074,8.36008,8.49067,7.75008,0.793,NA,NA,NA,NA,NA,NA
25285,8.39945,7.57966,8.18869,NA,NA,0.774,NA,NA,NA,NA
25517,8.56338,7.58186,7.36473,0.827,NA,NA,NA,NA,NA,NA
25771,7.53541,7.46475,7.42219,0.919,NA,NA,NA,NA,NA,NA
25893,7.76972,7.61278,7.32462,NA,NA,NA,NA,0.926,NA,NA
26050,7.71428,7.26994,7.28855,NA,NA,0.844,NA,NA,NA,NA
26358,7.65381,7.48518,7.26454,NA,NA,NA,NA,0.947,NA,NA
26507,6.80257,7.64554,7.25826,NA,NA,NA,NA,0.785,NA,NA
26668,7.94728,7.83657,7.57984,NA,NA,0.919,NA,NA,NA,NA
26842,8.45211,8.26222,8.09053,0.786,NA,NA,NA,NA,NA,NA
27166,7.9271,8.22049,7.15642,NA,NA,NA,NA,0.856,NA,NA
27310,7.41639,6.98316,8.12389,NA,NA,NA,NA,0.831,NA,NA
27500,8.07667,7.73619,7.90911,0.917,NA,NA,NA,NA,NA,NA
27704,7.90074,7.96267,6.91434,0.845,NA,NA,NA,NA,NA,NA
27967,7.36661,7.83348,6.97798,NA,NA,NA,NA,0.836,NA,NA
28129,7.29549,6.97736,7.38003,NA,NA,NA,NA,0.814,NA,NA
28377,8.09977,7.37868,8.08182,NA,NA,0.86,NA,NA,NA,NA
28510,7.22562,8.38927,8.32474,NA,NA,NA,NA,0.756,NA,NA
28693,7.37712,8.66362,8.01771,0.774,NA,NA,NA,NA,NA,NA
28866,7.68038,7.66739,8.21284,NA,NA,0.824,NA,NA,NA,NA
29161,7.67214,7.55062,8.23289,NA,NA,NA,NA,0.933,NA,NA
29380,7.8807,7.80433,8.10511,NA,NA,NA,NA,0.96,NA,NA
29594,8.05191,7.88154,7.81447,NA,NA,0.816,NA,NA,NA,NA
29628,7.90523,7.7838,8.45401,NA,NA,NA,NA,0.891,NA,NA
29935,7.91484,8.13287,8.0072,NA,NA,NA,NA,0.911,NA,NA
30102,8.01512,7.2235,7.5954,NA,NA,NA,NA,0.913,NA,NA
30352,7.40024,7.50957,7.38455,NA,NA,NA,NA,0.949,NA,NA
30422,8.43227,8.16104,7.4601,0.801,NA,NA,NA,NA,NA,NA
30769,7.76752,7.07885,7.48225,0.867,NA,NA,NA,NA,NA,NA
30875,8.40484,7.3954,7.46032,NA,0.823,NA,NA,NA,NA,NA
31062,6.985,7.87464,7.06289,NA,NA,NA,NA,0.751,NA,NA
31370,7.16129,7.20297,7.98505,NA,NA,NA,NA,0.828,NA,NA
31531,7.65109,6.63332,7.72783,0.732,NA,NA,NA,NA,NA,NA
