id,x0,x1,x2,fitness8,fitness7.5,fitness7,fitness9.5,fitness8.5,fitness9,fitness6.5,fitness6,fitness10
12,8.28698,7.0947,6.80097,0.684,NA,NA,NA,NA,NA,NA,NA,NA
218,7.70248,6.70685,5.57756,NA,0.296,NA,NA,NA,NA,NA,NA,NA
495,7.84033,7.44735,5.96082,NA,0.497,NA,NA,NA,NA,NA,NA,NA
797,6.50586,6.63704,8.09149,0.459,NA,NA,NA,NA,NA,NA,NA,NA
914,6.9953,7.02414,7.51121,NA,NA,0.646,NA,NA,NA,NA,NA,NA
1176,8.20802,7.39822,8.2833,NA,NA,0.72,NA,NA,NA,NA,NA,NA
1333,8.0366,8.51655,7.36613,NA,NA,0.704,NA,NA,NA,NA,NA,NA
1545,7.56464,8.63797,8.39887,0.758,NA,NA,NA,NA,NA,NA,NA,NA
1604,6.98466,8.37787,7.36294,NA,0.781,NA,NA,NA,NA,NA,NA,NA
1952,7.77991,8.59617,7.5216,NA,NA,NA,0.539,NA,NA,NA,NA,NA
2188,8.29336,7.6733,7.71846,NA,NA,NA,NA,0.774,NA,NA,NA,NA
2303,8.34407,7.50452,7.83759,NA,0.913,NA,NA,NA,NA,NA,NA,NA
2568,9.24886,8.25898,8.90088,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2608,7.82828,7.88594,7.29141,NA,NA,0.857,NA,NA,NA,NA,NA,NA
2851,8.03467,7.61325,8.01868,NA,0.928,NA,NA,NA,NA,NA,NA,NA
3177,7.63452,9.22632,7.06671,NA,0.601,NA,NA,NA,NA,NA,NA,NA
3390,8.00772,9.62781,7.87142,NA,0.574,NA,NA,NA,NA,NA,NA,NA
3481,6.92159,7.97168,8.02118,0.798,NA,NA,NA,NA,NA,NA,NA,NA
3612,7.38692,8.17523,7.0633,NA,0.845,NA,NA,NA,NA,NA,NA,NA
3811,6.71297,7.55812,8.10267,0.76,NA,NA,NA,NA,NA,NA,NA,NA
4076,7.87088,6.93587,7.20781,NA,NA,0.7,NA,NA,NA,NA,NA,NA
4343,7.30811,7.45986,7.88302,NA,0.913,NA,NA,NA,NA,NA,NA,NA
4561,7.36313,7.27189,8.11565,NA,0.87,NA,NA,NA,NA,NA,NA,NA
4779,7.94208,8.15154,6.84282,0.745,NA,NA,NA,NA,NA,NA,NA,NA
4812,8.6683,8.03389,7.68398,0.824,NA,NA,NA,NA,NA,NA,NA,NA
5085,7.072,8.19619,8.11919,NA,0.828,NA,NA,NA,NA,NA,NA,NA
5361,7.82118,7.63132,7.97099,NA,0.969,NA,NA,NA,NA,NA,NA,NA
5427,7.59984,9.10808,7.79074,NA,0.721,NA,NA,NA,NA,NA,NA,NA
5726,8.71344,8.31053,7.50194,0.75,NA,NA,NA,NA,NA,NA,NA,NA
5892,6.93931,8.04525,7.69516,0.847,NA,NA,NA,NA,NA,NA,NA,NA
6034,7.72395,7.99088,7.51424,NA,NA,NA,NA,0.835,NA,NA,NA,NA
6393,8.59496,8.39463,7.56649,NA,NA,NA,NA,0.697,NA,NA,NA,NA
6468,7.11652,7.47035,7.43191,NA,NA,NA,NA,0.824,NA,NA,NA,NA
6794,7.91274,7.34457,7.50912,0.947,NA,NA,NA,NA,NA,NA,NA,NA
6879,8.09988,7.03346,7.46568,NA,NA,0.72,NA,NA,NA,NA,NA,NA
7188,7.84787,7.7371,7.83071,NA,NA,NA,NA,0.93,NA,NA,NA,NA
7319,8.18586,7.14959,8.17682,NA,NA,NA,NA,0.787,NA,NA,NA,NA
7521,9.07126,7.21965,8.12749,0.635,NA,NA,NA,NA,NA,NA,NA,NA
7696,8.40921,8.28173,7.46461,NA,NA,0.764,NA,NA,NA,NA,NA,NA
7922,7.18574,7.031,7.76619,0.842,NA,NA,NA,NA,NA,NA,NA,NA
8145,7.38925,7.67674,7.99604,NA,NA,0.809,NA,NA,NA,NA,NA,NA
8298,7.82165,7.23333,7.73626,0.947,NA,NA,NA,NA,NA,NA,NA,NA
8569,7.60799,8.42633,7.31277,NA,NA,0.801,NA,NA,NA,NA,NA,NA
8628,7.104,6.55125,7.76874,NA,0.65,NA,NA,NA,NA,NA,NA,NA
8947,6.75581,7.40984,6.68307,NA,NA,0.429,NA,NA,NA,NA,NA,NA
9088,7.09972,8.53774,7.40248,0.78,NA,NA,NA,NA,NA,NA,NA,NA
