id,x0,x1,x2,fitness-1,fitness-2.5,fitness-3,fitness-2,fitness-4,fitness-3.5,fitness-1.5,fitness0.5
48,1.67949,2.00238,-4.95526,-78.175,NA,NA,NA,NA,NA,NA,NA
278,2.50496,1.47581,-4.8604,-87.298,NA,NA,NA,NA,NA,NA,NA
415,2.75267,1.28057,-4.95349,NA,-40.515,NA,NA,NA,NA,NA,NA
791,2.14382,1.99945,-5,NA,-20.18,NA,NA,NA,NA,NA,NA
974,1.75342,2.24443,-5,NA,NA,-28.523,NA,NA,NA,NA,NA
1132,2.42359,1.62066,-5,NA,-24.245,NA,NA,NA,NA,NA,NA
1216,1.53448,1.41896,-4.28681,NA,-4.351,NA,NA,NA,NA,NA,NA
1435,2.68489,2.16185,-5,NA,NA,NA,-43.447,NA,NA,NA,NA
1724,2.06059,1.44722,-4.78147,NA,NA,NA,-14.926,NA,NA,NA,NA
1893,1.32625,1.48939,-4.1737,NA,-8.713,NA,NA,NA,NA,NA,NA
2199,1.03988,2.16502,-5,NA,-32.642,NA,NA,NA,NA,NA,NA
2324,1.39422,2.14309,-4.72659,NA,NA,-18.126,NA,NA,NA,NA,NA
2462,2.39926,1.28826,-4.49374,NA,-18.86,NA,NA,NA,NA,NA,NA
2778,2.73989,1.25378,-4.22819,NA,NA,NA,-34.881,NA,NA,NA,NA
2959,2.02164,1.11973,-5,NA,NA,-37.146,NA,NA,NA,NA,NA
3143,1.24728,1.62399,-4.50728,NA,NA,-21.678,NA,NA,NA,NA,NA
3318,1.82698,1.5753,-5,NA,NA,-18.775,NA,NA,NA,NA,NA
3473,2.56307,1.53057,-4.86504,NA,-25.692,NA,NA,NA,NA,NA,NA
3618,1.75325,2.35643,-4.37646,NA,-14.439,NA,NA,NA,NA,NA,NA
3926,2.41012,2.46087,-5,NA,-36.808,NA,NA,NA,NA,NA,NA
4093,2.19129,1.96037,-5,NA,NA,-23.223,NA,NA,NA,NA,NA
4309,2.18894,1.64442,-4.57408,NA,NA,NA,-9.399,NA,NA,NA,NA
4417,2.00869,1.86592,-5,NA,-16.141,NA,NA,NA,NA,NA,NA
4708,1.47511,1.25588,-5,NA,NA,NA,-29.725,NA,NA,NA,NA
4919,2.00694,2.18916,-5,NA,-21.224,NA,NA,NA,NA,NA,NA
5067,2.13054,1.7185,-5,NA,-16.803,NA,NA,NA,NA,NA,NA
5265,1.71477,1.83738,-5,NA,-15.133,NA,NA,NA,NA,NA,NA
5484,1.28401,1.12974,-4.62176,NA,-23.851,NA,NA,NA,NA,NA,NA
5694,2.16258,1.16585,-4.70489,NA,NA,NA,-21.163,NA,NA,NA,NA
5884,2.16093,2.06713,-4.18295,NA,-11.395,NA,NA,NA,NA,NA,NA
6140,1.65249,0.915321,-4.91926,NA,-40.628,NA,NA,NA,NA,NA,NA
6358,1.84969,1.4581,-4.1964,NA,NA,NA,-3.858,NA,NA,NA,NA
6533,1.49282,1.80355,-5,NA,-18.894,NA,NA,NA,NA,NA,NA
6676,1.59128,1.85311,-4.66166,NA,NA,NA,-12.162,NA,NA,NA,NA
6850,1.453,1.91364,-4.67177,NA,NA,-14.257,NA,NA,NA,NA,NA
