id,x0,x1,x2,fitness-1,fitness-0.5,fitness-2,fitness-3,fitness-2.5,fitness-3.5,fitness-4,fitness-1.5,fitness-4.5,fitness-5,fitness0
48,1.67949,2.00238,-4.95526,-78.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,2.36424,1.19158,-5,NA,-126.232,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,2.89748,1.78415,-3.98264,NA,NA,-43.495,NA,NA,NA,NA,NA,NA,NA,NA
763,1.59852,1.32841,-4.13509,NA,NA,NA,-7.431,NA,NA,NA,NA,NA,NA,NA
801,1.31053,0.9013,-4.80898,NA,NA,NA,NA,-44.434,NA,NA,NA,NA,NA,NA
1179,2.04102,0.731187,-5,NA,NA,NA,-56.037,NA,NA,NA,NA,NA,NA,NA
1269,1.83048,1.59273,-4.14601,NA,NA,NA,NA,NA,-23.752,NA,NA,NA,NA,NA
1405,2.45395,2.3223,-3.85116,NA,NA,NA,NA,NA,NA,-65.603,NA,NA,NA,NA
1790,2.06617,1.97921,-2.98997,NA,NA,NA,NA,-54.965,NA,NA,NA,NA,NA,NA
1832,2.29214,2.3529,-3.90326,NA,NA,NA,-26.904,NA,NA,NA,NA,NA,NA,NA
2044,1.75685,2.39562,-2.88076,NA,NA,NA,NA,-69.773,NA,NA,NA,NA,NA,NA
2342,1.43113,1.38786,-3.49759,NA,NA,NA,NA,NA,NA,NA,-55.461,NA,NA,NA
2561,2.60738,2.60157,-3.47315,NA,NA,-65.248,NA,NA,NA,NA,NA,NA,NA,NA
2721,2.72467,1.97383,-4.66084,NA,NA,NA,NA,-28.215,NA,NA,NA,NA,NA,NA
2815,2.32067,0.920185,-4.94854,NA,NA,NA,-51.079,NA,NA,NA,NA,NA,NA,NA
3135,1.99951,0.692587,-4.91703,NA,NA,NA,NA,-56.044,NA,NA,NA,NA,NA,NA
3303,2.23021,2.21918,-5,NA,NA,NA,-32.925,NA,NA,NA,NA,NA,NA,NA
3519,2.23071,1.98972,-5,NA,NA,NA,NA,-20.624,NA,NA,NA,NA,NA,NA
3796,2.12019,0.466314,-4.3504,NA,NA,NA,-71.156,NA,NA,NA,NA,NA,NA,NA
3981,1.85535,0.651281,-5,NA,NA,NA,NA,-67.131,NA,NA,NA,NA,NA,NA
4111,2.16118,1.59183,-5,NA,NA,NA,NA,-17.951,NA,NA,NA,NA,NA,NA
4314,1.54353,1.17905,-5,NA,NA,NA,NA,NA,-55.504,NA,NA,NA,NA,NA
4499,1.65322,1.90975,-4.32589,NA,NA,NA,NA,NA,-32.47,NA,NA,NA,NA,NA
4681,1.54289,2.79421,-3.82848,NA,NA,NA,NA,NA,-66.393,NA,NA,NA,NA,NA
4863,2.46334,2.22933,-4.19102,NA,NA,NA,NA,NA,NA,-79.073,NA,NA,NA,NA
5094,1.74062,2.07605,-5,NA,NA,NA,NA,-18.144,NA,NA,NA,NA,NA,NA
5350,1.65776,1.8269,-4.49574,NA,NA,NA,NA,NA,NA,NA,-39.508,NA,NA,NA
5583,1.6417,1.88967,-5,NA,NA,NA,NA,-15.933,NA,NA,NA,NA,NA,NA
5658,1.96467,1.98354,-5,NA,NA,NA,NA,-17.639,NA,NA,NA,NA,NA,NA
5969,0.504278,1.63606,-4.86095,NA,NA,-63.803,NA,NA,NA,NA,NA,NA,NA,NA
6070,2.24608,1.82284,-5,NA,NA,-21.16,NA,NA,NA,NA,NA,NA,NA,NA
6228,2.35744,1.9546,-5,NA,NA,NA,-27.055,NA,NA,NA,NA,NA,NA,NA
6590,1.97734,1.8146,-5,NA,NA,NA,NA,NA,-31.441,NA,NA,NA,NA,NA
6699,0.921533,1.97898,-5,NA,NA,NA,-42.492,NA,NA,NA,NA,NA,NA,NA
6913,1.40328,1.61814,-4.71157,NA,NA,-13.908,NA,NA,NA,NA,NA,NA,NA,NA
7194,1.62773,1.83059,-5,NA,NA,NA,NA,-15.755,NA,NA,NA,NA,NA,NA
7236,2.26081,1.62267,-5,NA,NA,-21.704,NA,NA,NA,NA,NA,NA,NA,NA
7541,1.44386,2.28983,-5,NA,NA,NA,-26.27,NA,NA,NA,NA,NA,NA,NA
7602,2.19049,3.58379,-5,NA,NA,NA,NA,NA,NA,NA,-114.567,NA,NA,NA
7935,0.777651,2.92512,-4.54236,NA,NA,NA,-60.637,NA,NA,NA,NA,NA,NA,NA
8087,1.34195,2.41884,-3.333,NA,NA,NA,NA,-45.383,NA,NA,NA,NA,NA,NA
8229,2.46861,2.52484,-4.22533,NA,NA,-39.342,NA,NA,NA,NA,NA,NA,NA,NA
8495,2.57646,2.42974,-4.92259,NA,NA,NA,NA,-37.577,NA,NA,NA,NA,NA,NA
