id,x0,x1,x2,fitness-2,fitness-3,fitness-3.5,fitness-2.5,fitness-1.5,fitness-4,fitness-4.5,fitness-1,fitness-0.5
132,-1.06828,3.92863,-4.65242,-282.007,NA,NA,NA,NA,NA,NA,NA,NA
312,0.686676,3.71306,-5,NA,-125.493,NA,NA,NA,NA,NA,NA,NA
518,0.713538,3.23155,-4.97607,NA,NA,-98.945,NA,NA,NA,NA,NA,NA
776,0.629011,2.54322,-5,NA,-64.252,NA,NA,NA,NA,NA,NA,NA
952,1.34391,1.18218,-4.4825,NA,NA,NA,-17.44,NA,NA,NA,NA,NA
1155,1.45555,2.3519,-4.38112,NA,NA,NA,NA,-35.189,NA,NA,NA,NA
1222,1.66038,2.38544,-3.84803,-34.295,NA,NA,NA,NA,NA,NA,NA,NA
1446,1.63317,2.48409,-5,-31.268,NA,NA,NA,NA,NA,NA,NA,NA
1659,0.734632,2.58127,-5,NA,NA,NA,-55.34,NA,NA,NA,NA,NA
1819,0.9921,1.14827,-4.31039,NA,-36.908,NA,NA,NA,NA,NA,NA,NA
2044,1.56345,1.84879,-5,NA,NA,NA,-16.752,NA,NA,NA,NA,NA
2324,1.02724,2.47644,-4.35345,-35.142,NA,NA,NA,NA,NA,NA,NA,NA
2469,1.48854,2.03419,-4.53646,NA,-10.782,NA,NA,NA,NA,NA,NA,NA
2755,1.56277,1.48914,-5,NA,-24.879,NA,NA,NA,NA,NA,NA,NA
2874,1.32669,2.9026,-5,NA,NA,NA,-51.093,NA,NA,NA,NA,NA
3030,1.91057,1.84857,-5,NA,NA,NA,-15.56,NA,NA,NA,NA,NA
3312,2.66586,2.36272,-4.0823,-37.156,NA,NA,NA,NA,NA,NA,NA,NA
3576,1.56158,2.27073,-4.02323,NA,-25.149,NA,NA,NA,NA,NA,NA,NA
3752,1.66435,1.90883,-4.80723,NA,-14.089,NA,NA,NA,NA,NA,NA,NA
3813,2.20668,2.29461,-5,NA,NA,NA,-26.712,NA,NA,NA,NA,NA
4056,1.93791,1.30383,-3.98188,NA,NA,-24.664,NA,NA,NA,NA,NA,NA
4207,0.867145,1.55337,-5,NA,NA,NA,NA,NA,-78.753,NA,NA,NA
4554,1.22463,1.40592,-5,-36.885,NA,NA,NA,NA,NA,NA,NA,NA
4612,2.29612,2.28986,-3.97104,NA,NA,NA,-22.43,NA,NA,NA,NA,NA
4902,2.23337,2.14178,-4.30114,NA,NA,-42.043,NA,NA,NA,NA,NA,NA
5086,1.00021,1.49105,-4.26349,-25.572,NA,NA,NA,NA,NA,NA,NA,NA
5282,1.5139,2.09995,-5,NA,-21.876,NA,NA,NA,NA,NA,NA,NA
5422,2.12546,1.22181,-5,NA,NA,NA,-23.726,NA,NA,NA,NA,NA
5623,1.42687,1.09227,-5,NA,-37.848,NA,NA,NA,NA,NA,NA,NA
5929,1.96741,1.61616,-3.76683,NA,NA,NA,-12.494,NA,NA,NA,NA,NA
6081,1.39804,1.85028,-4.73602,NA,-22.084,NA,NA,NA,NA,NA,NA,NA
6213,2.45074,2.73555,-5,NA,-50.752,NA,NA,NA,NA,NA,NA,NA
6425,1.71221,2.4726,-5,NA,-30.879,NA,NA,NA,NA,NA,NA,NA
6636,1.89654,1.43012,-5,NA,NA,-33.904,NA,NA,NA,NA,NA,NA
6862,1.72517,2.56254,-4.85018,NA,NA,NA,-27.377,NA,NA,NA,NA,NA
7024,1.56867,1.75768,-4.39097,NA,NA,NA,-2.892,NA,NA,NA,NA,NA
7201,1.22379,2.1602,-3.29212,NA,NA,NA,-44.315,NA,NA,NA,NA,NA
7502,1.41556,2.28267,-4.9088,NA,NA,-49.694,NA,NA,NA,NA,NA,NA
7611,1.95627,1.66766,-5,NA,NA,-29.169,NA,NA,NA,NA,NA,NA
7850,2.41512,2.43193,-4.727,NA,-30.313,NA,NA,NA,NA,NA,NA,NA
8122,1.52756,2.16641,-4.2187,NA,NA,-35.348,NA,NA,NA,NA,NA,NA
8342,1.44075,1.75233,-5,-20.7,NA,NA,NA,NA,NA,NA,NA,NA
8514,3.09015,2.09396,-4.57322,NA,NA,NA,-46.44,NA,NA,NA,NA,NA
8771,2.28123,2.20137,-5,NA,-28.047,NA,NA,NA,NA,NA,NA,NA
8939,2.28054,2.45913,-5,NA,NA,-46.155,NA,NA,NA,NA,NA,NA
9071,1.69521,1.30663,-5,NA,NA,NA,NA,NA,-62.3,NA,NA,NA
9336,1.81529,3.04515,-5,NA,-60.825,NA,NA,NA,NA,NA,NA,NA
9570,2.2416,1.39775,-5,NA,-22.518,NA,NA,NA,NA,NA,NA,NA
9719,2.09301,1.54558,-4.13637,NA,-7.66,NA,NA,NA,NA,NA,NA,NA
9980,2.35737,2.61198,-5,NA,-43.56,NA,NA,NA,NA,NA,NA,NA
10032,1.86425,1.90647,-5,NA,NA,NA,NA,NA,-48.461,NA,NA,NA
10216,1.48103,2.05973,-5,NA,NA,NA,-20.262,NA,NA,NA,NA,NA
10492,2.27454,1.02385,-5,NA,-35.613,NA,NA,NA,NA,NA,NA,NA
10610,2.82535,1.57606,-3.82636,-38.542,NA,NA,NA,NA,NA,NA,NA,NA
10999,2.0743,2.05534,-4.52615,-14.059,NA,NA,NA,NA,NA,NA,NA,NA
11132,1.44167,2.08587,-4.58701,NA,NA,NA,-12.6,NA,NA,NA,NA,NA
11247,2.41143,0.966391,-5,NA,NA,NA,-45.287,NA,NA,NA,NA,NA
11442,2.74987,1.86332,-4.95001,-36.668,NA,NA,NA,NA,NA,NA,NA,NA
11620,2.41959,2.37638,-3.88944,NA,NA,NA,-30.251,NA,NA,NA,NA,NA
12000,2.19599,1.96556,-4.8318,NA,NA,NA,-16.029,NA,NA,NA,NA,NA
12186,1.55871,1.29571,-4.37236,NA,-12.06,NA,NA,NA,NA,NA,NA,NA
12297,1.5594,1.23507,-3.62086,NA,NA,-41.005,NA,NA,NA,NA,NA,NA
12486,2.36607,2.4279,-4.17994,NA,NA,NA,-25.708,NA,NA,NA,NA,NA
12655,0.978255,2.19364,-5,NA,NA,NA,-35.357,NA,NA,NA,NA,NA
12996,1.63375,1.34508,-5,NA,NA,NA,-21.02,NA,NA,NA,NA,NA
13057,1.48875,2.46538,-5,NA,NA,NA,-30.209,NA,NA,NA,NA,NA
13374,1.96098,1.62449,-4.42002,NA,NA,NA,-2.33,NA,NA,NA,NA,NA
13486,1.0891,3.14184,-5,NA,NA,NA,-69.393,NA,NA,NA,NA,NA
13693,1.32444,2.54265,-5,NA,NA,NA,-35.801,NA,NA,NA,NA,NA
13812,1.03136,2.79244,-4.08302,-47.286,NA,NA,NA,NA,NA,NA,NA,NA
14034,1.4228,1.92953,-4.34262,NA,NA,-34.171,NA,NA,NA,NA,NA,NA
14282,1.61113,1.30011,-5,NA,NA,-40.408,NA,NA,NA,NA,NA,NA
14406,1.79722,2.80475,-3.97638,NA,NA,-47.772,NA,NA,NA,NA,NA,NA
14613,1.2452,2.44126,-4.87605,NA,NA,NA,-29.722,NA,NA,NA,NA,NA
14909,1.73917,0.994721,-4.31756,NA,NA,NA,-20.155,NA,NA,NA,NA,NA
15162,2.19977,1.04956,-4.57834,-26.688,NA,NA,NA,NA,NA,NA,NA,NA
15323,1.7355,1.73131,-5,-19.965,NA,NA,NA,NA,NA,NA,NA,NA
15413,0.956161,2.36859,-5,-48.34,NA,NA,NA,NA,NA,NA,NA,NA
15709,1.98589,1.62216,-5,NA,NA,NA,NA,-33.579,NA,NA,NA,NA
15808,1.10666,2.10344,-5,NA,NA,NA,-29.429,NA,NA,NA,NA,NA
16083,1.89395,2.02565,-5,NA,NA,NA,-17.018,NA,NA,NA,NA,NA
16400,1.53159,2.11075,-4.74418,-17.844,NA,NA,NA,NA,NA,NA,NA,NA
16418,2.1161,1.75002,-5,NA,-19.012,NA,NA,NA,NA,NA,NA,NA
16626,2.15889,1.19129,-4.62003,NA,-27.306,NA,NA,NA,NA,NA,NA,NA
16857,1.18259,2.53061,-5,NA,-41.456,NA,NA,NA,NA,NA,NA,NA
17012,1.48533,2.32061,-4.52199,NA,NA,NA,-16.473,NA,NA,NA,NA,NA
17305,1.40154,1.80674,-5,NA,-20.179,NA,NA,NA,NA,NA,NA,NA
17547,2.52155,2.17064,-4.69585,NA,NA,NA,NA,-36.481,NA,NA,NA,NA
17730,2.21808,2.25152,-3.4522,-41.717,NA,NA,NA,NA,NA,NA,NA,NA
17850,1.72895,2.52441,-3.4532,NA,NA,NA,NA,-54.39,NA,NA,NA,NA
18052,1.18891,2.34189,-3.9076,NA,NA,-38.026,NA,NA,NA,NA,NA,NA
18394,2.16507,1.64731,-4.02121,NA,NA,-24.637,NA,NA,NA,NA,NA,NA
18444,2.77066,0.882178,-3.78843,NA,NA,NA,-58.522,NA,NA,NA,NA,NA
18634,2.19422,1.26276,-5,NA,NA,-36.549,NA,NA,NA,NA,NA,NA
18997,1.7407,0.887322,-4.54713,NA,-34.845,NA,NA,NA,NA,NA,NA,NA
19104,1.75309,1.25507,-5,NA,NA,-35.037,NA,NA,NA,NA,NA,NA
19229,1.49773,2.13206,-3.89239,NA,-23.453,NA,NA,NA,NA,NA,NA,NA
19514,2.36238,2.30989,-4.32275,NA,NA,-34.31,NA,NA,NA,NA,NA,NA
19789,2.77074,2.15066,-4.11874,NA,-40.288,NA,NA,NA,NA,NA,NA,NA
19878,2.65681,2.13575,-4.24647,NA,-35.891,NA,NA,NA,NA,NA,NA,NA
20097,1.44836,1.61304,-4.80013,NA,NA,NA,-12.863,NA,NA,NA,NA,NA
20219,1.81429,2.05331,-4.94768,-26.465,NA,NA,NA,NA,NA,NA,NA,NA
20408,2.76406,1.23397,-5,NA,NA,NA,-43.938,NA,NA,NA,NA,NA
20758,2.13461,1.81622,-4.64473,NA,-12.699,NA,NA,NA,NA,NA,NA,NA
20818,1.82673,2.28193,-5,-25.586,NA,NA,NA,NA,NA,NA,NA,NA
21070,2.21837,1.65268,-5,NA,-19.975,NA,NA,NA,NA,NA,NA,NA
21225,1.53799,1.74878,-5,NA,NA,NA,-17.34,NA,NA,NA,NA,NA
21446,1.79155,1.95615,-5,NA,-19.051,NA,NA,NA,NA,NA,NA,NA
21795,2.92746,1.01351,-4.1186,-56.955,NA,NA,NA,NA,NA,NA,NA,NA
21855,1.44033,1.81674,-5,-22.048,NA,NA,NA,NA,NA,NA,NA,NA
22039,2.80422,1.24292,-5,NA,NA,NA,-44.311,NA,NA,NA,NA,NA
22398,2.48128,1.53113,-5,NA,-30.563,NA,NA,NA,NA,NA,NA,NA
22439,2.08788,1.64002,-5,-22.206,NA,NA,NA,NA,NA,NA,NA,NA
22719,1.07428,2.88105,-4.21715,NA,NA,NA,-47.933,NA,NA,NA,NA,NA
22810,1.08642,2.13787,-4.87172,NA,-27.502,NA,NA,NA,NA,NA,NA,NA
23115,1.23192,1.75252,-5,-25.985,NA,NA,NA,NA,NA,NA,NA,NA
23232,1.62803,2.10092,-3.66416,-31.373,NA,NA,NA,NA,NA,NA,NA,NA
23509,3.02103,1.60393,-4.77594,NA,-43.213,NA,NA,NA,NA,NA,NA,NA
23678,2.41021,1.42356,-5,NA,-29.448,NA,NA,NA,NA,NA,NA,NA
23925,1.45833,1.48595,-5,NA,NA,-50.364,NA,NA,NA,NA,NA,NA
24110,1.74856,2.0455,-5,NA,NA,NA,-17.83,NA,NA,NA,NA,NA
24277,0.759802,2.56166,-5,NA,-54.386,NA,NA,NA,NA,NA,NA,NA
24524,2.30578,2.71045,-5,NA,-49.904,NA,NA,NA,NA,NA,NA,NA
24642,2.23901,2.85913,-5,NA,NA,-59.702,NA,NA,NA,NA,NA,NA
24812,2.00367,2.25357,-5,NA,NA,-47.033,NA,NA,NA,NA,NA,NA
25019,1.92296,3.09984,-4.54784,NA,-57.349,NA,NA,NA,NA,NA,NA,NA
25384,1.60116,2.44245,-5,-36.936,NA,NA,NA,NA,NA,NA,NA,NA
25443,1.53571,0.906445,-5,-50.617,NA,NA,NA,NA,NA,NA,NA,NA
25678,1.87648,1.56989,-4.41898,-4.31,NA,NA,NA,NA,NA,NA,NA,NA
25991,0.979727,1.99632,-5,NA,-37.492,NA,NA,NA,NA,NA,NA,NA
26138,1.68803,1.12346,-5,NA,NA,-56.989,NA,NA,NA,NA,NA,NA
26348,1.33057,1.05871,-5,NA,NA,NA,-39.531,NA,NA,NA,NA,NA
26577,1.46247,1.86243,-5,NA,NA,-46.014,NA,NA,NA,NA,NA,NA
26690,1.93443,1.43986,-5,NA,NA,NA,NA,NA,-55.743,NA,NA,NA
26932,1.43231,1.9822,-4.89823,NA,-20.154,NA,NA,NA,NA,NA,NA,NA
27049,2.68613,1.81128,-5,NA,NA,NA,-33.113,NA,NA,NA,NA,NA
27266,2.08473,1.81297,-5,NA,NA,NA,NA,-47.506,NA,NA,NA,NA
27449,1.7446,1.56489,-5,NA,NA,NA,NA,-38.802,NA,NA,NA,NA
27716,1.60964,1.50859,-4.07344,NA,-8.05,NA,NA,NA,NA,NA,NA,NA
27838,1.18948,2.31718,-4.64099,NA,NA,NA,-24.535,NA,NA,NA,NA,NA
28011,1.61393,1.50059,-4.02135,NA,-7.257,NA,NA,NA,NA,NA,NA,NA
28315,2.45186,1.55306,-3.92959,-23.481,NA,NA,NA,NA,NA,NA,NA,NA
28562,2.88526,1.18413,-4.90253,-48.837,NA,NA,NA,NA,NA,NA,NA,NA
28680,2.74186,2.16037,-5,NA,NA,NA,-39.532,NA,NA,NA,NA,NA
28804,1.7926,1.53058,-4.41971,-7.763,NA,NA,NA,NA,NA,NA,NA,NA
29026,2.24815,1.83473,-5,-31.002,NA,NA,NA,NA,NA,NA,NA,NA
29234,2.4206,2.27162,-4.82011,NA,NA,NA,-26.155,NA,NA,NA,NA,NA
29546,1.95067,1.69159,-4.67758,NA,NA,NA,NA,-20.898,NA,NA,NA,NA
29699,1.60671,1.54761,-5,NA,-20.036,NA,NA,NA,NA,NA,NA,NA
29996,2.13238,1.81469,-5,NA,NA,-49.162,NA,NA,NA,NA,NA,NA
30132,2.39816,1.61477,-4.87215,NA,NA,NA,-19.094,NA,NA,NA,NA,NA
30370,2.61352,0.582119,-5,NA,-81.373,NA,NA,NA,NA,NA,NA,NA
30427,2.15511,1.8303,-3.98472,NA,-11.453,NA,NA,NA,NA,NA,NA,NA
30722,1.3641,1.28994,-4.88425,-27.53,NA,NA,NA,NA,NA,NA,NA,NA
30833,1.74032,1.78199,-5,-22.569,NA,NA,NA,NA,NA,NA,NA,NA
31045,2.19099,1.99508,-5,NA,NA,NA,NA,-35.796,NA,NA,NA,NA
31247,2.37088,1.78338,-5,NA,NA,NA,-22.647,NA,NA,NA,NA,NA
31598,1.86808,1.69628,-5,NA,-18.783,NA,NA,NA,NA,NA,NA,NA
31769,1.45797,2.28776,-4.62974,NA,NA,-34.939,NA,NA,NA,NA,NA,NA
31864,2.2055,2.63576,-5,NA,-46.44,NA,NA,NA,NA,NA,NA,NA
32184,2.1575,1.39014,-3.40273,NA,-40.83,NA,NA,NA,NA,NA,NA,NA
32394,2.1263,1.95488,-4.66486,NA,-14.704,NA,NA,NA,NA,NA,NA,NA
32402,1.7671,1.89135,-4.27306,NA,-6.747,NA,NA,NA,NA,NA,NA,NA
32691,1.67847,1.65493,-4.71658,NA,-19.7,NA,NA,NA,NA,NA,NA,NA
32834,1.36105,2.55632,-4.84516,NA,-33.24,NA,NA,NA,NA,NA,NA,NA
33180,1.87162,2.23324,-5,NA,-22.533,NA,NA,NA,NA,NA,NA,NA
33358,1.42035,2.24423,-4.05487,-21.339,NA,NA,NA,NA,NA,NA,NA,NA
33578,1.9667,1.42036,-4.89327,NA,NA,NA,-14.719,NA,NA,NA,NA,NA
33720,1.79758,2.15899,-5,NA,NA,NA,-20.441,NA,NA,NA,NA,NA
33887,1.14048,2.01257,-4.61758,NA,NA,NA,-18.071,NA,NA,NA,NA,NA
34063,1.9579,2.10982,-4.54837,-13.718,NA,NA,NA,NA,NA,NA,NA,NA
34331,2.06681,0.896569,-4.73178,NA,NA,NA,-31.302,NA,NA,NA,NA,NA
34438,2.72295,1.93795,-4.58389,NA,-31.406,NA,NA,NA,NA,NA,NA,NA
34635,1.76908,2.65263,-5,NA,NA,NA,-34.725,NA,NA,NA,NA,NA
34803,1.87947,1.6028,-4.60468,NA,-5.807,NA,NA,NA,NA,NA,NA,NA
35126,1.85098,1.81742,-4.60138,NA,NA,NA,-5.068,NA,NA,NA,NA,NA
35286,0.762173,1.57564,-3.63181,NA,-50.679,NA,NA,NA,NA,NA,NA,NA
35407,0.933403,2.12806,-4.26134,-30.788,NA,NA,NA,NA,NA,NA,NA,NA
35688,1.32766,2.17843,-3.54874,NA,NA,NA,-30.281,NA,NA,NA,NA,NA
35926,1.48676,1.61529,-4.58361,-7.886,NA,NA,NA,NA,NA,NA,NA,NA
36159,1.61148,1.55292,-4.23572,NA,NA,-36.18,NA,NA,NA,NA,NA,NA
36240,2.07831,1.03802,-5,NA,NA,NA,-31.862,NA,NA,NA,NA,NA
36438,1.4459,1.03355,-5,-41.862,NA,NA,NA,NA,NA,NA,NA,NA
36745,1.93214,1.43012,-5,NA,-21.224,NA,NA,NA,NA,NA,NA,NA
36895,2.40148,1.53582,-5,NA,-25.05,NA,NA,NA,NA,NA,NA,NA
37115,2.57663,2.01775,-3.6097,-44.69,NA,NA,NA,NA,NA,NA,NA,NA
37347,2.49304,2.10852,-4.34844,NA,NA,NA,-19.728,NA,NA,NA,NA,NA
37572,1.83179,2.35242,-4.40064,-19.864,NA,NA,NA,NA,NA,NA,NA,NA
37639,1.97342,1.43056,-4.34575,NA,NA,NA,NA,-21.535,NA,NA,NA,NA
37896,2.24382,1.89296,-5,-21.793,NA,NA,NA,NA,NA,NA,NA,NA
38166,2.08727,2.30105,-3.89828,NA,-25.11,NA,NA,NA,NA,NA,NA,NA
38392,1.55803,2.45532,-4.50531,-22.878,NA,NA,NA,NA,NA,NA,NA,NA
38500,1.65691,2.02387,-5,-24.397,NA,NA,NA,NA,NA,NA,NA,NA
38790,2.69356,1.99906,-4.4446,-28.936,NA,NA,NA,NA,NA,NA,NA,NA
38997,2.00291,1.2345,-4.99669,NA,-24.862,NA,NA,NA,NA,NA,NA,NA
39010,1.33879,1.60313,-5,NA,-22.819,NA,NA,NA,NA,NA,NA,NA
39274,1.61695,2.0666,-5,-20.319,NA,NA,NA,NA,NA,NA,NA,NA
39450,1.32897,2.54118,-4.47774,NA,NA,NA,-26.432,NA,NA,NA,NA,NA
39607,2.03123,2.12967,-5,NA,-26.491,NA,NA,NA,NA,NA,NA,NA
39986,2.3713,2.12733,-5,NA,NA,NA,-26.619,NA,NA,NA,NA,NA
40114,1.6117,1.89085,-5,NA,NA,NA,-16.596,NA,NA,NA,NA,NA
40273,1.90016,2.28614,-4.55278,NA,-22.325,NA,NA,NA,NA,NA,NA,NA
40496,2.4251,1.35066,-4.5282,NA,NA,NA,-16.773,NA,NA,NA,NA,NA
40752,1.33295,2.08837,-4.92183,NA,NA,NA,-20.316,NA,NA,NA,NA,NA
40852,1.61193,1.01156,-4.60963,-25.582,NA,NA,NA,NA,NA,NA,NA,NA
41009,1.20572,1.0646,-3.80378,NA,NA,NA,-38.735,NA,NA,NA,NA,NA
41344,2.04925,2.57306,-5,NA,NA,NA,NA,-51.34,NA,NA,NA,NA
41572,1.67951,2.19254,-5,-27.972,NA,NA,NA,NA,NA,NA,NA,NA
41775,1.32087,1.63807,-4.70721,NA,NA,NA,-11.644,NA,NA,NA,NA,NA
41813,1.80021,1.22187,-4.14735,NA,-9.453,NA,NA,NA,NA,NA,NA,NA
42137,2.2316,1.48438,-4.80911,NA,-23.903,NA,NA,NA,NA,NA,NA,NA
42276,1.81429,0.99854,-4.37032,-21.045,NA,NA,NA,NA,NA,NA,NA,NA
42440,1.75771,1.17005,-3.73427,NA,NA,NA,-21.676,NA,NA,NA,NA,NA
42628,1.5217,1.79472,-3.62925,-33.466,NA,NA,NA,NA,NA,NA,NA,NA
42950,2.44198,2.80484,-5,NA,NA,NA,-50.087,NA,NA,NA,NA,NA
43080,2.11244,2.30269,-4.69972,NA,NA,-42.435,NA,NA,NA,NA,NA,NA
43394,1.91123,2.03627,-3.82428,NA,-17.892,NA,NA,NA,NA,NA,NA,NA
