id,x0,x1,x2,fitness0.5,fitness-1
157,-0.331433,4.89614,3.94517,-225.549,NA
249,-0.331433,4.89614,3.94517,NA,-169.877
261,-0.331433,4.89614,5,NA,-137.428
290,-0.331433,4.85567,5,NA,-123.764
324,-0.331433,4.85567,5,NA,-119.136
349,-0.331433,4.85567,5,NA,-104.781
373,-0.331433,4.85567,4.84424,NA,-96.396
405,-0.331433,3.91962,4.84424,NA,-64.897
463,-0.331433,3.92729,4.84424,NA,-63.387
584,0.290629,3.92729,4.84424,NA,-49.936
627,0.290629,3.92729,4.84424,NA,-48.705
807,0.290883,3.92729,4.84424,NA,-48.663
833,0.290883,3.92729,4.84424,NA,-46.725
885,0.339791,3.92729,4.84424,NA,-45.652
934,0.339791,3.92729,4.88044,NA,-42.4
991,0.339791,3.92729,4.88044,NA,-41.879
1106,0.339791,3.92729,4.88044,NA,-41.654
1268,0.339791,3.92729,4.88044,NA,-41.593
1303,0.339791,3.94497,4.88044,NA,-40.415
1331,0.338619,3.94497,4.88044,NA,-40.202
1381,0.338619,3.94497,4.91064,NA,-39.65
1473,0.33694,3.94497,4.91064,NA,-39.363
1670,0.33694,3.94497,4.90951,NA,-39.33
2043,0.33694,3.94497,4.90951,NA,-39.321
2079,0.310944,3.94497,4.90951,NA,-38.3
2177,0.310944,3.95755,4.90951,NA,-38.272
2361,0.310944,3.95755,4.90869,NA,-38.252
2601,0.317162,3.95755,4.90869,NA,-37.894
3328,0.317676,3.95755,4.90869,NA,-37.881
3684,0.317676,3.95073,4.90869,NA,-37.793
3709,0.317676,3.95073,4.90228,NA,-37.744
6138,0.317676,3.95073,4.90228,NA,-37.74
6524,0.317676,3.95073,4.9042,NA,-37.739
6596,0.319162,3.95073,4.9042,NA,-37.717
8121,1.63256,3.95073,4.9042,NA,-171.095
