id,x0,x1,x2,fitness0.5,fitness-2,fitness-1,fitness-1.5
157,-0.331433,4.89614,3.94517,-225.549,NA,NA,NA
212,-0.331433,4.78741,3.94517,-224.778,NA,NA,NA
220,-0.331433,4.78741,3.94517,NA,-193.725,NA,NA
240,-0.305129,4.78741,3.94517,NA,-186.795,NA,NA
259,-0.305129,3.97609,3.94517,NA,-143.204,NA,NA
287,-0.305129,3.97609,5,NA,-106.99,NA,NA
311,-0.305129,3.97609,5,NA,-95.642,NA,NA
334,-0.305129,3.94535,5,NA,-93.999,NA,NA
355,-0.305129,3.94535,4.98688,NA,-87.625,NA,NA
380,-0.305129,3.94535,4.98688,NA,NA,-57.933,NA
426,-0.305129,3.94535,4.96043,NA,NA,-49.413,NA
470,-0.305129,3.94644,4.96043,NA,NA,-49.343,NA
540,-0.305129,3.94644,4.8812,NA,NA,-45.171,NA
708,0.325443,3.94644,4.8812,NA,NA,-39.185,NA
785,0.325443,3.94644,4.90677,NA,NA,-38.411,NA
1105,0.325443,3.94644,4.90677,NA,NA,-37.951,NA
1602,0.325443,3.95598,4.90677,NA,NA,-37.925,NA
1719,0.317543,3.95598,4.90677,NA,NA,-37.816,NA
2189,0.317543,3.95151,4.90677,NA,NA,-37.767,NA
2777,0.322146,3.95151,4.90677,NA,NA,-37.758,NA
3060,0.322146,3.95151,4.89982,NA,NA,-37.743,NA
3358,0.322146,3.58224,4.89982,NA,NA,NA,-35.856
3387,0.322146,3.58224,4.6641,NA,NA,NA,-35.209
3395,0.322146,3.85113,4.6641,NA,NA,NA,-24.996
3450,0.322146,3.85113,4.43479,NA,NA,NA,-11.169
3492,0.174782,3.85113,4.43479,NA,NA,NA,-6.924
3577,0.174782,3.85113,4.51351,NA,NA,NA,-2.713
3608,0.174782,3.8306,4.51351,NA,NA,NA,-1.429
3774,0.174782,3.8306,4.52275,NA,NA,NA,-1.367
3971,0.174782,3.77896,4.52275,NA,NA,NA,-0.091
4071,0.156318,3.77896,4.52275,NA,NA,NA,-0.039
4302,0.156318,3.77896,4.52275,NA,NA,NA,-0.033
4591,0.156438,3.77896,4.52275,NA,NA,NA,-0.032
4645,0.156438,3.77896,4.52275,NA,NA,NA,-0.031
4690,0.163326,3.77896,4.52275,NA,NA,NA,-0.009
4760,0.163326,3.78308,4.52275,NA,NA,NA,-0.006
5525,0.163037,3.78308,4.52275,NA,NA,NA,-0.006
5770,0.163037,3.78103,4.52275,NA,NA,NA,-0.005
6315,0.163037,3.78103,4.52275,NA,NA,NA,-0.004
7971,0.163037,3.78103,4.52275,NA,NA,NA,-0.004
8100,0.163037,4.93938,4.52275,NA,NA,NA,-284.088
