id,x0,x1,x2,fitness-1,fitness-2,fitness-3,fitness-2.5,fitness-5,fitness-4.5,fitness-4,fitness-3.5
68,-4.16531,4.12504,-4.79571,-391.922,NA,NA,NA,NA,NA,NA,NA
307,-3.58243,2.74678,-4.19299,NA,-347.657,NA,NA,NA,NA,NA,NA
562,-2.64812,3.09318,-5,NA,NA,-165.492,NA,NA,NA,NA,NA
604,-2.08862,3.83028,-5,NA,-209.372,NA,NA,NA,NA,NA,NA
893,-1.13879,3.16147,-5,NA,NA,NA,-282.111,NA,NA,NA,NA
1037,-1.92255,4.12973,-5,NA,NA,-119.806,NA,NA,NA,NA,NA
1235,-2.33916,4.58556,-4.61729,NA,NA,NA,NA,-69.818,NA,NA,NA
1471,-2.16273,5,-4.22753,NA,NA,NA,NA,-88.579,NA,NA,NA
1706,-2.83478,5,-5,NA,NA,NA,NA,NA,-92.139,NA,NA
1940,-2.27712,5,-4.70477,NA,NA,NA,NA,NA,NA,-82.061,NA
2061,-2.15852,5,-5,NA,NA,NA,NA,-78.752,NA,NA,NA
2375,-2.14261,4.73115,-5,NA,NA,NA,NA,-64.707,NA,NA,NA
2542,-2.09237,4.44987,-4.85738,NA,NA,NA,NA,-60.298,NA,NA,NA
2614,-2.84795,5,-5,NA,NA,NA,NA,NA,-93.428,NA,NA
2909,-2.6977,5,-4.94323,NA,NA,NA,NA,NA,-86.507,NA,NA
3177,-2.20479,5,-5,NA,NA,NA,NA,-77.441,NA,NA,NA
3336,-2.78302,5,-4.96469,NA,NA,NA,NA,-95.326,NA,NA,NA
3491,-2.96139,5,-5,NA,NA,NA,NA,-100.712,NA,NA,NA
3708,-2.60827,5,-3.77444,NA,NA,NA,NA,-121.213,NA,NA,NA
3835,-2.66944,5,-4.43392,NA,NA,NA,NA,NA,-91.096,NA,NA
4156,-1.33245,4.71828,-5,NA,NA,NA,NA,-60.06,NA,NA,NA
4343,-1.57739,3.22476,-5,NA,NA,NA,NA,-58.849,NA,NA,NA
4448,-1.62874,5,-5,NA,NA,NA,NA,-74.352,NA,NA,NA
4686,-2.37058,3.53225,-5,NA,NA,NA,NA,-54.457,NA,NA,NA
4925,-2.33714,3.98813,-5,NA,NA,NA,NA,-58.524,NA,NA,NA
5170,-2.55929,3.59965,-5,NA,NA,NA,NA,NA,-59.797,NA,NA
5221,-1.46922,5,-5,NA,NA,NA,NA,NA,NA,-87.771,NA
5593,-1.27759,3.80589,-4.53525,NA,NA,NA,NA,NA,NA,NA,-81.058
5773,-1.49642,4.07989,-5,NA,NA,NA,NA,NA,NA,-30.989,NA
5898,-1.92985,3.80948,-5,NA,NA,NA,NA,-30.274,NA,NA,NA
6001,-1.54032,3.82201,-5,NA,NA,NA,NA,NA,-21.65,NA,NA
6253,-2.45776,4.96959,-4.85724,NA,NA,NA,NA,NA,-78.19,NA,NA
6544,-1.52709,4.504,-5,NA,NA,NA,NA,-60.808,NA,NA,NA
6796,-1.60211,4.37332,-4.79195,NA,NA,NA,NA,-46.954,NA,NA,NA
6987,-2.38634,4.16248,-3.71718,NA,NA,NA,NA,NA,NA,-104.324,NA
7094,-1.77057,3.73386,-5,NA,NA,NA,NA,NA,-10.695,NA,NA
7201,-1.51831,3.621,-5,NA,NA,NA,NA,NA,-10.292,NA,NA
7501,-1.6023,3.36459,-5,NA,NA,NA,NA,-42.967,NA,NA,NA
7651,-2.99887,3.77169,-5,NA,NA,NA,NA,NA,-68.348,NA,NA
7997,-2.89866,4.51994,-5,NA,NA,NA,NA,NA,-77.173,NA,NA
8041,-2.5336,4.19581,-5,NA,NA,NA,NA,-66.399,NA,NA,NA
8212,-3.25071,3.75638,-5,NA,NA,NA,NA,-86.292,NA,NA,NA
8597,-3.13353,4.34465,-4.83637,NA,NA,NA,NA,-87.709,NA,NA,NA
8735,-1.87722,4.5563,-4.91174,NA,NA,NA,NA,-54.181,NA,NA,NA
8895,-2.65153,5,-5,NA,NA,NA,NA,NA,-81.034,NA,NA
9087,-2.29149,3.42294,-5,NA,NA,NA,NA,NA,-62.761,NA,NA
9276,-2.33195,3.46031,-5,NA,NA,NA,NA,-48.966,NA,NA,NA
9486,-2.69471,4.78933,-3.41027,NA,NA,NA,NA,-130.805,NA,NA,NA
9606,-3.02911,4.42771,-4.72283,NA,NA,NA,NA,-85.168,NA,NA,NA
9915,-2.53076,3.88657,-4.75033,NA,NA,NA,NA,NA,-61.907,NA,NA
10146,-1.65591,4.24702,-4.69367,NA,NA,NA,NA,NA,NA,NA,-104.803
10323,-1.802,4.61367,-5,NA,NA,NA,NA,NA,-49.595,NA,NA
10536,-3.0666,5,-5,NA,NA,NA,NA,NA,-103.201,NA,NA
10758,-3.84209,5,-5,NA,NA,NA,NA,NA,-156.834,NA,NA
10920,-3.23916,5,-5,NA,NA,NA,NA,-120.362,NA,NA,NA
11172,-2.27908,4.23994,-5,NA,NA,NA,NA,-46.348,NA,NA,NA
11277,-1.99293,5,-5,NA,NA,NA,NA,-81.788,NA,NA,NA
11577,-2.21719,4.40762,-5,NA,NA,NA,NA,-52.666,NA,NA,NA
11755,-1.91977,3.51692,-4.68802,NA,NA,NA,NA,NA,NA,-40.895,NA
11843,-1.70214,3.6773,-4.88244,NA,NA,NA,NA,NA,-4.619,NA,NA
12047,-1.92094,3.77619,-4.10323,NA,NA,NA,NA,-75.307,NA,NA,NA
12358,-1.30136,3.82045,-4.80201,NA,NA,NA,NA,-31.574,NA,NA,NA
12413,-1.85306,3.73213,-4.62008,NA,NA,NA,NA,-46.628,NA,NA,NA
12700,-1.73074,4.84801,-3.96361,NA,NA,NA,NA,-94.075,NA,NA,NA
12804,-1.17992,4.69721,-4.51918,NA,NA,NA,NA,-80.977,NA,NA,NA
13090,-2.08824,3.81481,-4.56903,NA,NA,NA,NA,-52.878,NA,NA,NA
13212,-2.44058,5,-4.15434,NA,NA,NA,NA,NA,NA,-92.081,NA
13479,-2.16322,4.67828,-5,NA,NA,NA,NA,NA,NA,NA,-89.304
13798,-2.60531,4.88909,-5,NA,NA,NA,NA,NA,-80.427,NA,NA
13920,-1.61683,5,-3.79002,NA,NA,NA,NA,-102.011,NA,NA,NA
14038,-1.50634,4.80757,-5,NA,NA,NA,NA,-69.727,NA,NA,NA
14354,-1.8575,4.71017,-5,NA,NA,NA,NA,NA,NA,-64.718,NA
14598,-2.97074,5,-5,NA,NA,NA,NA,NA,-101.062,NA,NA
14723,-2.45453,5,-5,NA,NA,NA,NA,NA,-81.283,NA,NA
14994,-2.79766,5,-4.27698,NA,NA,NA,NA,-103.83,NA,NA,NA
15153,-2.60383,3.73002,-4.11776,NA,NA,NA,NA,NA,NA,-74.681,NA
15323,-1.23975,3.54153,-4.52712,NA,NA,NA,NA,-53.407,NA,NA,NA
15523,-1.18923,3.73313,-4.65422,NA,NA,NA,NA,NA,NA,-24.758,NA
15750,-1.09672,3.84777,-4.4821,NA,NA,NA,NA,-53.955,NA,NA,NA
15891,-1.70061,4.40834,-5,NA,NA,NA,NA,NA,NA,-54.855,NA
16110,-1.17205,5,-5,NA,NA,NA,NA,-87.868,NA,NA,NA
16345,-2.19243,3.86028,-5,NA,NA,NA,NA,-53.006,NA,NA,NA
16443,-2.0357,4.39739,-4.73774,NA,NA,NA,NA,-63.922,NA,NA,NA
16621,-1.03652,4.38763,-5,NA,NA,NA,NA,-64.831,NA,NA,NA
16991,-1.67672,4.00214,-5,NA,NA,NA,NA,-46.742,NA,NA,NA
17083,-1.12483,4.01497,-5,NA,NA,NA,NA,-65.778,NA,NA,NA
17374,-0.612355,3.53504,-5,NA,NA,NA,NA,-131.323,NA,NA,NA
17504,-1.32459,3.48238,-4.45562,NA,NA,NA,NA,-53.943,NA,NA,NA
17756,-2.1531,3.92952,-5,NA,NA,NA,NA,NA,-37.519,NA,NA
17987,-1.81368,3.95026,-4.78543,NA,NA,NA,NA,-31.466,NA,NA,NA
18032,-2.46295,4.33171,-5,NA,NA,NA,NA,NA,NA,NA,-76.782
18382,-1.7157,5,-4.33561,NA,NA,NA,NA,NA,-75.512,NA,NA
18519,-2.46877,4.76559,-5,NA,NA,NA,NA,NA,-69.741,NA,NA
18647,-3.05888,3.77414,-5,NA,NA,NA,NA,NA,NA,-78.951,NA
18932,-2.40347,4.02295,-4.92861,NA,NA,NA,NA,-57.855,NA,NA,NA
19026,-2.06729,3.9358,-5,NA,NA,NA,NA,-40.925,NA,NA,NA
19229,-2.4364,2.98249,-5,NA,NA,NA,NA,NA,-72.818,NA,NA
19581,-3.02273,4.20705,-5,NA,NA,NA,NA,-77.301,NA,NA,NA
19614,-2.14762,4.03352,-4.65236,NA,NA,NA,NA,-52.143,NA,NA,NA
