id,x0,x1,x2,fitness-2,fitness-4,fitness-3,fitness-5,fitness-4.5,fitness-3.5
132,-1.06828,3.92863,-4.65242,-298.433,NA,NA,NA,NA,NA
327,-2.2376,4.45832,-5,NA,-68.264,NA,NA,NA,NA
477,-2.77567,5,-4.98986,NA,NA,-137.084,NA,NA,NA
624,-1.31324,4.00669,-5,NA,NA,NA,-48.685,NA,NA
855,-1.16345,3.47467,-5,NA,NA,NA,NA,-36.406,NA
1075,-1.64105,4.15531,-4.93402,NA,NA,NA,-36.062,NA,NA
1318,-2.44024,3.68395,-5,NA,NA,NA,-61.94,NA,NA
1568,-1.9396,4.49649,-5,NA,NA,NA,-56.872,NA,NA
1644,-1.58262,3.98212,-4.29266,NA,NA,NA,-57.092,NA,NA
1884,-1.615,3.8152,-5,NA,NA,NA,NA,-14.702,NA
2028,-1.96908,3.94884,-5,NA,NA,NA,-34.732,NA,NA
2330,-1.47564,3.7773,-5,NA,NA,NA,-30.576,NA,NA
2587,-1.41035,3.86905,-5,NA,NA,NA,NA,-21.728,NA
2672,-1.35799,3.42259,-5,NA,NA,NA,NA,-10.02,NA
2929,-1.71378,4.23989,-4.86102,NA,-39.092,NA,NA,NA,NA
3075,-1.76761,3.69826,-5,NA,NA,NA,-49.028,NA,NA
3389,-1.31458,3.82799,-5,NA,NA,NA,-36.525,NA,NA
3494,-1.37862,3.71895,-5,NA,NA,NA,-34.652,NA,NA
3728,-1.25055,3.77143,-5,NA,-23.97,NA,NA,NA,NA
3960,-2.31644,3.31042,-5,NA,NA,NA,-49.883,NA,NA
4094,-1.64319,3.37526,-5,NA,-24.577,NA,NA,NA,NA
4235,-1.79009,4.34075,-5,NA,NA,NA,-45.945,NA,NA
4449,-1.83818,3.74891,-5,NA,NA,NA,-37.494,NA,NA
4718,-2.08363,3.97589,-5,NA,NA,NA,NA,-38.227,NA
4988,-1.00273,3.7869,-5,NA,NA,NA,-71.94,NA,NA
5012,-1.82728,3.10002,-4.82443,NA,NA,NA,-72.746,NA,NA
5217,-1.63644,4.27577,-5,NA,NA,NA,-40.094,NA,NA
5409,-1.64672,3.88463,-5,NA,NA,NA,-51.721,NA,NA
5652,-2.16759,4.0581,-4.62659,NA,NA,NA,-53.367,NA,NA
5812,-2.51709,4.60232,-4.76958,NA,NA,NA,-66.133,NA,NA
6094,-2.08873,4.5135,-5,NA,NA,NA,-57.803,NA,NA
6335,-2.15294,4.42805,-5,NA,NA,NA,NA,-50.187,NA
6496,-2.3984,3.9326,-5,NA,-51.317,NA,NA,NA,NA
6758,-2.14946,4.41378,-5,NA,NA,NA,-58.408,NA,NA
6858,-1.44877,3.62657,-5,NA,NA,NA,-43.17,NA,NA
7030,-2.27849,4.10766,-5,NA,NA,NA,-49.767,NA,NA
7315,-1.16086,4.30398,-5,NA,-60.577,NA,NA,NA,NA
7480,-1.35883,3.74495,-5,NA,NA,NA,-33.832,NA,NA
7798,-1.75486,3.4646,-5,NA,-23.105,NA,NA,NA,NA
7983,-1.40428,3.38847,-5,NA,NA,NA,NA,-17.054,NA
8064,-1.7383,3.25212,-4.8458,NA,NA,NA,-41.314,NA,NA
8269,-1.47765,3.78906,-5,NA,NA,NA,-35.264,NA,NA
8578,-1.57797,3.71999,-4.6278,NA,NA,NA,-47.331,NA,NA
8659,-2.12336,3.91381,-5,NA,-38.923,NA,NA,NA,NA
8831,-1.8415,3.76412,-4.91411,NA,-39.774,NA,NA,NA,NA
9092,-2.04853,3.89361,-5,NA,NA,NA,NA,NA,-74.298
9241,-1.98058,4.44098,-4.78209,NA,NA,NA,NA,-46.214,NA
9596,-2.15113,5,-4.7707,NA,NA,NA,NA,-73.163,NA
9695,-1.69498,3.5415,-4.84318,NA,NA,NA,-36.646,NA,NA
9817,-1.8087,3.70251,-5,NA,NA,NA,-28.961,NA,NA
10145,-1.59175,3.47263,-4.65937,NA,NA,NA,-46.67,NA,NA
10294,-2.60771,3.38413,-4.31142,NA,NA,NA,-59.312,NA,NA
10424,-2.24756,3.69026,-5,NA,NA,NA,-58.586,NA,NA
10763,-1.75113,3.6807,-5,NA,NA,NA,NA,-9.132,NA
10874,-2.60521,3.85708,-5,NA,NA,NA,-53.812,NA,NA
11187,-1.84311,3.40549,-5,NA,NA,NA,NA,-31.493,NA
11315,-2.09458,3.74297,-5,NA,NA,NA,-41.125,NA,NA
11589,-1.47,3.39414,-5,NA,NA,NA,NA,-11.103,NA
11649,-1.32974,3.27159,-5,NA,-26.739,NA,NA,NA,NA
11942,-1.49747,3.70372,-5,NA,NA,NA,-23.948,NA,NA
12054,-2.06388,3.1941,-5,NA,NA,NA,NA,-52.293,NA
12313,-1.16106,3.42448,-4.5196,NA,NA,NA,NA,-42.106,NA
12460,-1.5034,3.55307,-5,NA,-13.384,NA,NA,NA,NA
12728,-1.25481,3.82927,-4.8645,NA,NA,NA,NA,-20.521,NA
12887,-1.55695,4.22049,-5,NA,NA,NA,NA,-32.991,NA
13011,-1.96361,4.17364,-5,NA,NA,NA,-57.391,NA,NA
13246,-1.73517,3.90773,-5,NA,-12.438,NA,NA,NA,NA
